index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,hf config setup,0.0,0.001,0.0,610.387,610.387,0.0,610.387,610.387,610.387,0.0,6523.156,0.214,0.214,0.0,0.0,1
2,AutoConfig.from_pretrained,0.001,0.416,0.415,612.129,613.086,0.957,612.129,612.82,613.086,0.415,6523.957,0.228,0.276,0.663,0.001,6
3,post: AutoConfig.from_pretrained,0.416,0.416,0.001,613.094,613.094,0.0,613.094,613.094,613.094,0.416,6523.957,0.172,0.172,0.0,0.0,1
4,post: hf config setup,0.416,0.417,0.0,613.094,613.094,0.0,613.094,613.094,613.094,0.416,6523.957,0.121,0.121,0.0,0.0,1
5,QEFFAutoModelForImageTextToText.from_pretrained,0.417,4.221,3.804,613.109,60712.766,60099.656,613.109,44993.303,90127.852,2.646,854045.516,38.4,87.864,6.228,0.004,25
6,post: QEFFAutoModelForImageTextToText.from_pretrained,4.221,4.221,0.0,60712.766,60712.766,0.0,60712.766,60712.766,60712.766,4.221,87666.602,8.905,8.905,0.0,0.0,1
7,AutoTokenizer.from_pretrained,4.221,7.026,2.804,60712.766,61001.75,288.984,60712.766,60763.024,61001.75,6.77,87952.906,1.155,6.429,16.625,0.003,23
8,post: AutoTokenizer.from_pretrained,7.026,7.026,0.0,61001.75,61001.75,0.0,61001.75,61001.75,61001.75,7.026,87952.906,0.24,0.24,0.0,0.0,1
9,AutoProcessor.from_pretrained,7.026,14.557,7.531,61001.75,61085.605,83.855,61001.75,61025.152,61085.605,12.789,88036.891,0.23,0.426,28.099,0.016,86
10,post: AutoProcessor.from_pretrained,14.557,14.558,0.001,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.557,88036.891,0.164,0.164,0.0,0.0,1
11,decode: compile request,14.558,14.558,0.001,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.558,88036.891,0.115,0.115,0.0,0.0,1
12,decode: build output names,14.558,14.559,0.001,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.558,88036.891,0.081,0.081,0.0,0.0,1
13,decode: post: build output names,14.559,14.559,0.0,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.559,88036.891,0.056,0.056,0.0,0.0,1
14,decode: vision pytorch transform,14.559,14.56,0.001,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.559,88036.891,0.039,0.039,0.0,0.0,1
15,decode: post: vision pytorch transform,14.56,14.56,0.0,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.56,88036.891,0.028,0.028,0.0,0.0,1
16,decode: language pytorch transform,14.56,14.561,0.0,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.56,88036.891,0.019,0.019,0.0,0.0,1
17,decode: post: language pytorch transform,14.561,14.561,0.001,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.561,88036.891,0.014,0.014,0.0,0.0,1
18,decode: dual-qpc export orchestration,14.561,14.562,0.0,61085.605,61085.605,0.0,61085.605,61085.605,61085.605,14.561,88036.891,4.763,4.763,0.0,0.0,1
19,decode: build dummy inputs,14.562,14.569,0.007,61193.305,61193.305,0.0,61193.305,61193.305,61193.305,14.568,88144.398,16.857,16.857,0.0,0.0,1
20,decode: post: build dummy inputs,14.569,14.569,0.0,61193.305,61193.305,0.0,61193.305,61193.305,61193.305,14.569,88144.398,11.8,11.8,0.0,0.0,1
21,decode: build dynamic axes,14.569,14.569,0.0,61193.305,61193.305,0.0,61193.305,61193.305,61193.305,14.569,88144.398,8.26,8.26,0.0,0.0,1
22,decode: post: build dynamic axes,14.569,14.57,0.0,61193.305,61193.305,0.0,61193.305,61193.305,61193.305,14.569,88144.398,35.782,35.782,0.0,0.0,1
23,decode: build output names,14.57,14.57,0.0,61193.305,61193.305,0.0,61193.305,61193.305,61193.305,14.57,88144.398,25.047,25.047,0.0,0.0,1
24,decode: post: build output names,14.57,14.57,0.0,61193.305,61193.305,0.0,61193.305,61193.305,61193.305,14.57,88144.398,17.533,17.533,0.0,0.0,1
25,decode: language export,14.57,14.607,0.036,61193.305,61193.305,0.0,61193.305,61193.305,61193.305,14.581,88144.398,15.64,18.4,0.0,0.0,2
26,decode: torch.onnx.export,14.607,126.266,111.66,61241.605,61275.945,34.34,61241.605,76919.694,92023.379,16.543,118948.578,18.887,47.684,9.39,57926.229,50
27,decode: post: torch.onnx.export,126.266,126.272,0.006,61275.945,61275.945,0.0,61275.945,61275.945,61275.945,126.267,88168.125,0.792,0.792,0.0,0.0,1
28,decode: language offload pytorch weights,126.272,126.719,0.447,61125.652,59643.562,-1482.09,59643.562,60384.607,61125.652,126.297,88036.75,0.813,0.826,0.176,0.0,2
29,decode: post: language offload pytorch weights,126.719,126.719,0.0,59643.562,59643.562,0.0,59643.562,59643.562,59643.562,126.719,86535.742,0.578,0.578,0.0,0.0,1
30,decode: onnx.load,126.719,126.724,0.005,59643.562,59643.562,0.0,59643.562,59643.562,59643.562,126.724,86535.742,0.405,0.405,0.0,0.0,1
31,decode: post: onnx.load,126.724,126.725,0.0,59643.562,59643.562,0.0,59643.562,59643.562,59643.562,126.724,86535.742,0.283,0.283,0.0,0.0,1
32,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",126.725,126.733,0.009,59643.562,59643.562,0.0,59643.562,59643.562,59643.562,126.733,86535.742,0.746,0.746,0.0,0.0,1
33,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",126.733,126.733,0.0,59643.562,59643.562,0.0,59643.562,59643.562,59643.562,126.733,86535.742,0.522,0.522,0.0,0.0,1
