time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-25T23:55:24.397652,610.379,6523.156,0.18,155.805,0.012,0.0,0.0
-0.0,2026-06-25T23:55:24.397523,610.379,6523.156,0.306,155.805,0.012,2.8,0.0
0.0,2026-06-25T23:55:24.398087,610.387,6523.156,0.214,155.806,0.012,2.751,0.0
0.051,2026-06-25T23:55:24.448387,612.129,6523.957,0.243,156.069,0.013,5.22,0.01
0.139,2026-06-25T23:55:24.536886,612.898,6523.957,0.276,156.397,0.013,3.713,0.005
0.19,2026-06-25T23:55:24.587246,612.898,6523.957,0.193,156.397,0.013,0.01,0.0
0.278,2026-06-25T23:55:24.675638,612.953,6523.957,0.215,156.721,0.013,3.669,0.0
0.328,2026-06-25T23:55:24.725984,612.953,6523.957,0.197,156.721,0.013,0.01,0.0
0.415,2026-06-25T23:55:24.812356,613.086,6523.957,0.246,156.732,0.014,0.121,0.005
0.416,2026-06-25T23:55:24.813555,613.094,6523.957,0.172,156.733,0.014,1.714,0.052
0.416,2026-06-25T23:55:24.814111,613.094,6523.957,0.121,156.735,0.014,2.665,0.0
0.454,2026-06-25T23:55:24.851879,613.109,6524.086,0.333,157.053,0.014,8.462,0.011
0.544,2026-06-25T23:55:24.941472,613.184,6524.086,0.338,157.377,0.014,3.614,0.0
0.594,2026-06-25T23:55:24.991834,613.184,6524.086,0.236,157.377,0.014,0.01,0.0
0.69,2026-06-25T23:55:25.087794,613.188,6524.086,0.287,157.703,0.015,3.393,0.005
0.744,2026-06-25T23:55:25.141599,614.531,6525.887,0.288,158.299,0.015,10.981,0.0
0.972,2026-06-25T23:55:25.369706,6098.672,792194.145,8.809,158.725,0.015,1.87,0.001
1.071,2026-06-25T23:55:25.468758,10825.531,802538.391,18.849,159.048,0.015,3.269,0.0
1.122,2026-06-25T23:55:25.519203,13812.562,827250.406,31.256,159.049,0.015,0.01,0.001
1.358,2026-06-25T23:55:25.755881,27784.344,852322.438,48.066,159.372,0.015,1.369,0.0
1.616,2026-06-25T23:55:26.014059,41165.734,852322.438,62.996,159.696,0.015,1.239,0.0
1.793,2026-06-25T23:55:26.190190,49568.574,852322.438,68.727,160.02,0.015,1.87,0.0
1.944,2026-06-25T23:55:26.341545,57256.938,852322.438,76.586,160.343,0.015,2.138,0.0
2.046,2026-06-25T23:55:26.443931,62481.469,852322.438,82.659,160.667,0.015,3.16,0.0
2.172,2026-06-25T23:55:26.569567,68993.938,852491.695,85.716,160.99,0.015,2.576,0.001
2.285,2026-06-25T23:55:26.683096,74953.809,852703.805,87.864,161.314,0.015,2.849,0.0
2.387,2026-06-25T23:55:26.785003,79933.254,852910.035,85.012,161.637,0.015,3.176,0.0
2.504,2026-06-25T23:55:26.901720,85613.41,853692.391,78.029,161.961,0.015,2.765,0.0
2.595,2026-06-25T23:55:26.992949,89258.273,854045.516,66.12,162.285,0.015,3.562,0.0
2.646,2026-06-25T23:55:27.043349,90127.852,854045.516,48.695,162.285,0.015,0.01,0.001
3.867,2026-06-25T23:55:28.264907,60635.512,87128.82,34.334,162.61,0.018,0.266,0.002
3.955,2026-06-25T23:55:28.353131,60635.512,87128.82,24.113,162.935,0.018,3.683,0.0
4.006,2026-06-25T23:55:28.403489,60635.512,87128.82,16.879,162.936,0.018,0.01,0.0
4.103,2026-06-25T23:55:28.500516,60635.512,87128.82,11.936,163.26,0.018,3.349,0.005
4.153,2026-06-25T23:55:28.550874,60636.199,87601.051,9.144,163.262,0.018,0.04,0.0
4.221,2026-06-25T23:55:28.618469,60712.766,87666.602,12.721,163.281,0.018,0.285,0.002
4.221,2026-06-25T23:55:28.618906,60712.766,87666.602,8.905,163.282,0.018,3.731,0.0
4.257,2026-06-25T23:55:28.654860,60712.766,87666.602,6.429,163.586,0.019,8.44,0.012
4.346,2026-06-25T23:55:28.743633,60712.766,87666.602,4.606,163.909,0.019,3.64,0.0
4.396,2026-06-25T23:55:28.793995,60712.766,87666.602,3.224,163.91,0.019,0.01,0.0
4.497,2026-06-25T23:55:28.894299,60712.766,87666.602,2.374,164.235,0.019,3.243,0.005
4.585,2026-06-25T23:55:28.982587,60712.766,87666.602,1.821,164.563,0.02,3.721,0.005
4.635,2026-06-25T23:55:29.032955,60712.766,87666.602,1.275,164.564,0.02,0.01,0.0
4.726,2026-06-25T23:55:29.123782,60712.766,87666.602,0.996,164.887,0.02,3.565,0.0
4.777,2026-06-25T23:55:29.174243,60712.766,87666.602,0.697,164.887,0.02,0.01,0.0
4.865,2026-06-25T23:55:29.262877,60712.766,87666.602,0.62,165.229,0.021,3.866,0.01
4.916,2026-06-25T23:55:29.313232,60712.766,87666.602,0.434,165.23,0.021,0.01,0.0
5.012,2026-06-25T23:55:29.409788,60712.766,87666.602,0.401,165.553,0.021,3.354,0.0
5.063,2026-06-25T23:55:29.460187,60712.766,87666.602,0.281,165.554,0.021,0.01,0.0
5.168,2026-06-25T23:55:29.565830,60712.766,87666.602,0.352,165.896,0.021,3.243,0.008
5.256,2026-06-25T23:55:29.654047,60712.766,87666.602,0.353,166.219,0.021,3.666,0.0
5.307,2026-06-25T23:55:29.704387,60712.766,87666.602,0.247,166.22,0.021,0.01,0.0
5.398,2026-06-25T23:55:29.795572,60712.766,87666.602,0.25,166.545,0.022,3.566,0.004
5.448,2026-06-25T23:55:29.845921,60712.766,87666.602,0.175,166.545,0.022,0.01,0.0
5.549,2026-06-25T23:55:29.947093,60712.766,87666.602,0.262,166.868,0.022,3.202,0.0
5.639,2026-06-25T23:55:30.036229,60712.766,87666.602,0.288,167.201,0.022,3.732,0.0
6.77,2026-06-25T23:55:31.168119,61001.75,87952.906,0.434,179.771,0.022,11.105,0.0
6.859,2026-06-25T23:55:31.256364,61001.75,87952.906,0.41,180.095,0.022,3.668,0.0
6.909,2026-06-25T23:55:31.306727,61001.75,87952.906,0.287,180.095,0.022,0.01,0.0
7.024,2026-06-25T23:55:31.422041,61001.75,87952.906,0.342,180.212,0.022,1.005,0.0
7.026,2026-06-25T23:55:31.423382,61001.75,87952.906,0.24,180.212,0.022,2.363,0.0
7.062,2026-06-25T23:55:31.459823,61001.75,87952.906,0.425,180.427,0.023,5.862,0.012
7.171,2026-06-25T23:55:31.568918,61001.75,87952.906,0.426,180.75,0.023,2.967,0.0
7.26,2026-06-25T23:55:31.657212,61001.75,87952.906,0.404,181.074,0.023,3.664,0.0
7.31,2026-06-25T23:55:31.707570,61001.75,87952.906,0.283,181.075,0.023,0.034,0.009
7.399,2026-06-25T23:55:31.796196,61001.75,87952.906,0.304,181.399,0.023,3.657,0.0
7.449,2026-06-25T23:55:31.846546,61001.75,87952.906,0.213,181.399,0.023,0.01,0.0
7.556,2026-06-25T23:55:31.953850,61001.75,87952.906,0.258,181.726,0.024,3.045,0.009
7.645,2026-06-25T23:55:32.042979,61001.75,87952.906,0.312,182.049,0.024,3.63,0.0
7.696,2026-06-25T23:55:32.093342,61001.75,87952.906,0.219,182.05,0.024,0.01,0.0
7.789,2026-06-25T23:55:32.186659,61001.75,87952.906,0.254,182.375,0.024,3.496,0.005
7.839,2026-06-25T23:55:32.237014,61001.75,87952.906,0.177,182.376,0.024,0.01,0.0
7.929,2026-06-25T23:55:32.326819,61001.75,87952.906,0.229,182.701,0.024,3.63,0.0
7.98,2026-06-25T23:55:32.377190,61001.75,87952.906,0.16,182.702,0.024,0.01,0.0
8.071,2026-06-25T23:55:32.468272,61001.75,87952.906,0.241,183.028,0.025,3.59,0.005
8.121,2026-06-25T23:55:32.518728,61001.75,87952.906,0.169,183.04,0.025,0.221,0.008
8.231,2026-06-25T23:55:32.628417,61001.75,87952.906,0.246,183.365,0.025,2.971,0.0
8.319,2026-06-25T23:55:32.716733,61001.75,87952.906,0.252,183.69,0.025,3.684,0.0
8.369,2026-06-25T23:55:32.767084,61001.75,87952.906,0.223,183.692,0.026,0.032,0.009
8.459,2026-06-25T23:55:32.856158,61001.75,87952.906,0.261,184.017,0.026,3.66,0.0
8.509,2026-06-25T23:55:32.906515,61001.75,87952.906,0.183,184.018,0.026,0.01,0.0
8.6,2026-06-25T23:55:32.997439,61001.75,87952.906,0.231,184.344,0.026,3.598,0.005
8.65,2026-06-25T23:55:33.047774,61001.75,87952.906,0.162,184.345,0.026,0.01,0.0
8.755,2026-06-25T23:55:33.152981,61001.75,87952.906,0.247,184.669,0.026,3.09,0.0
8.847,2026-06-25T23:55:33.244340,61001.75,87952.906,0.276,184.994,0.027,3.555,0.005
8.897,2026-06-25T23:55:33.294701,61001.75,87952.906,0.193,184.995,0.027,0.01,0.0
8.986,2026-06-25T23:55:33.383494,61001.75,87952.906,0.214,185.318,0.027,3.65,0.0
9.036,2026-06-25T23:55:33.433846,61001.75,87952.906,0.15,185.319,0.027,0.01,0.0
9.128,2026-06-25T23:55:33.525391,61001.75,87952.906,0.233,185.645,0.027,3.57,0.01
9.178,2026-06-25T23:55:33.575711,61001.75,87952.906,0.163,185.645,0.027,0.01,0.0
9.271,2026-06-25T23:55:33.668789,61001.75,87952.906,0.24,185.969,0.027,3.482,0.0
9.322,2026-06-25T23:55:33.719165,61001.75,87952.906,0.168,185.969,0.027,0.01,0.0
9.41,2026-06-25T23:55:33.807855,61001.75,87952.906,0.224,186.302,0.028,3.755,0.005
9.461,2026-06-25T23:55:33.858210,61001.75,87952.906,0.157,186.302,0.028,0.01,0.0
9.549,2026-06-25T23:55:33.946819,61001.75,87952.906,0.216,186.626,0.028,3.658,0.0
9.6,2026-06-25T23:55:33.997170,61001.75,87952.906,0.151,186.627,0.028,0.034,0.009
9.695,2026-06-25T23:55:34.092654,61001.75,87952.906,0.204,186.951,0.028,3.392,0.0
9.745,2026-06-25T23:55:34.143080,61001.75,87952.906,0.143,186.951,0.028,0.01,0.0
9.837,2026-06-25T23:55:34.234689,61001.75,87952.906,0.228,187.276,0.029,3.555,0.005
9.887,2026-06-25T23:55:34.285057,61001.75,87952.906,0.159,187.523,0.029,4.884,0.009
9.977,2026-06-25T23:55:34.374339,61001.75,87952.906,0.243,187.847,0.029,3.631,0.0
10.027,2026-06-25T23:55:34.424685,61001.75,87952.906,0.17,187.847,0.029,0.01,0.0
10.123,2026-06-25T23:55:34.520646,61001.75,87952.906,0.217,188.172,0.03,3.39,0.005
10.173,2026-06-25T23:55:34.571014,61001.75,87952.906,0.152,188.173,0.03,0.01,0.0
10.263,2026-06-25T23:55:34.660893,61001.75,87952.906,0.237,188.496,0.03,3.607,0.0
10.314,2026-06-25T23:55:34.711254,61001.75,87952.906,0.166,188.497,0.03,0.01,0.0
10.402,2026-06-25T23:55:34.799915,61001.75,87952.906,0.195,188.823,0.031,3.691,0.01
10.453,2026-06-25T23:55:34.850265,61001.75,87952.906,0.137,188.824,0.031,0.01,0.0
10.541,2026-06-25T23:55:34.938811,61001.75,87952.906,0.202,189.147,0.031,3.66,0.0
10.593,2026-06-25T23:55:34.990409,61001.75,87952.906,0.141,189.149,0.031,0.037,0.009
10.731,2026-06-25T23:55:35.128203,61001.75,87952.906,0.269,189.478,0.032,2.395,0.003
10.819,2026-06-25T23:55:35.216820,61001.75,87952.906,0.295,189.802,0.032,3.655,0.0
10.87,2026-06-25T23:55:35.267185,61001.75,87952.906,0.206,189.802,0.032,0.01,0.0
10.976,2026-06-25T23:55:35.373737,61001.75,87952.906,0.254,190.144,0.032,3.217,0.009
11.064,2026-06-25T23:55:35.462084,61001.75,87952.906,0.284,190.468,0.032,3.662,0.0
11.115,2026-06-25T23:55:35.512445,61001.75,87952.906,0.199,190.468,0.032,0.01,0.0
11.208,2026-06-25T23:55:35.605944,61001.75,87952.906,0.265,190.811,0.033,3.666,0.009
11.259,2026-06-25T23:55:35.656288,61001.75,87952.906,0.185,190.811,0.033,0.01,0.0
11.364,2026-06-25T23:55:35.761953,61001.75,87952.906,0.241,191.135,0.033,3.067,0.0
11.456,2026-06-25T23:55:35.853602,61001.75,87952.906,0.297,191.459,0.034,3.543,0.004
11.506,2026-06-25T23:55:35.903966,61001.75,87952.906,0.208,191.46,0.034,0.01,0.0
11.596,2026-06-25T23:55:35.993426,61001.75,87952.906,0.25,191.783,0.034,3.624,0.0
11.646,2026-06-25T23:55:36.043779,61001.75,87952.906,0.175,191.784,0.034,0.01,0.0
12.789,2026-06-25T23:55:37.186327,61085.605,88036.891,0.348,204.363,0.034,11.011,0.0
12.883,2026-06-25T23:55:37.280525,61085.605,88036.891,0.343,204.688,0.034,3.455,0.0
12.933,2026-06-25T23:55:37.330892,61085.605,88036.891,0.287,204.689,0.034,0.01,0.0
13.092,2026-06-25T23:55:37.489553,61085.605,88036.891,0.349,205.021,0.034,2.098,0.003
13.182,2026-06-25T23:55:37.579558,61085.605,88036.891,0.348,205.347,0.034,3.616,0.0
13.232,2026-06-25T23:55:37.629925,61085.605,88036.891,0.244,205.347,0.034,0.01,0.0
13.322,2026-06-25T23:55:37.720118,61085.605,88036.891,0.275,205.674,0.035,3.63,0.005
13.373,2026-06-25T23:55:37.770495,61085.605,88036.891,0.192,205.675,0.035,0.01,0.0
13.463,2026-06-25T23:55:37.860520,61085.605,88036.891,0.239,206.0,0.035,3.627,0.0
13.513,2026-06-25T23:55:37.910886,61085.605,88036.891,0.214,206.002,0.035,0.039,0.01
13.602,2026-06-25T23:55:37.999766,61085.605,88036.891,0.255,206.329,0.036,3.683,0.005
13.652,2026-06-25T23:55:38.050122,61085.605,88036.891,0.179,206.329,0.036,0.01,0.0
13.741,2026-06-25T23:55:38.138998,61085.605,88036.891,0.231,206.654,0.036,3.664,0.0
13.792,2026-06-25T23:55:38.189364,61085.605,88036.891,0.208,206.665,0.037,0.22,0.018
13.886,2026-06-25T23:55:38.283408,61085.605,88036.891,0.245,206.989,0.037,3.446,0.0
13.936,2026-06-25T23:55:38.333778,61085.605,88036.891,0.172,206.989,0.037,0.01,0.0
14.032,2026-06-25T23:55:38.429638,61085.605,88036.891,0.218,207.314,0.037,3.393,0.005
14.082,2026-06-25T23:55:38.480002,61085.605,88036.891,0.153,207.315,0.037,0.01,0.0
14.171,2026-06-25T23:55:38.568665,61085.605,88036.891,0.239,207.638,0.037,3.656,0.0
14.221,2026-06-25T23:55:38.618996,61085.605,88036.891,0.168,207.639,0.037,0.01,0.0
14.323,2026-06-25T23:55:38.720843,61085.605,88036.891,0.232,207.965,0.038,3.209,0.009
14.419,2026-06-25T23:55:38.816184,61085.605,88036.891,0.261,208.288,0.038,3.393,0.0
14.469,2026-06-25T23:55:38.866570,61085.605,88036.891,0.183,208.289,0.038,0.01,0.0
14.556,2026-06-25T23:55:38.953976,61085.605,88036.891,0.235,208.526,0.039,2.701,0.006
14.557,2026-06-25T23:55:38.954753,61085.605,88036.891,0.164,208.528,0.039,3.454,0.0
14.558,2026-06-25T23:55:38.955497,61085.605,88036.891,0.115,208.529,0.039,1.85,0.0
14.558,2026-06-25T23:55:38.955998,61085.605,88036.891,0.081,208.53,0.039,2.725,0.0
14.559,2026-06-25T23:55:38.956490,61085.605,88036.891,0.056,208.532,0.039,2.854,0.0
14.559,2026-06-25T23:55:38.956961,61085.605,88036.891,0.039,208.533,0.039,2.924,0.0
14.56,2026-06-25T23:55:38.957408,61085.605,88036.891,0.028,208.535,0.039,3.088,0.0
14.56,2026-06-25T23:55:38.957843,61085.605,88036.891,0.019,208.536,0.039,3.059,0.0
14.561,2026-06-25T23:55:38.958442,61085.605,88036.891,0.014,208.537,0.039,2.24,0.0
14.561,2026-06-25T23:55:38.958916,61085.605,88036.891,4.763,208.539,0.039,3.13,0.0
14.568,2026-06-25T23:55:38.966031,61193.305,88144.398,16.857,208.586,0.039,6.69,0.0
14.569,2026-06-25T23:55:38.966458,61193.305,88144.398,11.8,208.587,0.039,2.666,0.0
14.569,2026-06-25T23:55:38.966714,61193.305,88144.398,8.26,208.588,0.039,3.721,0.0
14.569,2026-06-25T23:55:38.967003,61193.305,88144.398,35.782,208.589,0.039,3.839,0.0
14.57,2026-06-25T23:55:38.967305,61193.305,88144.398,25.047,208.59,0.039,3.789,0.0
14.57,2026-06-25T23:55:38.967598,61193.305,88144.398,17.533,208.591,0.039,3.673,0.0
14.581,2026-06-25T23:55:38.978652,61193.305,88144.398,18.4,208.624,0.039,2.93,0.015
14.606,2026-06-25T23:55:39.003903,61193.305,88144.398,12.88,208.624,0.039,0.02,0.0
14.737,2026-06-25T23:55:39.134399,61241.605,88145.398,21.151,208.967,0.039,2.627,0.002
14.94,2026-06-25T23:55:39.338054,62221.52,93265.402,27.768,209.291,0.039,1.588,0.001
15.035,2026-06-25T23:55:39.432360,64971.742,93265.402,32.54,209.614,0.039,3.43,0.0
15.085,2026-06-25T23:55:39.482746,66350.379,93265.402,35.083,209.614,0.039,0.01,0.0
15.175,2026-06-25T23:55:39.572396,68869.902,98385.406,39.004,209.938,0.039,3.612,0.0
15.225,2026-06-25T23:55:39.622780,70349.461,98385.406,42.158,209.938,0.039,0.01,0.0
15.321,2026-06-25T23:55:39.718276,72989.41,103505.41,43.713,210.261,0.039,3.393,0.0
15.371,2026-06-25T23:55:39.768645,74475.098,103505.41,45.416,210.262,0.039,0.01,0.0
15.462,2026-06-25T23:55:39.859997,76607.148,103505.41,45.991,210.585,0.039,3.544,0.0
15.513,2026-06-25T23:55:39.910397,76607.148,103505.41,46.538,210.586,0.039,0.01,0.0
15.746,2026-06-25T23:55:40.143433,76630.07,103528.566,44.489,210.909,0.039,1.388,0.0
15.85,2026-06-25T23:55:40.247972,78681.824,108666.57,46.047,211.232,0.039,3.092,0.0
15.951,2026-06-25T23:55:40.348613,81438.098,108666.57,46.86,211.555,0.039,3.213,0.0
16.054,2026-06-25T23:55:40.451300,83829.031,113786.574,45.79,211.879,0.039,3.149,0.0
16.154,2026-06-25T23:55:40.551973,86455.246,113786.574,46.765,212.202,0.039,3.21,0.0
16.253,2026-06-25T23:55:40.651046,88387.281,118906.578,44.682,212.525,0.039,3.263,0.0
16.304,2026-06-25T23:55:40.701507,89578.758,118906.578,46.106,212.526,0.039,0.01,0.0
16.403,2026-06-25T23:55:40.801057,91918.434,118906.578,47.455,212.849,0.039,3.256,0.0
16.454,2026-06-25T23:55:40.851763,92018.316,118916.578,47.684,212.85,0.039,0.01,0.0
16.543,2026-06-25T23:55:40.940753,92023.379,118921.578,36.336,213.173,0.039,3.651,0.0
16.593,2026-06-25T23:55:40.991113,92023.379,118921.578,25.621,213.173,0.039,0.01,0.0
124.276,2026-06-25T23:57:28.673929,91071.258,118948.578,18.614,213.496,57926.268,0.003,537.934
124.365,2026-06-25T23:57:28.762454,89669.594,118948.578,13.374,213.82,57926.268,3.66,0.0
124.415,2026-06-25T23:57:28.812821,88862.188,118948.578,9.594,213.82,57926.268,0.01,0.0
124.505,2026-06-25T23:57:28.902672,87396.625,118948.578,7.029,214.144,57926.268,3.616,0.0
124.555,2026-06-25T23:57:28.953018,86656.191,113828.574,5.153,214.145,57926.268,0.01,0.0
124.644,2026-06-25T23:57:29.041604,85218.191,113828.574,3.978,214.468,57926.268,3.66,0.0
124.694,2026-06-25T23:57:29.091944,84473.824,113828.574,3.017,214.469,57926.268,0.01,0.0
124.783,2026-06-25T23:57:29.180456,83246.191,113828.574,2.43,214.792,57926.268,3.663,0.0
124.833,2026-06-25T23:57:29.230794,82428.152,113828.574,1.933,214.793,57926.268,0.01,0.0
124.937,2026-06-25T23:57:29.334496,80944.898,108708.57,1.715,215.116,57926.268,3.125,0.0
125.026,2026-06-25T23:57:29.423676,79694.766,108708.57,1.542,215.44,57926.268,3.629,0.0
125.076,2026-06-25T23:57:29.474031,78974.992,108708.57,1.312,215.441,57926.268,0.01,0.0
125.165,2026-06-25T23:57:29.562892,77686.977,108708.57,1.262,215.764,57926.268,3.648,0.0
125.216,2026-06-25T23:57:29.613234,76929.32,108708.57,1.116,215.765,57926.268,0.01,0.0
125.304,2026-06-25T23:57:29.701549,75688.887,103528.137,1.1,216.088,57926.268,3.67,0.0
125.354,2026-06-25T23:57:29.751893,74893.348,103528.137,1.002,216.089,57926.268,0.01,0.0
125.443,2026-06-25T23:57:29.840435,73567.449,103528.137,1.046,216.412,57926.268,3.661,0.0
125.493,2026-06-25T23:57:29.890772,72809.793,103528.137,0.965,216.413,57926.268,0.01,0.0
125.582,2026-06-25T23:57:29.979950,71515.953,98408.133,1.017,216.736,57926.268,3.634,0.0
125.633,2026-06-25T23:57:30.030303,70758.297,98408.133,0.945,216.737,57926.268,0.01,0.0
125.721,2026-06-25T23:57:30.118671,69405.949,98408.133,1.006,217.061,57926.268,3.669,0.0
125.771,2026-06-25T23:57:30.169011,68636.859,98408.133,0.937,217.061,57926.268,0.01,0.0
125.86,2026-06-25T23:57:30.257605,67261.949,98408.133,1.0,217.385,57926.268,3.659,0.0
125.91,2026-06-25T23:57:30.307945,66497.949,98408.133,0.932,217.385,57926.268,0.01,0.0
126.013,2026-06-25T23:57:30.410924,65032.168,93288.129,0.994,217.709,57926.268,3.147,0.0
126.106,2026-06-25T23:57:30.503991,63554.738,93288.129,1.049,218.032,57926.268,3.477,0.0
126.157,2026-06-25T23:57:30.554366,62797.082,93288.129,0.966,218.033,57926.268,0.01,0.0
126.246,2026-06-25T23:57:30.643827,61367.941,93288.129,1.017,218.357,57926.268,3.632,0.0
126.256,2026-06-25T23:57:30.653543,61275.945,88168.125,1.131,218.357,57926.268,0.036,0.0
126.267,2026-06-25T23:57:30.664228,61275.945,88168.125,0.792,218.358,57926.268,0.048,0.0
126.297,2026-06-25T23:57:30.694180,61125.652,88036.75,0.799,218.358,57926.268,0.02,0.0
126.718,2026-06-25T23:57:31.116045,59643.562,86535.742,0.826,218.534,57926.268,0.416,0.0
126.719,2026-06-25T23:57:31.116727,59643.562,86535.742,0.578,218.534,57926.268,2.751,0.0
126.724,2026-06-25T23:57:31.121722,59643.562,86535.742,0.405,220.171,57926.268,319.887,0.0
126.724,2026-06-25T23:57:31.122073,59643.562,86535.742,0.283,220.172,57926.268,2.683,0.0
126.733,2026-06-25T23:57:31.130519,59643.562,86535.742,0.746,220.173,57926.268,0.083,0.0
126.733,2026-06-25T23:57:31.130914,59643.562,86535.742,0.522,220.173,57926.268,2.688,0.0
126.787,2026-06-25T23:57:31.184227,59643.562,86535.742,0.585,220.178,57927.903,0.083,30.581
127.032,2026-06-25T23:57:31.429552,59643.562,86535.742,0.648,220.214,57927.907,0.146,0.018
127.04,2026-06-25T23:57:31.437601,59536.055,86428.234,0.748,220.241,57927.907,3.508,0.0
127.04,2026-06-25T23:57:31.438013,59536.055,86428.234,0.524,220.242,57927.907,1.907,0.0
127.043,2026-06-25T23:57:31.440466,59536.055,86428.234,0.367,221.878,57927.907,666.612,0.0
127.043,2026-06-25T23:57:31.440865,59536.055,86428.234,6.809,221.879,57927.907,1.855,0.0
127.044,2026-06-25T23:57:31.441243,59536.055,86428.234,4.766,221.88,57927.907,2.575,0.0
127.046,2026-06-25T23:57:31.443291,59536.055,86428.234,3.336,223.516,57927.907,773.74,0.0
127.047,2026-06-25T23:57:31.444656,59536.055,86428.234,2.335,223.519,57927.908,2.18,0.438
127.064,2026-06-25T23:57:31.461712,59536.055,86428.234,1.908,223.594,57927.908,4.365,0.0
127.185,2026-06-25T23:57:31.582791,59624.734,101959.176,1.49,225.584,57927.908,16.457,0.002
127.236,2026-06-25T23:57:31.633207,59625.055,101959.176,1.228,225.585,57927.94,0.019,0.632
127.286,2026-06-25T23:57:31.683797,59625.133,101959.176,1.138,225.586,57927.94,0.019,0.0
