index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,hf config setup,0.0,0.001,0.0,610.137,610.137,0.0,610.137,610.137,610.137,0.0,6523.18,0.125,0.125,0.0,0.0,1
2,AutoConfig.from_pretrained,0.001,0.349,0.348,611.891,612.75,0.859,611.891,612.535,612.75,0.348,6523.996,0.228,0.256,0.661,0.001,5
3,post: AutoConfig.from_pretrained,0.349,0.349,0.0,612.758,612.758,0.0,612.758,612.758,612.758,0.349,6523.996,0.178,0.178,0.0,0.0,1
4,post: hf config setup,0.349,0.35,0.0,612.758,612.758,0.0,612.758,612.758,612.758,0.349,6523.996,0.124,0.124,0.0,0.0,1
5,QEFFAutoModelForImageTextToText.from_pretrained,0.35,3.824,3.474,612.902,60712.422,60099.52,612.902,49139.302,90073.668,2.323,854062.098,33.83,69.631,4.924,0.004,18
6,post: QEFFAutoModelForImageTextToText.from_pretrained,3.824,3.824,0.0,60712.422,60712.422,0.0,60712.422,60712.422,60712.422,3.824,87687.578,9.286,9.286,0.0,0.0,1
7,AutoTokenizer.from_pretrained,3.824,6.414,2.591,60712.422,61001.414,288.992,60712.422,60767.469,61001.414,6.19,87973.887,1.257,6.744,15.557,0.003,21
8,post: AutoTokenizer.from_pretrained,6.414,6.415,0.0,61001.414,61001.414,0.0,61001.414,61001.414,61001.414,6.414,87973.887,0.218,0.218,0.0,0.0,1
9,AutoProcessor.from_pretrained,6.415,13.735,7.32,61001.414,61085.262,83.848,61001.414,61023.91,61085.262,12.053,88057.855,0.239,0.437,27.878,0.016,82
10,post: AutoProcessor.from_pretrained,13.735,13.735,0.0,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.735,88057.855,0.157,0.157,0.0,0.0,1
11,vision: compile request,13.735,13.736,0.001,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.735,88057.855,0.11,0.11,0.0,0.0,1
12,vision: build output names,13.736,13.736,0.0,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.736,88057.855,0.077,0.077,0.0,0.0,1
13,vision: post: build output names,13.736,13.736,0.0,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.736,88057.855,0.054,0.054,0.0,0.0,1
14,vision: vision pytorch transform,13.736,13.737,0.0,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.736,88057.855,0.038,0.038,0.0,0.0,1
15,vision: post: vision pytorch transform,13.737,13.737,0.0,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.737,88057.855,0.026,0.026,0.0,0.0,1
16,vision: language pytorch transform,13.737,13.737,0.0,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.737,88057.855,0.019,0.019,0.0,0.0,1
17,vision: post: language pytorch transform,13.737,13.737,0.0,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.737,88057.855,0.013,0.013,0.0,0.0,1
18,vision: dual-qpc export orchestration,13.737,13.738,0.0,61085.262,61085.262,0.0,61085.262,61085.262,61085.262,13.738,88057.855,0.009,0.009,0.0,0.0,1
19,vision: build dummy inputs,13.738,13.744,0.006,61192.961,61192.961,0.0,61192.961,61192.961,61192.961,13.743,88165.363,12.98,12.98,0.0,0.0,1
