time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T00:03:31.777863,610.133,6523.18,0.179,155.808,0.012,0.0,0.0
0.0,2026-06-26T00:03:31.778242,610.137,6523.18,0.125,155.809,0.012,1.041,0.0
-0.0,2026-06-26T00:03:31.777699,610.137,6523.18,0.088,155.809,0.012,0.528,0.0
0.052,2026-06-26T00:03:31.829598,611.891,6523.996,0.198,156.072,0.013,5.202,0.01
0.155,2026-06-26T00:03:31.933087,612.637,6523.996,0.252,156.401,0.013,3.178,0.005
0.243,2026-06-26T00:03:32.021222,612.699,6523.996,0.256,156.725,0.013,3.678,0.0
0.294,2026-06-26T00:03:32.071571,612.699,6523.996,0.179,156.725,0.013,0.01,0.0
0.348,2026-06-26T00:03:32.126233,612.75,6523.996,0.254,156.733,0.014,0.136,0.009
0.349,2026-06-26T00:03:32.127116,612.758,6523.996,0.178,156.733,0.014,1.039,0.102
0.349,2026-06-26T00:03:32.127345,612.758,6523.996,0.124,156.734,0.014,2.23,0.0
0.402,2026-06-26T00:03:32.179855,612.902,6524.125,0.355,157.058,0.014,6.165,0.008
0.49,2026-06-26T00:03:32.268119,612.914,6524.125,0.328,157.383,0.014,3.683,0.0
0.541,2026-06-26T00:03:32.318480,612.914,6524.125,0.23,157.383,0.014,0.01,0.0
0.897,2026-06-26T00:03:32.675341,6106.379,802537.43,6.349,158.408,0.015,2.872,0.002
1.017,2026-06-26T00:03:32.795165,15065.93,827241.441,29.945,158.733,0.015,2.713,0.0
1.227,2026-06-26T00:03:33.004532,29538.984,852321.477,46.273,159.058,0.015,1.552,0.0
1.452,2026-06-26T00:03:33.229515,44780.387,852321.477,60.832,159.383,0.015,1.444,0.0
1.747,2026-06-26T00:03:33.524447,63872.707,852321.477,69.631,159.707,0.015,1.099,0.0
1.95,2026-06-26T00:03:33.728294,74770.355,852967.168,68.634,160.031,0.015,1.589,0.0
2.078,2026-06-26T00:03:33.856093,81728.645,853977.609,68.559,160.355,0.015,2.541,0.0
2.178,2026-06-26T00:03:33.956209,85904.812,854062.098,62.843,160.68,0.015,3.243,0.0
2.229,2026-06-26T00:03:34.006644,87571.906,854062.098,54.477,160.68,0.015,0.01,0.0
2.323,2026-06-26T00:03:34.100564,90073.668,854062.098,44.729,161.005,0.015,3.461,0.001
3.53,2026-06-26T00:03:35.308180,60635.172,87145.402,31.567,161.328,0.018,0.268,0.002
3.619,2026-06-26T00:03:35.396874,60635.172,87145.402,22.176,161.653,0.018,3.66,0.0
3.669,2026-06-26T00:03:35.447219,60635.172,87145.402,15.57,161.653,0.018,0.01,0.0
3.774,2026-06-26T00:03:35.551872,60636.996,87622.824,13.185,161.981,0.018,3.135,0.005
3.823,2026-06-26T00:03:35.601199,60712.422,87687.578,13.266,161.982,0.018,0.01,0.002
3.824,2026-06-26T00:03:35.601613,60712.422,87687.578,9.286,161.982,0.018,2.092,0.0
3.862,2026-06-26T00:03:35.640028,60712.422,87687.578,6.744,162.307,0.019,8.439,0.011
3.912,2026-06-26T00:03:35.690334,60712.422,87687.578,4.721,162.307,0.019,0.01,0.0
4.001,2026-06-26T00:03:35.778875,60712.422,87687.578,3.437,162.632,0.019,3.673,0.0
4.051,2026-06-26T00:03:35.829205,60712.422,87687.578,2.406,162.632,0.019,0.01,0.0
4.14,2026-06-26T00:03:35.917704,60712.422,87687.578,1.817,162.964,0.02,3.751,0.01
4.19,2026-06-26T00:03:35.968058,60712.422,87687.578,1.272,162.964,0.02,0.01,0.0
4.279,2026-06-26T00:03:36.056744,60712.422,87687.578,0.996,163.289,0.02,3.669,0.0
4.329,2026-06-26T00:03:36.107059,60712.422,87687.578,0.697,163.308,0.021,0.381,0.018
4.418,2026-06-26T00:03:36.195467,60712.422,87687.578,0.594,163.633,0.021,3.677,0.0
4.468,2026-06-26T00:03:36.245822,60712.422,87687.578,0.416,163.633,0.021,0.01,0.0
4.559,2026-06-26T00:03:36.337006,60712.422,87687.578,0.394,163.959,0.021,3.575,0.005
4.609,2026-06-26T00:03:36.387343,60712.422,87687.578,0.276,163.976,0.021,0.351,0.008
4.715,2026-06-26T00:03:36.492692,60712.422,87687.578,0.327,164.3,0.021,3.078,0.0
4.806,2026-06-26T00:03:36.583637,60712.426,87687.578,0.358,164.625,0.022,3.574,0.004
4.856,2026-06-26T00:03:36.633948,60712.426,87687.578,0.25,164.626,0.022,0.01,0.0
