index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,hf config setup,0.001,0.001,0.0,610.309,610.309,0.0,610.309,610.309,610.309,0.001,6523.156,0.283,0.283,0.0,0.0,1
2,AutoConfig.from_pretrained,0.001,0.539,0.538,612.082,613.043,0.961,612.082,612.853,613.043,0.538,6523.961,0.277,0.378,1.306,0.001,8
3,post: AutoConfig.from_pretrained,0.539,0.539,0.0,613.047,613.047,0.0,613.047,613.047,613.047,0.539,6523.961,0.264,0.264,0.0,0.0,1
4,post: hf config setup,0.539,0.539,0.0,613.047,613.047,0.0,613.047,613.047,613.047,0.539,6523.961,0.185,0.185,0.0,0.0,1
5,QEFFAutoModelForImageTextToText.from_pretrained,0.539,4.436,3.897,613.055,60712.738,60099.684,613.055,48005.301,89465.75,2.621,854052.703,30.881,70.863,6.577,0.004,25
6,post: QEFFAutoModelForImageTextToText.from_pretrained,4.436,4.436,0.0,60712.738,60712.738,0.0,60712.738,60712.738,60712.738,4.436,87680.539,5.743,5.743,0.0,0.0,1
7,AutoTokenizer.from_pretrained,4.436,7.263,2.826,60712.738,61001.73,288.992,60712.738,60760.904,61001.73,7.022,87966.848,0.79,4.206,16.517,0.003,24
8,post: AutoTokenizer.from_pretrained,7.263,7.263,0.0,61001.73,61001.73,0.0,61001.73,61001.73,61001.73,7.263,87966.848,0.246,0.246,0.0,0.0,1
9,AutoProcessor.from_pretrained,7.263,15.355,8.092,61001.73,61085.582,83.852,61001.73,61026.445,61085.582,13.309,88050.82,0.223,0.379,29.384,0.016,95
10,post: AutoProcessor.from_pretrained,15.355,15.355,0.0,61085.582,61085.582,0.0,61085.582,61085.582,61085.582,15.355,88050.82,0.175,0.175,0.0,0.0,1
11,prefill: compile request,15.355,15.356,0.001,61085.582,61085.582,0.0,61085.582,61085.582,61085.582,15.356,88050.82,3.438,3.438,0.0,0.0,1
12,prefill: build output names,15.356,15.357,0.001,61085.582,61085.582,0.0,61085.582,61085.582,61085.582,15.356,88050.82,2.407,2.407,0.0,0.0,1
13,prefill: post: build output names,15.357,15.357,0.0,61085.582,61085.582,0.0,61085.582,61085.582,61085.582,15.357,88050.82,1.685,1.685,0.0,0.0,1
14,prefill: vision pytorch transform,15.357,15.358,0.001,61085.582,61085.582,0.0,61085.582,61085.582,61085.582,15.357,88050.82,1.179,1.179,0.0,0.0,1
15,prefill: post: vision pytorch transform,15.358,15.358,0.0,61085.582,61085.582,0.0,61085.582,61085.582,61085.582,15.358,88050.82,0.825,0.825,0.0,0.0,1
