time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-25T23:51:55.822325,610.301,6523.156,0.238,155.805,0.012,0.0,0.0
-0.0,2026-06-25T23:51:55.822191,610.301,6523.156,0.404,155.805,0.012,1.399,0.0
0.001,2026-06-25T23:51:55.822847,610.309,6523.156,0.283,155.805,0.012,2.004,0.0
0.051,2026-06-25T23:51:55.873071,612.082,6523.961,0.291,156.068,0.013,5.213,0.01
0.152,2026-06-25T23:51:55.974477,612.848,6523.961,0.32,156.396,0.013,3.237,0.005
0.24,2026-06-25T23:51:56.062676,612.902,6523.961,0.33,156.719,0.013,3.667,0.0
0.291,2026-06-25T23:51:56.113038,612.914,6523.961,0.231,156.721,0.014,0.038,0.009
0.379,2026-06-25T23:51:56.201589,613.012,6523.961,0.268,157.044,0.014,3.659,0.0
0.43,2026-06-25T23:51:56.251940,613.012,6523.961,0.187,157.045,0.014,0.01,0.0
0.518,2026-06-25T23:51:56.340401,613.012,6523.961,0.211,157.368,0.014,3.661,0.0
0.538,2026-06-25T23:51:56.360743,613.043,6523.961,0.378,157.374,0.014,0.28,0.0
0.539,2026-06-25T23:51:56.361217,613.047,6523.961,0.264,157.374,0.014,1.613,0.158
0.539,2026-06-25T23:51:56.361353,613.047,6523.961,0.185,157.375,0.014,4.032,0.0
0.568,2026-06-25T23:51:56.390767,613.055,6524.09,0.129,157.375,0.014,0.016,0.014
0.678,2026-06-25T23:51:56.499828,613.148,6524.09,0.198,157.699,0.014,2.967,0.0
0.766,2026-06-25T23:51:56.588374,613.164,6524.09,0.271,158.022,0.014,3.654,0.0
0.816,2026-06-25T23:51:56.638755,614.309,6525.746,0.236,158.315,0.015,5.779,0.009
1.092,2026-06-25T23:51:56.914729,6486.504,798376.395,7.675,159.045,0.015,2.649,0.001
1.219,2026-06-25T23:51:57.041434,14333.363,827242.406,25.556,159.369,0.015,2.553,0.0
1.35,2026-06-25T23:51:57.172324,22322.207,827610.426,40.357,159.692,0.015,2.47,0.0
1.491,2026-06-25T23:51:57.313541,31601.141,852314.438,55.072,160.016,0.015,2.297,0.0
1.622,2026-06-25T23:51:57.444451,40045.363,852314.438,64.813,160.341,0.015,2.477,0.0
1.831,2026-06-25T23:51:57.653414,53065.938,852314.438,70.863,160.665,0.015,1.552,0.0
1.982,2026-06-25T23:51:57.804694,60869.539,852314.438,68.335,160.989,0.015,2.144,0.0
2.148,2026-06-25T23:51:57.970443,68520.188,852314.438,63.119,161.314,0.015,1.956,0.0
2.259,2026-06-25T23:51:58.081574,73456.309,852468.504,59.649,161.638,0.015,2.922,0.001
