index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,hf config setup,0.0,0.001,0.0,610.426,610.426,0.0,610.426,610.426,610.426,0.0,6523.223,0.125,0.125,0.0,0.0,1
2,AutoConfig.from_pretrained,0.001,0.503,0.502,612.164,613.121,0.957,612.164,612.865,613.121,0.502,6524.027,0.231,0.306,1.086,0.001,6
3,post: AutoConfig.from_pretrained,0.503,0.504,0.001,613.125,613.125,0.0,613.125,613.125,613.125,0.503,6524.027,0.176,0.176,0.0,0.0,1
4,post: hf config setup,0.504,0.504,0.001,613.125,613.125,0.0,613.125,613.125,613.125,0.504,6524.027,0.123,0.123,0.0,0.0,1
5,QEFFAutoModelForImageTextToText.from_pretrained,0.504,3.976,3.472,613.145,60712.777,60099.633,613.145,45736.025,90129.07,2.491,854034.461,28.577,71.735,4.989,0.004,19
6,post: QEFFAutoModelForImageTextToText.from_pretrained,3.976,3.976,0.0,60712.777,60712.777,0.0,60712.777,60712.777,60712.777,3.976,87655.547,9.068,9.068,0.0,0.0,1
7,AutoTokenizer.from_pretrained,3.976,6.779,2.802,60712.777,61001.77,288.992,60712.777,60765.322,61001.77,6.538,87941.855,1.189,6.459,16.263,0.003,22
8,post: AutoTokenizer.from_pretrained,6.779,6.779,0.0,61001.77,61001.77,0.0,61001.77,61001.77,61001.77,6.779,87941.855,0.228,0.228,0.0,0.0,1
9,AutoProcessor.from_pretrained,6.779,14.984,8.205,61001.77,61069.121,67.352,61001.77,61020.326,61069.121,13.013,88009.332,0.215,0.453,30.098,0.016,98
10,post: AutoProcessor.from_pretrained,14.984,14.984,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.984,88009.332,8.53,8.53,0.0,0.0,1
11,vision: compile request,14.984,14.985,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.985,88009.332,5.971,5.971,0.0,0.0,1
12,vision: build output names,14.985,14.985,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.985,88009.332,4.18,4.18,0.0,0.0,1
13,vision: post: build output names,14.985,14.985,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.985,88009.332,2.926,2.926,0.0,0.0,1
14,vision: vision pytorch transform,14.985,14.985,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.985,88009.332,2.048,2.048,0.0,0.0,1
15,vision: post: vision pytorch transform,14.985,14.985,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.985,88009.332,1.434,1.434,0.0,0.0,1
16,vision: language pytorch transform,14.985,14.985,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.985,88009.332,1.004,1.004,0.0,0.0,1
17,vision: post: language pytorch transform,14.985,14.985,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.985,88009.332,0.702,0.702,0.0,0.0,1
18,vision: dual-qpc export orchestration,14.985,14.986,0.0,61069.121,61069.121,0.0,61069.121,61069.121,61069.121,14.985,88009.332,0.492,0.492,0.0,0.0,1
19,vision: build dummy inputs,14.986,14.991,0.005,61176.82,61176.82,0.0,61176.82,61176.82,61176.82,14.991,88116.84,12.688,12.688,0.0,0.0,1
20,vision: post: build dummy inputs,14.991,14.991,0.0,61176.82,61176.82,0.0,61176.82,61176.82,61176.82,14.991,88116.84,8.881,8.881,0.0,0.0,1
21,vision: build dynamic axes,14.991,14.991,0.0,61176.82,61176.82,0.0,61176.82,61176.82,61176.82,14.991,88116.84,6.217,6.217,0.0,0.0,1
22,vision: post: build dynamic axes,14.991,14.991,0.0,61176.82,61176.82,0.0,61176.82,61176.82,61176.82,14.991,88116.84,4.352,4.352,0.0,0.0,1
23,vision: build output names,14.991,14.991,0.0,61176.82,61176.82,0.0,61176.82,61176.82,61176.82,14.991,88116.84,33.046,33.046,0.0,0.0,1
24,vision: post: build output names,14.991,14.992,0.0,61176.82,61176.82,0.0,61176.82,61176.82,61176.82,14.991,88116.84,23.132,23.132,0.0,0.0,1
25,vision: vision export,14.992,15.0,0.009,61176.82,61176.82,0.0,61176.82,61176.82,61176.82,15.0,88116.84,24.562,24.562,0.0,0.0,1
26,vision: torch.onnx.export,15.0,137.198,122.198,61231.379,61376.02,144.641,61231.379,176055.016,291877.219,109.242,318706.258,17.682,47.262,275.25,1739.669,1555
27,vision: post: torch.onnx.export,137.198,137.199,0.001,61376.02,61376.02,0.0,61376.02,61376.02,61376.02,137.199,88151.941,0.696,0.696,0.0,0.0,1
28,vision: vision offload pytorch weights,137.199,137.199,0.0,61376.02,61376.02,0.0,61376.02,61376.02,61376.02,137.199,88151.941,0.487,0.487,0.0,0.0,1
29,vision: post: vision offload pytorch weights,137.199,137.199,0.0,61376.02,61376.02,0.0,61376.02,61376.02,61376.02,137.199,88151.941,0.341,0.341,0.0,0.0,1
30,vision: onnx.load,137.199,139.054,1.855,61376.02,62989.648,1613.629,61376.02,62284.858,63050.633,138.005,89891.609,0.781,0.976,1741.645,0.0,13
31,vision: post: onnx.load,139.054,139.055,0.0,62989.648,62989.648,0.0,62989.648,62989.648,62989.648,139.054,89765.695,0.644,0.644,0.0,0.0,1
32,"vision: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",139.055,139.059,0.005,62989.648,62989.648,0.0,62989.648,62989.648,62989.648,139.059,89765.695,0.953,0.953,0.0,0.0,1
33,"vision: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",139.059,139.06,0.0,62989.648,62989.648,0.0,62989.648,62989.648,62989.648,139.06,89765.695,0.667,0.667,0.0,0.0,1
34,vision: onnx.save,139.06,143.949,4.89,64729.316,62989.648,-1739.668,62989.648,64620.587,64729.316,142.761,91505.363,0.923,0.992,2.637,1739.667,16
35,vision: post: onnx.save,143.949,154.802,10.853,62989.648,61365.895,-1623.754,61365.895,62978.823,62989.648,144.017,89765.695,0.275,0.931,24.408,0.004,150
36,vision: post: vision export,154.802,154.812,0.011,61258.387,61258.387,0.0,61258.387,61258.387,61258.387,154.812,88034.309,1.239,1.239,0.0,0.0,1
37,vision: post: dual-qpc export orchestration,154.812,154.813,0.0,61258.387,61258.387,0.0,61258.387,61258.387,61258.387,154.813,88034.309,0.868,0.868,0.0,0.0,1
38,vision: vision compile wrapper,154.813,154.813,0.0,61258.387,61258.387,0.0,61258.387,61258.387,61258.387,154.813,88034.309,0.607,0.607,0.0,0.0,1
39,vision: onnx.load,154.813,156.771,1.958,61375.633,62877.078,1501.445,61375.633,62247.579,62985.488,155.714,89773.977,0.938,0.99,1741.649,0.0,14
40,vision: post: onnx.load,156.771,156.772,0.001,62877.078,62877.078,0.0,62877.078,62877.078,62877.078,156.771,89653.125,0.617,0.617,0.0,0.0,1
41,vision: subprocess.run: qaic-compile,156.772,173.815,17.043,62995.168,62877.082,-118.086,62877.082,63276.169,64675.402,158.219,102209.82,1.041,4.864,1665.104,2628.394,330
42,vision: post: subprocess.run: qaic-compile,173.815,173.959,0.144,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.959,88029.246,0.686,0.686,0.0,0.0,1
43,vision: post: vision compile wrapper,173.959,173.959,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.959,88029.246,0.48,0.48,0.0,0.0,1
44,vision: post: compile request,173.959,173.959,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.959,88029.246,15.572,15.572,0.0,0.0,1
45,decode: compile request,173.959,173.96,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.959,88029.246,10.9,10.9,0.0,0.0,1
46,decode: build output names,173.96,173.96,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.96,88029.246,7.63,7.63,0.0,0.0,1
47,decode: post: build output names,173.96,173.96,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.96,88029.246,5.341,5.341,0.0,0.0,1
48,decode: vision pytorch transform,173.96,173.96,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.96,88029.246,3.739,3.739,0.0,0.0,1
49,decode: post: vision pytorch transform,173.96,173.96,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.96,88029.246,2.617,2.617,0.0,0.0,1
50,decode: language pytorch transform,173.96,173.96,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.96,88029.246,1.832,1.832,0.0,0.0,1
51,decode: post: language pytorch transform,173.96,173.96,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.96,88029.246,1.282,1.282,0.0,0.0,1
52,decode: dual-qpc export orchestration,173.96,173.96,0.0,61253.367,61253.367,0.0,61253.367,61253.367,61253.367,173.96,88029.246,0.898,0.898,0.0,0.0,1
53,decode: build dummy inputs,173.96,173.966,0.006,61360.875,61360.875,0.0,61360.875,61360.875,61360.875,173.966,88136.754,14.732,14.732,0.0,0.0,1
54,decode: post: build dummy inputs,173.966,173.967,0.0,61360.875,61360.875,0.0,61360.875,61360.875,61360.875,173.966,88136.754,10.312,10.312,0.0,0.0,1
55,decode: build dynamic axes,173.967,173.967,0.0,61360.875,61360.875,0.0,61360.875,61360.875,61360.875,173.967,88136.754,7.219,7.219,0.0,0.0,1
56,decode: post: build dynamic axes,173.967,173.967,0.0,61360.875,61360.875,0.0,61360.875,61360.875,61360.875,173.967,88136.754,5.053,5.053,0.0,0.0,1
57,decode: build output names,173.967,173.968,0.0,61360.875,61360.875,0.0,61360.875,61360.875,61360.875,173.967,88136.754,33.537,33.537,0.0,0.0,1
58,decode: post: build output names,173.968,173.968,0.0,61360.875,61360.875,0.0,61360.875,61360.875,61360.875,173.968,88136.754,23.476,23.476,0.0,0.0,1
59,decode: language export,173.968,173.977,0.009,61360.875,61360.875,0.0,61360.875,61360.875,61360.875,173.977,88136.754,23.646,23.646,0.0,0.0,1
60,decode: torch.onnx.export,173.977,285.689,111.712,61361.125,61394.48,33.355,61361.125,79321.587,92146.828,176.353,118945.723,11.937,44.731,16.156,57926.229,83
61,decode: post: torch.onnx.export,285.689,285.694,0.006,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,285.689,88163.699,1.02,1.02,0.0,0.0,1
62,decode: language offload pytorch weights,285.694,285.7,0.006,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,285.694,88163.699,0.714,0.714,0.0,0.0,1
63,decode: post: language offload pytorch weights,285.7,285.703,0.003,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,285.7,88163.699,0.913,0.913,0.0,0.0,1
64,decode: onnx.load,285.703,285.705,0.002,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,285.705,88163.699,0.639,0.639,0.0,0.0,1
65,decode: post: onnx.load,285.705,285.705,0.0,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,285.705,88163.699,0.448,0.448,0.0,0.0,1
66,"decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",285.705,285.713,0.008,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,285.713,88163.699,0.537,0.632,0.001,0.0,2
67,"decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",285.713,285.713,0.0,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,285.713,88163.699,0.31,0.31,0.0,0.0,1
68,decode: onnx.save,285.713,285.765,0.052,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,285.765,88163.699,0.489,0.489,0.0,0.0,1
69,decode: post: onnx.save,285.765,286.015,0.25,61394.48,61394.48,0.0,61394.48,61394.48,61394.48,286.015,88163.699,0.567,0.567,0.0,0.0,1
70,decode: post: language export,286.015,286.027,0.012,61286.973,61286.973,0.0,61286.973,61286.973,61286.973,286.027,88056.191,0.975,0.975,0.0,0.0,1
71,decode: post: dual-qpc export orchestration,286.027,286.028,0.0,61286.973,61286.973,0.0,61286.973,61286.973,61286.973,286.027,88056.191,0.682,0.682,0.0,0.0,1
72,decode: onnx.load,286.028,286.03,0.002,61286.973,61286.973,0.0,61286.973,61286.973,61286.973,286.03,88056.191,0.478,0.478,0.0,0.0,1
73,decode: post: onnx.load,286.03,286.03,0.0,61286.973,61286.973,0.0,61286.973,61286.973,61286.973,286.03,88056.191,0.334,0.334,0.0,0.0,1
74,decode: language compile wrapper,286.03,286.031,0.0,61286.973,61286.973,0.0,61286.973,61286.973,61286.973,286.03,88056.191,0.234,0.234,0.0,0.0,1
75,decode: onnx.load,286.031,286.033,0.002,61286.973,61286.973,0.0,61286.973,61286.973,61286.973,286.032,88056.191,1.27,1.27,0.0,0.0,1
76,decode: post: onnx.load,286.033,286.034,0.001,61286.973,61286.973,0.0,61286.973,61286.973,61286.973,286.033,88056.191,0.889,0.889,0.0,0.0,1
77,decode: subprocess.run: qaic-compile,286.034,582.986,296.952,61286.973,61287.57,0.598,61286.973,66595.08,76921.566,332.835,129526.02,1.076,4.79,29.928,22102.589,5743
78,decode: post: subprocess.run: qaic-compile,582.986,582.987,0.001,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.987,88056.191,0.426,0.426,0.0,0.0,1
79,decode: post: language compile wrapper,582.987,582.987,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.987,88056.191,0.298,0.298,0.0,0.0,1
80,decode: post: compile request,582.987,582.987,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.987,88056.191,0.209,0.209,0.0,0.0,1
81,prefill: compile request,582.987,582.987,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.987,88056.191,0.146,0.146,0.0,0.0,1
82,prefill: build output names,582.987,582.988,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.987,88056.191,0.102,0.102,0.0,0.0,1
83,prefill: post: build output names,582.988,582.988,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.988,88056.191,0.072,0.072,0.0,0.0,1
84,prefill: vision pytorch transform,582.988,582.988,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.988,88056.191,0.05,0.05,0.0,0.0,1
85,prefill: post: vision pytorch transform,582.988,582.988,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.988,88056.191,0.035,0.035,0.0,0.0,1
86,prefill: language pytorch transform,582.988,582.988,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.988,88056.191,0.025,0.025,0.0,0.0,1
87,prefill: post: language pytorch transform,582.988,582.988,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.988,88056.191,0.017,0.017,0.0,0.0,1
88,prefill: dual-qpc export orchestration,582.988,582.988,0.0,61287.57,61287.57,0.0,61287.57,61287.57,61287.57,582.988,88056.191,0.012,0.012,0.0,0.0,1
89,prefill: build dummy inputs,582.988,582.994,0.005,61395.078,61395.078,0.0,61395.078,61395.078,61395.078,582.993,88163.699,13.155,13.155,0.0,0.0,1
90,prefill: post: build dummy inputs,582.994,582.994,0.0,61395.078,61395.078,0.0,61395.078,61395.078,61395.078,582.994,88163.699,9.208,9.208,0.0,0.0,1
91,prefill: build dynamic axes,582.994,582.994,0.0,61395.078,61395.078,0.0,61395.078,61395.078,61395.078,582.994,88163.699,6.446,6.446,0.0,0.0,1
92,prefill: post: build dynamic axes,582.994,582.994,0.0,61395.078,61395.078,0.0,61395.078,61395.078,61395.078,582.994,88163.699,4.512,4.512,0.0,0.0,1
93,prefill: build output names,582.994,582.994,0.0,61395.078,61395.078,0.0,61395.078,61395.078,61395.078,582.994,88163.699,3.159,3.159,0.0,0.0,1
94,prefill: post: build output names,582.994,582.994,0.0,61395.078,61395.078,0.0,61395.078,61395.078,61395.078,582.994,88163.699,2.211,2.211,0.0,0.0,1
95,prefill: language export,582.994,583.003,0.009,61395.078,61395.078,0.0,61395.078,61395.078,61395.078,583.003,88163.699,11.132,11.132,0.0,0.0,1
96,prefill: torch.onnx.export,583.003,690.654,107.651,61395.125,61487.02,91.895,61395.125,87348.981,113602.457,587.144,140396.688,15.69,47.454,22.727,57926.257,110
97,prefill: post: torch.onnx.export,690.654,690.66,0.006,61487.02,61487.02,0.0,61487.02,61487.02,61487.02,690.654,88166.59,1.063,1.063,0.0,0.0,1
98,prefill: language offload pytorch weights,690.66,691.075,0.415,61230.672,59854.637,-1376.035,59854.637,60364.193,61230.672,690.695,87929.16,1.053,1.104,0.332,0.0,3
99,prefill: post: language offload pytorch weights,691.075,691.075,0.0,59854.637,59854.637,0.0,59854.637,59854.637,59854.637,691.075,86534.207,8.193,8.193,0.0,0.0,1
100,prefill: onnx.load,691.075,691.078,0.002,59854.637,59854.637,0.0,59854.637,59854.637,59854.637,691.078,86534.207,5.735,5.735,0.0,0.0,1
101,prefill: post: onnx.load,691.078,691.078,0.0,59854.637,59854.637,0.0,59854.637,59854.637,59854.637,691.078,86534.207,4.015,4.015,0.0,0.0,1
102,"prefill: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",691.078,691.085,0.007,59854.637,59854.637,0.0,59854.637,59854.637,59854.637,691.085,86534.207,2.81,2.81,0.0,0.0,1
103,"prefill: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",691.085,691.086,0.001,59854.637,59854.637,0.0,59854.637,59854.637,59854.637,691.086,86534.207,4.539,4.539,0.0,0.0,1
104,prefill: onnx.save,691.086,691.14,0.053,59854.637,59854.637,0.0,59854.637,59854.637,59854.637,691.139,86534.207,3.397,3.397,0.0,0.0,1
105,prefill: post: onnx.save,691.14,691.376,0.236,59854.637,59854.637,0.0,59854.637,59854.637,59854.637,691.375,86534.207,2.616,2.616,0.0,0.0,1
106,prefill: post: language export,691.376,691.388,0.013,59747.129,59747.129,0.0,59747.129,59747.129,59747.129,691.388,86426.699,2.389,2.389,0.0,0.0,1
107,prefill: post: dual-qpc export orchestration,691.388,691.388,0.0,59747.129,59747.129,0.0,59747.129,59747.129,59747.129,691.388,86426.699,1.673,1.673,0.0,0.0,1
108,prefill: onnx.load,691.388,691.391,0.002,59747.129,59747.129,0.0,59747.129,59747.129,59747.129,691.391,86426.699,1.171,1.171,0.0,0.0,1
109,prefill: post: onnx.load,691.391,691.391,0.0,59747.129,59747.129,0.0,59747.129,59747.129,59747.129,691.391,86426.699,0.82,0.82,0.0,0.0,1
110,prefill: language compile wrapper,691.391,691.392,0.0,59747.129,59747.129,0.0,59747.129,59747.129,59747.129,691.391,86426.699,0.574,0.574,0.0,0.0,1
111,prefill: onnx.load,691.392,691.394,0.002,59747.129,59747.129,0.0,59747.129,59747.129,59747.129,691.394,86426.699,0.402,0.402,0.0,0.0,1
112,prefill: post: onnx.load,691.394,691.395,0.001,59747.129,59747.129,0.0,59747.129,59747.129,59747.129,691.394,86426.699,0.281,0.281,0.0,0.0,1
113,prefill: subprocess.run: qaic-compile,691.395,721.242,29.848,59747.129,59747.137,0.008,59747.129,60310.636,60514.125,706.823,102737.641,0.79,0.931,4.359,0.08,585
114,prefill: post: subprocess.run: qaic-compile,721.242,721.243,0.0,59747.137,59747.137,0.0,59747.137,59747.137,59747.137,721.242,86426.699,0.539,0.539,0.0,0.0,1
115,prefill: post: language compile wrapper,721.243,721.243,0.0,59747.137,59747.137,0.0,59747.137,59747.137,59747.137,721.243,86426.699,0.378,0.378,0.0,0.0,1
116,prefill: post: compile request,721.243,721.282,0.039,59747.137,59747.137,0.0,59747.137,59747.137,59747.137,721.243,86426.699,0.378,0.378,0.0,0.0,1
117,Completion,721.282,721.243,-0.04,59747.137,59747.137,0.0,59747.137,59747.137,59747.137,721.243,86426.699,0.378,0.378,0.0,0.0,1
