time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T03:12:28.978855,610.418,6523.223,0.178,155.816,0.012,0.0,0.0
0.0,2026-06-26T03:12:28.979205,610.426,6523.223,0.125,155.817,0.012,0.986,0.0
-0.0,2026-06-26T03:12:28.978694,610.422,6523.223,0.087,155.817,0.012,0.478,0.0
0.052,2026-06-26T03:12:29.030710,612.164,6524.027,0.107,156.08,0.013,5.2,0.01
0.163,2026-06-26T03:12:29.142261,612.91,6524.027,0.222,156.413,0.013,2.992,0.004
0.27,2026-06-26T03:12:29.248477,612.984,6524.027,0.288,156.743,0.013,3.109,0.0
0.359,2026-06-26T03:12:29.337903,613.004,6524.027,0.306,157.074,0.013,3.693,0.0
0.409,2026-06-26T03:12:29.388247,613.004,6524.027,0.214,157.074,0.013,0.01,0.0
0.502,2026-06-26T03:12:29.480873,613.121,6524.027,0.251,157.166,0.014,0.984,0.005
0.503,2026-06-26T03:12:29.481889,613.125,6524.027,0.176,157.166,0.014,0.96,0.056
0.504,2026-06-26T03:12:29.482422,613.125,6524.027,0.123,157.167,0.014,2.198,0.0
0.552,2026-06-26T03:12:29.530499,613.145,6524.156,0.379,157.412,0.014,5.111,0.009
0.641,2026-06-26T03:12:29.619570,613.211,6524.156,0.37,157.743,0.014,3.708,0.0
0.691,2026-06-26T03:12:29.669918,613.211,6524.156,0.259,157.743,0.014,0.01,0.0
0.783,2026-06-26T03:12:29.762199,613.219,6524.156,0.258,158.075,0.015,3.6,0.005
0.834,2026-06-26T03:12:29.812841,614.41,6525.812,0.319,158.468,0.015,7.086,0.0
1.245,2026-06-26T03:12:30.224169,15151.988,827241.473,12.773,159.103,0.015,1.563,0.001
1.569,2026-06-26T03:12:30.547711,35019.066,852321.508,34.014,159.433,0.015,1.008,0.0
1.788,2026-06-26T03:12:30.766457,49857.184,852321.508,52.815,159.762,0.015,1.529,0.0
2.01,2026-06-26T03:12:30.989294,64690.844,852321.508,65.201,160.092,0.015,1.479,0.0
2.186,2026-06-26T03:12:31.165062,75954.625,852634.656,70.8,160.421,0.015,1.874,0.0
2.303,2026-06-26T03:12:31.282122,82976.0,853101.766,71.735,160.751,0.015,2.814,0.0
2.404,2026-06-26T03:12:31.382579,88170.824,854034.461,66.471,161.08,0.015,3.286,0.0
2.491,2026-06-26T03:12:31.470209,90129.07,854034.461,50.809,161.41,0.015,3.761,0.001
3.692,2026-06-26T03:12:32.671052,60635.531,87117.766,35.818,161.739,0.018,0.274,0.002
3.781,2026-06-26T03:12:32.759627,60635.531,87117.766,25.179,162.068,0.018,3.715,0.0
3.831,2026-06-26T03:12:32.809986,60635.531,87117.766,17.625,162.068,0.018,0.01,0.0
3.922,2026-06-26T03:12:32.900923,60635.531,87117.766,12.441,162.399,0.018,3.641,0.005
3.975,2026-06-26T03:12:32.953982,60712.777,87655.547,12.749,162.401,0.018,0.039,0.002
3.975,2026-06-26T03:12:32.954180,60712.777,87655.547,12.954,162.401,0.018,3.28,0.0
3.976,2026-06-26T03:12:32.954961,60712.777,87655.547,9.068,162.402,0.018,1.883,0.0
4.081,2026-06-26T03:12:33.059984,60712.777,87655.547,6.459,162.731,0.019,3.131,0.004
4.17,2026-06-26T03:12:33.148638,60712.777,87655.547,4.627,163.06,0.019,3.712,0.0
4.22,2026-06-26T03:12:33.198995,60712.777,87655.547,3.239,163.06,0.019,0.01,0.0
4.346,2026-06-26T03:12:33.325309,60712.777,87655.547,2.434,163.396,0.02,2.662,0.007
4.435,2026-06-26T03:12:33.414194,60712.777,87655.547,1.783,163.725,0.02,3.703,0.0
4.486,2026-06-26T03:12:33.464538,60712.777,87655.547,1.248,163.726,0.02,0.01,0.0
4.577,2026-06-26T03:12:33.555920,60712.777,87655.547,1.002,164.073,0.021,3.819,0.01
4.627,2026-06-26T03:12:33.606279,60712.777,87655.547,0.702,164.074,0.021,0.01,0.0
4.733,2026-06-26T03:12:33.711729,60712.777,87655.547,0.602,164.403,0.021,3.126,0.0
4.821,2026-06-26T03:12:33.800198,60712.777,87655.547,0.528,164.732,0.021,3.72,0.0
4.872,2026-06-26T03:12:33.850548,60712.777,87655.547,0.369,164.751,0.021,0.38,0.017
4.961,2026-06-26T03:12:33.939588,60712.777,87655.547,0.364,165.08,0.021,3.704,0.0
5.011,2026-06-26T03:12:33.989947,60712.777,87655.547,0.255,165.081,0.021,0.01,0.0
5.1,2026-06-26T03:12:34.078955,60712.777,87655.547,0.284,165.41,0.021,3.706,0.0
5.15,2026-06-26T03:12:34.129313,60712.777,87655.547,0.245,165.412,0.022,0.032,0.007
5.24,2026-06-26T03:12:34.219280,60712.781,87655.547,0.25,165.741,0.022,3.673,0.0
5.291,2026-06-26T03:12:34.269623,60712.781,87655.547,0.175,165.742,0.022,0.01,0.0
5.38,2026-06-26T03:12:34.358800,60712.781,87655.547,0.228,166.072,0.022,3.708,0.0
6.538,2026-06-26T03:12:35.516796,61001.77,87941.855,0.39,178.657,0.022,10.867,0.0
6.626,2026-06-26T03:12:35.605310,61001.77,87941.855,0.379,178.986,0.022,3.724,0.0
6.677,2026-06-26T03:12:35.655666,61001.77,87941.855,0.265,178.986,0.022,0.01,0.0
6.777,2026-06-26T03:12:35.755553,61001.77,87941.855,0.326,178.994,0.022,0.079,0.0
6.779,2026-06-26T03:12:35.757477,61001.77,87941.855,0.228,178.995,0.022,2.565,0.0
6.84,2026-06-26T03:12:35.819133,61001.77,87941.855,0.35,179.324,0.023,5.328,0.007
6.929,2026-06-26T03:12:35.907600,61001.77,87941.855,0.351,179.653,0.023,3.722,0.0
6.979,2026-06-26T03:12:35.957943,61001.77,87941.855,0.246,179.653,0.023,0.01,0.0
7.068,2026-06-26T03:12:36.047227,61001.77,87941.855,0.277,179.984,0.023,3.709,0.005
7.119,2026-06-26T03:12:36.097576,61001.77,87941.855,0.194,179.984,0.023,0.01,0.0
7.208,2026-06-26T03:12:36.186370,61001.77,87941.855,0.241,180.314,0.023,3.714,0.0
7.258,2026-06-26T03:12:36.236724,61001.77,87941.855,0.169,180.314,0.023,0.01,0.0
7.349,2026-06-26T03:12:36.327579,61001.77,87941.855,0.247,180.646,0.024,3.661,0.01
7.399,2026-06-26T03:12:36.377927,61001.77,87941.855,0.173,180.647,0.024,0.01,0.0
7.488,2026-06-26T03:12:36.466618,61001.77,87941.855,0.201,180.976,0.024,3.72,0.0
7.538,2026-06-26T03:12:36.516969,61001.77,87941.855,0.14,180.976,0.024,0.01,0.0
7.627,2026-06-26T03:12:36.605807,61001.77,87941.855,0.231,181.307,0.024,3.728,0.005
7.677,2026-06-26T03:12:36.656197,61001.77,87941.855,0.161,181.307,0.024,0.01,0.0
7.766,2026-06-26T03:12:36.745171,61001.77,87941.855,0.218,181.637,0.024,3.707,0.0
7.817,2026-06-26T03:12:36.795514,61001.77,87941.855,0.153,181.637,0.024,0.01,0.0
7.906,2026-06-26T03:12:36.884359,61001.77,87941.855,0.213,181.968,0.025,3.728,0.005
7.956,2026-06-26T03:12:36.934708,61001.77,87941.855,0.149,181.968,0.025,0.01,0.0
8.045,2026-06-26T03:12:37.023520,61001.77,87941.855,0.21,182.298,0.025,3.714,0.0
8.095,2026-06-26T03:12:37.073863,61001.77,87941.855,0.147,182.298,0.025,0.01,0.0
8.184,2026-06-26T03:12:37.163148,61001.77,87941.855,0.208,182.638,0.025,3.815,0.004
8.235,2026-06-26T03:12:37.213487,61001.77,87941.855,0.146,182.639,0.025,0.01,0.0
8.324,2026-06-26T03:12:37.302950,61001.77,87941.855,0.207,182.968,0.025,3.687,0.0
8.374,2026-06-26T03:12:37.353311,61001.77,87941.855,0.145,182.97,0.026,0.032,0.009
8.464,2026-06-26T03:12:37.442955,61001.77,87941.855,0.206,183.299,0.026,3.679,0.0
8.514,2026-06-26T03:12:37.493316,61001.77,87941.855,0.144,183.299,0.026,0.01,0.0
8.604,2026-06-26T03:12:37.582881,61001.77,87941.855,0.206,183.629,0.026,3.683,0.0
8.654,2026-06-26T03:12:37.633221,61001.77,87941.855,0.144,183.63,0.026,0.034,0.008
8.744,2026-06-26T03:12:37.722639,61001.77,87941.855,0.232,183.96,0.026,3.689,0.0
8.794,2026-06-26T03:12:37.772969,61001.77,87941.855,0.162,183.96,0.026,0.01,0.0
8.886,2026-06-26T03:12:37.864544,61001.77,87941.855,0.216,184.291,0.027,3.615,0.005
8.936,2026-06-26T03:12:37.914892,61001.77,87941.855,0.151,184.291,0.027,0.01,0.0
9.04,2026-06-26T03:12:38.019076,61001.77,87941.855,0.218,184.62,0.027,3.166,0.0
9.131,2026-06-26T03:12:38.109694,61001.77,87941.855,0.256,184.951,0.027,3.65,0.005
9.181,2026-06-26T03:12:38.160054,61001.77,87941.855,0.179,184.953,0.027,0.035,0.009
9.271,2026-06-26T03:12:38.249476,61001.77,87941.855,0.231,185.282,0.027,3.69,0.0
9.321,2026-06-26T03:12:38.299828,61001.77,87941.855,0.208,185.283,0.027,0.01,0.0
9.41,2026-06-26T03:12:38.389340,61001.77,87941.855,0.224,185.612,0.027,3.686,0.0
9.461,2026-06-26T03:12:38.439689,61001.77,87941.855,0.157,185.621,0.028,0.18,0.009
9.55,2026-06-26T03:12:38.529085,61001.77,87941.855,0.241,185.95,0.028,3.689,0.0
9.601,2026-06-26T03:12:38.579445,61001.77,87941.855,0.169,185.951,0.028,0.01,0.0
9.692,2026-06-26T03:12:38.670975,61001.77,87941.855,0.221,186.281,0.028,3.617,0.005
9.742,2026-06-26T03:12:38.721326,61001.77,87941.855,0.155,186.282,0.028,0.01,0.0
9.847,2026-06-26T03:12:38.825370,61001.77,87941.855,0.221,186.611,0.028,3.17,0.0
9.936,2026-06-26T03:12:38.914412,61001.77,87941.855,0.26,186.941,0.028,3.699,0.0
9.986,2026-06-26T03:12:38.964757,61001.77,87941.855,0.228,187.189,0.029,4.917,0.018
10.076,2026-06-26T03:12:39.054850,61001.77,87941.855,0.238,187.518,0.029,3.661,0.0
10.126,2026-06-26T03:12:39.105222,61001.77,87941.855,0.167,187.519,0.029,0.01,0.0
10.216,2026-06-26T03:12:39.195129,61001.77,87941.855,0.247,187.848,0.029,3.669,0.0
10.267,2026-06-26T03:12:39.245491,61001.77,87941.855,0.173,187.85,0.03,0.034,0.009
10.356,2026-06-26T03:12:39.334811,61001.77,87941.855,0.226,188.18,0.03,3.705,0.0
10.406,2026-06-26T03:12:39.385165,61001.77,87941.855,0.158,188.181,0.03,0.01,0.0
10.504,2026-06-26T03:12:39.482832,61001.77,87941.855,0.231,188.512,0.03,3.402,0.005
10.554,2026-06-26T03:12:39.533192,61001.77,87941.855,0.162,188.514,0.031,0.043,0.008
10.644,2026-06-26T03:12:39.622372,61001.77,87941.855,0.218,188.845,0.031,3.71,0.0
10.694,2026-06-26T03:12:39.672730,61001.77,87941.855,0.153,188.845,0.031,0.01,0.0
10.783,2026-06-26T03:12:39.761933,61001.77,87941.855,0.212,189.175,0.031,3.709,0.0
10.833,2026-06-26T03:12:39.812280,61001.77,87941.855,0.149,189.177,0.031,0.038,0.009
10.923,2026-06-26T03:12:39.901427,61001.77,87941.855,0.235,189.513,0.031,3.77,0.005
10.973,2026-06-26T03:12:39.951789,61001.77,87941.855,0.165,189.513,0.031,0.01,0.0
11.062,2026-06-26T03:12:40.040842,61001.77,87941.855,0.221,189.844,0.031,3.715,0.0
11.112,2026-06-26T03:12:40.091198,61001.77,87941.855,0.155,189.844,0.031,0.01,0.0
11.21,2026-06-26T03:12:40.188594,61001.77,87941.855,0.229,190.193,0.032,3.589,0.009
