index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,hf config setup,0.0,0.001,0.0,610.797,610.797,0.0,610.797,610.797,610.797,0.0,6523.23,0.115,0.115,0.0,0.0,1
2,AutoConfig.from_pretrained,0.001,0.451,0.45,612.426,613.434,1.008,612.426,613.232,613.434,0.45,6524.035,0.246,0.317,0.999,0.001,7
3,post: AutoConfig.from_pretrained,0.451,0.452,0.001,613.438,613.438,0.0,613.438,613.438,613.438,0.451,6524.035,0.222,0.222,0.0,0.0,1
4,post: hf config setup,0.452,0.452,0.0,613.438,613.438,0.0,613.438,613.438,613.438,0.452,6524.035,0.155,0.155,0.0,0.0,1
5,QEFFAutoModelForImageTextToText.from_pretrained,0.452,3.979,3.527,613.559,60713.121,60099.562,613.559,50011.885,90124.383,2.483,854022.633,30.423,66.282,4.995,0.004,18
6,post: QEFFAutoModelForImageTextToText.from_pretrained,3.979,3.979,0.0,60713.121,60713.121,0.0,60713.121,60713.121,60713.121,3.979,87648.113,5.907,5.907,0.0,0.0,1
7,AutoTokenizer.from_pretrained,3.979,6.715,2.736,60713.121,61002.113,288.992,60713.121,60761.287,61002.113,6.483,87934.422,0.772,4.315,15.949,0.003,24
8,post: AutoTokenizer.from_pretrained,6.715,6.715,0.0,61002.113,61002.113,0.0,61002.113,61002.113,61002.113,6.715,87934.422,0.211,0.211,0.0,0.0,1
9,AutoProcessor.from_pretrained,6.715,14.818,8.102,61002.113,61102.469,100.355,61002.113,61030.338,61102.469,12.84,88034.906,0.222,0.404,29.499,0.016,96
10,post: AutoProcessor.from_pretrained,14.818,14.818,0.001,61102.469,61102.469,0.0,61102.469,61102.469,61102.469,14.818,88034.906,3.111,3.111,0.0,0.0,1
11,vision: compile request,14.818,14.819,0.001,61102.469,61102.469,0.0,61102.469,61102.469,61102.469,14.819,88034.906,2.178,2.178,0.0,0.0,1
12,vision: build output names,14.819,14.82,0.001,61102.469,61102.469,0.0,61102.469,61102.469,61102.469,14.819,88034.906,1.525,1.525,0.0,0.0,1
