time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T02:58:57.506773,610.789,6523.23,0.234,155.816,0.012,0.0,0.0
-0.0,2026-06-26T02:58:57.506605,610.793,6523.23,0.164,155.817,0.012,2.087,0.0
0.0,2026-06-26T02:58:57.507242,610.797,6523.23,0.115,155.817,0.012,2.291,0.0
0.051,2026-06-26T02:58:57.557680,612.426,6524.035,0.173,156.08,0.012,5.198,0.0
0.158,2026-06-26T02:58:57.664778,613.238,6524.035,0.253,156.413,0.013,3.114,0.009
0.247,2026-06-26T02:58:57.753295,613.359,6524.035,0.256,156.742,0.013,3.718,0.0
0.297,2026-06-26T02:58:57.803639,613.359,6524.035,0.179,156.742,0.013,0.01,0.0
0.388,2026-06-26T02:58:57.895221,613.383,6524.035,0.254,157.073,0.014,3.612,0.005
0.444,2026-06-26T02:58:57.950672,613.426,6524.035,0.291,157.078,0.014,0.093,0.0
0.45,2026-06-26T02:58:57.956973,613.434,6524.035,0.317,157.079,0.014,2.38,0.0
0.451,2026-06-26T02:58:57.958198,613.438,6524.035,0.222,157.079,0.014,0.724,0.071
0.452,2026-06-26T02:58:57.958532,613.438,6524.035,0.155,157.08,0.014,1.747,0.0
0.572,2026-06-26T02:58:58.078629,613.559,6524.164,0.245,157.409,0.014,2.739,0.004
0.661,2026-06-26T02:58:58.167329,613.566,6524.164,0.277,157.738,0.014,3.716,0.0
0.712,2026-06-26T02:58:58.218721,613.566,6524.164,0.194,157.74,0.015,0.037,0.009
1.071,2026-06-26T02:58:58.577634,10273.875,810858.477,9.75,158.768,0.015,2.864,0.001
1.302,2026-06-26T02:58:58.808622,25166.445,852322.516,30.285,159.098,0.015,1.428,0.0
1.493,2026-06-26T02:58:58.999581,38090.051,852322.516,50.25,159.428,0.015,1.726,0.0
1.76,2026-06-26T02:58:59.266423,55670.789,852322.516,63.105,159.757,0.015,1.236,0.0
1.996,2026-06-26T02:58:59.502385,68642.312,852322.516,66.282,160.088,0.015,1.401,0.0
2.152,2026-06-26T02:58:59.658643,76357.363,852582.637,64.475,160.419,0.015,2.117,0.0
2.264,2026-06-26T02:58:59.770789,81810.098,852910.113,60.975,160.75,0.015,2.948,0.0
2.392,2026-06-26T02:58:59.898974,88268.258,854022.633,57.985,161.08,0.015,2.581,0.0
2.483,2026-06-26T02:58:59.990171,90124.383,854022.633,44.215,161.411,0.015,3.632,0.001
3.674,2026-06-26T02:59:01.180958,60635.871,87105.938,31.2,161.74,0.018,0.277,0.002
3.763,2026-06-26T02:59:01.269481,60635.871,87105.938,21.946,162.07,0.018,3.72,0.0
3.813,2026-06-26T02:59:01.319821,60635.871,87105.938,15.362,162.07,0.018,0.01,0.0
3.904,2026-06-26T02:59:01.410370,60635.871,87105.938,10.857,162.401,0.018,3.659,0.005
3.954,2026-06-26T02:59:01.460723,60713.059,87648.113,11.777,162.403,0.018,0.04,0.0
3.978,2026-06-26T02:59:01.484942,60713.121,87648.113,8.438,162.403,0.018,0.021,0.005
3.979,2026-06-26T02:59:01.485355,60713.121,87648.113,5.907,162.404,0.018,2.599,0.0
4.043,2026-06-26T02:59:01.550233,60713.121,87648.113,4.315,162.733,0.019,5.069,0.007
4.094,2026-06-26T02:59:01.600591,60713.121,87648.113,3.021,162.734,0.019,0.01,0.0
4.183,2026-06-26T02:59:01.689618,60713.121,87648.113,2.193,163.063,0.019,3.706,0.0
4.233,2026-06-26T02:59:01.739961,60713.121,87648.113,1.535,163.065,0.019,0.038,0.009
4.322,2026-06-26T02:59:01.829040,60713.121,87648.113,1.233,163.4,0.02,3.762,0.005
4.373,2026-06-26T02:59:01.879402,60713.121,87648.113,0.863,163.4,0.02,0.01,0.0
4.462,2026-06-26T02:59:01.968540,60713.121,87648.113,0.683,163.729,0.02,3.701,0.0
4.512,2026-06-26T02:59:02.018896,60713.121,87648.113,0.478,163.73,0.02,0.01,0.0
4.601,2026-06-26T02:59:02.108036,60713.121,87648.113,0.466,164.078,0.021,3.911,0.01
4.652,2026-06-26T02:59:02.158395,60713.121,87648.113,0.326,164.078,0.021,0.01,0.0
4.741,2026-06-26T02:59:02.247477,60713.121,87648.113,0.307,164.408,0.021,3.703,0.0
4.791,2026-06-26T02:59:02.297834,60713.121,87648.113,0.215,164.408,0.021,0.01,0.0
4.882,2026-06-26T02:59:02.388918,60713.121,87648.113,0.279,164.756,0.021,3.828,0.01
4.933,2026-06-26T02:59:02.439284,60713.121,87648.113,0.196,164.757,0.021,0.01,0.0
5.022,2026-06-26T02:59:02.528406,60713.121,87648.113,0.242,165.086,0.021,3.703,0.0
5.072,2026-06-26T02:59:02.578727,60713.121,87648.113,0.169,165.087,0.021,0.01,0.0
5.161,2026-06-26T02:59:02.667854,60713.125,87648.113,0.224,165.417,0.022,3.715,0.004
5.211,2026-06-26T02:59:02.718205,60713.125,87648.113,0.157,165.418,0.022,0.01,0.0
5.301,2026-06-26T02:59:02.807318,60713.125,87648.113,0.189,165.747,0.022,3.703,0.0
5.351,2026-06-26T02:59:02.857671,60713.125,87648.113,0.178,165.748,0.022,0.01,0.0
6.483,2026-06-26T02:59:03.989525,61002.113,87934.422,0.355,178.333,0.022,11.12,0.0
6.572,2026-06-26T02:59:04.078803,61002.113,87934.422,0.353,178.662,0.022,3.693,0.0
6.622,2026-06-26T02:59:04.129175,61002.113,87934.422,0.247,178.663,0.022,0.01,0.0
