index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.001,609.746,609.746,0.0,609.746,609.746,609.746,0.002,6522.301,0.282,0.282,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.746,609.746,0.0,609.746,609.746,609.746,0.002,6522.301,0.198,0.198,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.82,609.82,0.0,609.82,609.82,609.82,0.012,6522.301,0.372,0.372,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.82,609.82,0.0,609.82,609.82,609.82,0.012,6522.301,0.261,0.261,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,609.82,609.82,0.0,609.82,609.82,609.82,0.012,6522.301,0.182,0.182,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.012,0.0,609.82,609.82,0.0,609.82,609.82,609.82,0.012,6522.301,0.128,0.128,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.012,0.64,0.628,667.578,738.535,70.957,667.578,720.79,738.535,0.64,6647.918,0.313,0.414,0.602,0.001,4
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.64,0.679,0.039,698.23,698.23,0.0,698.23,698.23,698.23,0.678,6606.918,0.385,0.385,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.679,1.177,0.498,740.59,740.605,0.016,740.59,740.6,740.605,1.143,6649.57,0.432,0.507,0.343,0.0,3
10,post: hf processor: AutoProcessor.from_pretrained,1.177,1.205,0.029,684.512,684.512,0.0,684.512,684.512,684.512,1.205,6592.82,0.501,0.501,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.205,3.925,2.719,686.055,13808.688,13122.633,686.055,21995.416,29696.5,3.041,495067.41,27.818,50.465,2.638,0.002,15
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,3.925,3.925,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.925,40619.922,12.631,12.631,0.0,0.0,1
13,vision: compile request,3.925,3.925,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.925,40619.922,33.22,33.22,0.0,0.0,1
14,vision: build output names,3.925,3.925,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.925,40619.922,39.686,39.686,0.0,0.0,1
15,vision: post: build output names,3.925,3.925,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.925,40619.922,45.666,45.666,0.0,0.0,1
16,vision: vision pytorch transform,3.925,3.926,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.925,40619.922,31.966,31.966,0.0,0.0,1
17,vision: post: vision pytorch transform,3.926,3.926,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.926,40619.922,22.377,22.377,0.0,0.0,1
18,vision: language pytorch transform,3.926,3.926,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.926,40619.922,15.664,15.664,0.0,0.0,1
19,vision: post: language pytorch transform,3.926,3.926,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.926,40619.922,10.964,10.964,0.0,0.0,1
20,vision: dual-qpc export orchestration,3.926,3.926,0.0,13808.688,13808.688,0.0,13808.688,13808.688,13808.688,3.926,40619.922,7.675,7.675,0.0,0.0,1
