time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T01:51:38.345616,609.566,6522.301,0.238,155.981,0.123,0.0,0.0
-0.0,2026-06-26T01:51:38.345440,609.57,6522.301,0.403,155.981,0.123,1.175,0.0
0.002,2026-06-26T01:51:38.347201,609.746,6522.301,0.282,156.087,0.123,85.702,0.0
0.002,2026-06-26T01:51:38.347369,609.746,6522.301,0.198,156.088,0.123,3.744,0.0
0.012,2026-06-26T01:51:38.357356,609.82,6522.301,0.372,156.09,0.123,0.214,0.0
0.012,2026-06-26T01:51:38.357530,609.82,6522.301,0.261,156.09,0.123,4.024,0.0
0.012,2026-06-26T01:51:38.357796,609.82,6522.301,0.182,156.091,0.123,1.779,0.174
0.012,2026-06-26T01:51:38.357923,609.82,6522.301,0.128,156.091,0.123,4.33,0.0
0.117,2026-06-26T01:51:38.462407,667.578,6578.359,0.343,162.876,0.123,44.862,0.0
0.482,2026-06-26T01:51:38.827407,738.523,6647.918,0.414,163.471,0.124,1.87,0.003
0.582,2026-06-26T01:51:38.927843,738.523,6647.918,0.29,163.472,0.124,0.005,0.0
0.64,2026-06-26T01:51:38.985168,738.535,6647.918,0.203,163.478,0.124,0.104,0.0
0.678,2026-06-26T01:51:39.023761,698.23,6606.918,0.385,163.478,0.124,0.013,0.0
1.004,2026-06-26T01:51:39.349177,740.59,6649.57,0.507,170.808,0.124,22.541,0.001
1.143,2026-06-26T01:51:39.488126,740.605,6649.57,0.423,171.137,0.124,2.366,0.0
1.176,2026-06-26T01:51:39.521904,740.605,6649.57,0.365,171.151,0.124,0.435,0.0
1.205,2026-06-26T01:51:39.550508,684.512,6592.82,0.501,171.152,0.124,0.017,0.0
1.248,2026-06-26T01:51:39.593642,686.055,6592.82,0.562,171.62,0.124,10.486,0.0
1.476,2026-06-26T01:51:39.821352,8907.109,481968.965,14.61,171.949,0.124,1.456,0.0
1.674,2026-06-26T01:51:40.019876,17500.012,486321.121,36.059,172.278,0.124,1.656,0.0
1.775,2026-06-26T01:51:40.120377,22030.824,486321.121,50.465,172.278,0.124,0.005,0.0
2.103,2026-06-26T01:51:40.448888,26969.871,495067.41,46.033,172.607,0.124,1.002,0.0
2.261,2026-06-26T01:51:40.606839,29664.742,495067.41,45.72,172.937,0.124,2.087,0.0
2.362,2026-06-26T01:51:40.707411,28638.016,495067.41,32.4,172.937,0.124,0.005,0.0
2.523,2026-06-26T01:51:40.868961,26873.391,493531.41,24.625,173.267,0.124,2.044,0.0
2.624,2026-06-26T01:51:40.969504,28063.199,493531.41,29.575,173.268,0.124,0.005,0.0
2.782,2026-06-26T01:51:41.127888,26626.016,493531.41,21.68,173.597,0.124,2.087,0.0
2.883,2026-06-26T01:51:41.228311,28164.965,495067.41,29.924,173.598,0.124,0.005,0.001
3.041,2026-06-26T01:51:41.387057,29696.5,495067.41,30.302,173.928,0.124,2.082,0.0
3.142,2026-06-26T01:51:41.487508,28296.355,495067.41,21.444,173.928,0.124,0.005,0.0
3.875,2026-06-26T01:51:42.220184,14005.492,40857.176,15.824,174.257,0.126,0.449,0.002
