index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.001,609.82,609.82,0.0,609.82,609.82,609.82,0.002,6522.293,2.393,2.393,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.82,609.82,0.0,609.82,609.82,609.82,0.002,6522.293,1.675,1.675,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.887,609.887,0.0,609.887,609.887,609.887,0.012,6522.293,1.402,1.402,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.887,609.887,0.0,609.887,609.887,609.887,0.012,6522.293,0.982,0.982,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,609.887,609.887,0.0,609.887,609.887,609.887,0.012,6522.293,0.687,0.687,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.013,0.0,609.887,609.887,0.0,609.887,609.887,609.887,0.012,6522.293,0.481,0.481,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.013,0.767,0.754,670.484,739.617,69.133,670.484,725.688,739.617,0.767,6648.918,0.447,0.597,0.93,0.001,5
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.767,0.815,0.048,698.207,698.207,0.0,698.207,698.207,698.207,0.815,6606.918,0.38,0.38,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.815,1.342,0.527,720.312,739.781,19.469,720.312,734.913,739.781,1.339,6648.711,0.442,0.551,0.345,0.0,4
10,post: hf processor: AutoProcessor.from_pretrained,1.342,1.368,0.027,706.25,706.25,0.0,706.25,706.25,706.25,1.368,6614.711,0.37,0.37,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.368,4.136,2.768,10671.395,13811.602,3140.207,10671.395,24393.449,29510.91,2.438,495089.301,25.119,42.799,2.635,0.002,15
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,4.136,4.136,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.136,40623.059,42.121,42.121,0.0,0.0,1
13,vision: compile request,4.136,4.137,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.137,40623.059,42.277,42.277,0.0,0.0,1
14,vision: build output names,4.137,4.137,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.137,40623.059,29.594,29.594,0.0,0.0,1
15,vision: post: build output names,4.137,4.137,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.137,40623.059,50.716,50.716,0.0,0.0,1
16,vision: vision pytorch transform,4.137,4.137,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.137,40623.059,35.501,35.501,0.0,0.0,1
17,vision: post: vision pytorch transform,4.137,4.137,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.137,40623.059,24.851,24.851,0.0,0.0,1
18,vision: language pytorch transform,4.137,4.137,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.137,40623.059,17.396,17.396,0.0,0.0,1
19,vision: post: language pytorch transform,4.137,4.137,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.137,40623.059,12.177,12.177,0.0,0.0,1
20,vision: dual-qpc export orchestration,4.137,4.138,0.0,13811.602,13811.602,0.0,13811.602,13811.602,13811.602,4.137,40623.059,8.524,8.524,0.0,0.0,1
21,vision: build dummy inputs,4.138,4.14,0.002,13811.855,13811.855,0.0,13811.855,13811.855,13811.855,4.14,40623.059,17.283,17.283,0.0,0.0,1
22,vision: post: build dummy inputs,4.14,4.14,0.0,13811.855,13811.855,0.0,13811.855,13811.855,13811.855,4.14,40623.059,12.098,12.098,0.0,0.0,1
23,vision: build dynamic axes,4.14,4.14,0.0,13811.855,13811.855,0.0,13811.855,13811.855,13811.855,4.14,40623.059,8.469,8.469,0.0,0.0,1
24,vision: post: build dynamic axes,4.14,4.14,0.0,13811.855,13811.855,0.0,13811.855,13811.855,13811.855,4.14,40623.059,5.928,5.928,0.0,0.0,1
25,vision: build output names,4.14,4.14,0.0,13811.855,13811.855,0.0,13811.855,13811.855,13811.855,4.14,40623.059,4.15,4.15,0.0,0.0,1
26,vision: post: build output names,4.14,4.14,0.0,13811.855,13811.855,0.0,13811.855,13811.855,13811.855,4.14,40623.059,32.905,32.905,0.0,0.0,1
27,vision: vision export,4.14,4.148,0.008,13811.855,13811.855,0.0,13811.855,13811.855,13811.855,4.148,40623.059,31.562,31.562,0.0,0.0,1
28,vision: torch.onnx.export,4.148,28.194,24.046,13817.031,15243.73,1426.699,13817.031,15156.573,17302.168,27.167,44104.938,17.852,39.478,22.734,1099.51,139
29,vision: post: torch.onnx.export,28.194,28.194,0.0,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,28.194,42046.008,0.927,0.927,0.0,0.0,1
30,vision: vision offload pytorch weights,28.194,28.194,0.0,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,28.194,42046.008,0.649,0.649,0.0,0.0,1
31,vision: post: vision offload pytorch weights,28.194,28.194,0.0,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,28.194,42046.008,0.454,0.454,0.0,0.0,1
32,vision: onnx.load,28.194,29.024,0.83,15354.891,15243.73,-111.16,15243.73,15759.393,16343.242,28.847,43145.52,0.789,0.855,1100.168,0.0,7
33,vision: post: onnx.load,29.024,29.025,0.0,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,29.024,42046.008,0.575,0.575,0.0,0.0,1
34,"vision: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",29.025,29.029,0.004,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,29.029,42046.008,0.938,0.938,0.0,0.0,1
35,"vision: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",29.029,29.029,0.0,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,29.029,42046.008,0.656,0.656,0.0,0.0,1
36,vision: onnx.save,29.029,33.53,4.5,16343.242,15243.73,-1099.512,15243.73,16068.364,16343.242,32.762,43145.52,0.811,0.88,0.988,1099.508,8
37,vision: post: onnx.save,33.53,36.394,2.865,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,33.669,42046.008,0.443,0.719,2.635,0.003,19
38,vision: post: vision export,36.394,36.395,0.0,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,36.394,42046.008,0.458,0.458,0.0,0.0,1
39,vision: post: dual-qpc export orchestration,36.395,36.395,0.0,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,36.395,42046.008,0.321,0.321,0.0,0.0,1
40,vision: vision compile wrapper,36.395,36.395,0.0,15243.73,15243.73,0.0,15243.73,15243.73,15243.73,36.395,42046.008,0.224,0.224,0.0,0.0,1
41,vision: onnx.load,36.395,37.118,0.723,15368.836,15243.73,-125.105,15243.73,15615.489,16051.387,36.823,43145.52,0.752,0.834,1100.085,0.0,5
