
QEFFICIENT PERFORMANCE MONITORING REPORT
============================================================
Peak Memory Usage:
   • RSS (Physical): 32.89 GB at 01:53:39
   • VMS (Virtual):  483.49 GB at 01:52:46
   • Peak during:    decode: torch.onnx.export

Memory Statistics:
   • Current RSS:    13.46 GB (Delta: +12.86 GB)
   • Current VMS:    39.63 GB (Delta: +33.26 GB)
   • Average RSS:    14.97 GB
   • Min/Max RSS:    0.60 / 32.89 GB
   • Memory Range:   32.29 GB
Disk I/O Statistics:
   • Total Read:     3374.10 MB
   • Total Write:    39046.95 MB
   • Peak Read Rate: 10914.22 MB/s
   • Peak Write Rate:916721.20 MB/s
   • Avg Read Rate:  15.55 MB/s
   • Avg Write Rate: 554.60 MB/s

Monitoring Info:
   • Duration:       261.0 seconds
   • Data Points:    1821
   • Operations:     119
   • Sampling Rate:  0.1s

QEfficient Operations Timeline:
    1.    0.0s - setup: torch.manual_seed (0.0s) 
    2.    0.0s - post: setup: torch.manual_seed (0.0s) 
    3.    0.0s - hf config: AutoConfig.from_pretrained (0.0s) 
    4.    0.0s - post: hf config: AutoConfig.from_pretrained (0.0s) 
    5.    0.0s - config: mutate dtype/text_layers (0.0s) 
    6.    0.0s - post: config: mutate dtype/text_layers (0.0s) 
    7.    0.0s - hf tokenizer: AutoTokenizer.from_pretrained (0.8s) [+0.1 GB]
    8.    0.8s - post: hf tokenizer: AutoTokenizer.from_pretrained (0.0s) 
    9.    0.8s - hf processor: AutoProcessor.from_pretrained (0.5s) [+0.0 GB]
   10.    1.3s - post: hf processor: AutoProcessor.from_pretrained (0.0s) 
   11.    1.4s - qeff load: QEFFAutoModelForImageTextToText.from_pretrained (2.8s) [+12.9 GB]
   12.    4.1s - post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained (0.0s) 
   13.    4.1s - vision: compile request (0.0s) 
   14.    4.1s - vision: build output names (0.0s) 
   15.    4.1s - vision: post: build output names (0.0s) 
   16.    4.1s - vision: vision pytorch transform (0.0s) 
   17.    4.1s - vision: post: vision pytorch transform (0.0s) 
   18.    4.1s - vision: language pytorch transform (0.0s) 
   19.    4.1s - vision: post: language pytorch transform (0.0s) 
   20.    4.1s - vision: dual-qpc export orchestration (0.0s) 
   21.    4.1s - vision: build dummy inputs (0.0s) 
   22.    4.1s - vision: post: build dummy inputs (0.0s) 
   23.    4.1s - vision: build dynamic axes (0.0s) 
   24.    4.1s - vision: post: build dynamic axes (0.0s) 
   25.    4.1s - vision: build output names (0.0s) 
   26.    4.1s - vision: post: build output names (0.0s) 
   27.    4.1s - vision: vision export (0.0s) 
   28.    4.1s - vision: torch.onnx.export (24.0s) [+14.3 GB]
   29.   28.2s - vision: post: torch.onnx.export (0.0s) 
   30.   28.2s - vision: vision offload pytorch weights (0.0s) 
   31.   28.2s - vision: post: vision offload pytorch weights (0.0s) 
   32.   28.2s - vision: onnx.load (0.7s) 
   33.   29.0s - vision: post: onnx.load (0.0s) 
   34.   29.0s - vision: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform (0.0s) 
   35.   29.0s - vision: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform (0.0s) 
   36.   29.0s - vision: onnx.save (4.5s) [-0.7 GB]
   37.   33.5s - vision: post: onnx.save (2.9s) 
   38.   36.4s - vision: post: vision export (0.0s) 
   39.   36.4s - vision: post: dual-qpc export orchestration (0.0s) 
   40.   36.4s - vision: vision compile wrapper (0.0s) 
   41.   36.4s - vision: onnx.load (0.7s) 
   42.   37.1s - vision: post: onnx.load (0.0s) 
   43.   37.1s - vision: subprocess.run: qaic-compile (16.2s) 
   44.   53.3s - vision: post: subprocess.run: qaic-compile (0.0s) 
   45.   53.3s - vision: post: vision compile wrapper (0.0s) 
   46.   53.3s - vision: post: compile request (0.0s) 
   47.   53.3s - decode: compile request (0.0s) 
   48.   53.3s - decode: build output names (0.0s) 
   49.   53.3s - decode: post: build output names (0.0s) 
   50.   53.3s - decode: vision pytorch transform (0.0s) 
   51.   53.3s - decode: post: vision pytorch transform (0.0s) 
   52.   53.3s - decode: language pytorch transform (0.0s) 
   53.   53.3s - decode: post: language pytorch transform (0.0s) 
   54.   53.3s - decode: dual-qpc export orchestration (0.0s) 
   55.   53.3s - decode: build dummy inputs (0.0s) 
   56.   53.3s - decode: post: build dummy inputs (0.0s) 
   57.   53.3s - decode: build dynamic axes (0.0s) 
   58.   53.3s - decode: post: build dynamic axes (0.0s) 
   59.   53.3s - decode: build output names (0.0s) 
   60.   53.3s - decode: post: build output names (0.0s) 
   61.   53.3s - decode: language export (0.0s) 
   62.   53.3s - decode: torch.onnx.export (25.7s) [-2.0 GB]
   63.   79.0s - decode: post: torch.onnx.export (0.0s) 
   64.   79.0s - decode: language offload pytorch weights (0.0s) 
   65.   79.0s - decode: post: language offload pytorch weights (0.0s) 
   66.   79.0s - decode: onnx.load (0.0s) 
   67.   79.0s - decode: post: onnx.load (0.0s) 
   68.   79.0s - decode: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform (0.0s) 
   69.   79.0s - decode: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform (0.0s) 
   70.   79.0s - decode: onnx.save (0.0s) 
   71.   79.0s - decode: post: onnx.save (0.3s) 
   72.   79.3s - decode: post: language export (0.0s) 
   73.   79.3s - decode: post: dual-qpc export orchestration (0.0s) 
   74.   79.3s - decode: onnx.load (0.0s) 
   75.   79.3s - decode: post: onnx.load (0.0s) 
   76.   79.3s - decode: language compile wrapper (0.0s) 
   77.   79.3s - decode: onnx.load (0.0s) 
   78.   79.3s - decode: post: onnx.load (0.0s) 
   79.   79.3s - decode: subprocess.run: qaic-compile (48.7s) 
   80.  128.1s - decode: post: subprocess.run: qaic-compile (0.0s) 
   81.  128.1s - decode: post: language compile wrapper (0.0s) 
   82.  128.1s - decode: post: compile request (0.0s) 
   83.  128.1s - prefill: compile request (0.0s) 
   84.  128.1s - prefill: build output names (0.0s) 
   85.  128.1s - prefill: post: build output names (0.0s) 
   86.  128.1s - prefill: vision pytorch transform (0.0s) 
   87.  128.1s - prefill: post: vision pytorch transform (0.0s) 
   88.  128.1s - prefill: language pytorch transform (0.0s) 
   89.  128.1s - prefill: post: language pytorch transform (0.0s) 
   90.  128.1s - prefill: dual-qpc export orchestration (0.0s) 
   91.  128.1s - prefill: build dummy inputs (0.0s) 
   92.  128.1s - prefill: post: build dummy inputs (0.0s) 
   93.  128.1s - prefill: build dynamic axes (0.0s) 
   94.  128.1s - prefill: post: build dynamic axes (0.0s) 
   95.  128.1s - prefill: build output names (0.0s) 
   96.  128.1s - prefill: post: build output names (0.0s) 
   97.  128.1s - prefill: language export (0.0s) 
   98.  128.1s - prefill: torch.onnx.export (46.3s) [+7.9 GB]
