time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T01:52:44.457939,609.66,6522.293,0.234,155.802,0.012,0.0,0.0
-0.0,2026-06-26T01:52:44.457768,609.664,6522.293,0.164,155.815,0.012,19.992,0.0
0.002,2026-06-26T01:52:44.459513,609.82,6522.293,2.393,155.909,0.012,112.935,0.0
0.002,2026-06-26T01:52:44.459683,609.82,6522.293,1.675,155.91,0.012,3.679,0.0
0.012,2026-06-26T01:52:44.469830,609.887,6522.293,1.402,155.912,0.012,0.21,0.0
0.012,2026-06-26T01:52:44.470022,609.887,6522.293,0.982,155.912,0.012,3.848,0.0
0.012,2026-06-26T01:52:44.470298,609.887,6522.293,0.687,155.913,0.012,1.667,0.165
0.012,2026-06-26T01:52:44.470430,609.887,6522.293,0.481,155.913,0.012,4.182,0.0
0.118,2026-06-26T01:52:44.575680,670.484,6581.359,0.597,162.698,0.012,43.162,0.0
0.486,2026-06-26T01:52:44.944193,739.176,6648.918,0.586,163.289,0.013,1.866,0.002
0.587,2026-06-26T01:52:45.044633,739.551,6648.918,0.41,163.294,0.013,0.048,0.004
0.743,2026-06-26T01:52:45.200800,739.609,6648.918,0.378,163.622,0.013,2.108,0.0
0.767,2026-06-26T01:52:45.224441,739.617,6648.918,0.264,163.628,0.013,0.249,0.0
0.815,2026-06-26T01:52:45.272463,698.207,6606.918,0.38,163.629,0.013,0.01,0.0
0.849,2026-06-26T01:52:45.306978,720.312,6628.918,0.551,170.63,0.013,51.485,0.0
1.238,2026-06-26T01:52:45.696161,739.777,6648.711,0.537,170.96,0.014,1.147,0.001
1.339,2026-06-26T01:52:45.796609,739.781,6648.711,0.399,170.974,0.014,0.14,0.0
1.341,2026-06-26T01:52:45.799219,739.781,6648.711,0.28,170.975,0.014,0.548,0.0
1.368,2026-06-26T01:52:45.825969,706.25,6614.711,0.37,170.975,0.014,0.018,0.0
1.661,2026-06-26T01:52:46.118696,10671.395,484807.008,10.904,171.773,0.014,2.725,0.001
1.867,2026-06-26T01:52:46.325382,19633.707,490813.27,28.466,172.102,0.014,1.596,0.0
2.04,2026-06-26T01:52:46.498375,26003.465,492671.27,42.799,172.432,0.014,1.901,0.0
2.338,2026-06-26T01:52:46.795864,27629.445,495089.301,36.615,172.761,0.014,1.107,0.0
2.438,2026-06-26T01:52:46.896394,29510.91,495089.301,40.608,172.761,0.014,0.005,0.0
2.58,2026-06-26T01:52:47.037770,28745.684,495089.301,29.823,173.09,0.014,2.336,0.0
2.68,2026-06-26T01:52:47.138220,27560.367,495089.301,21.109,173.091,0.014,0.005,0.0
2.82,2026-06-26T01:52:47.278357,27549.66,493553.301,21.523,173.42,0.014,2.352,0.0
2.921,2026-06-26T01:52:47.378791,27880.625,493553.301,21.685,173.42,0.014,0.005,0.0
3.061,2026-06-26T01:52:47.519005,27471.984,495089.301,20.917,173.749,0.014,2.35,0.0
3.162,2026-06-26T01:52:47.619540,29136.109,495089.301,29.496,173.749,0.014,0.005,0.0
3.301,2026-06-26T01:52:47.759238,28919.684,495089.301,24.645,174.078,0.014,2.36,0.0
3.402,2026-06-26T01:52:47.859687,27417.684,495089.301,17.485,174.079,0.014,0.005,0.0
4.106,2026-06-26T01:52:48.563959,13959.418,40815.066,13.398,174.407,0.015,0.467,0.002
