index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.001,0.015,0.014,609.652,609.652,0.0,609.652,609.652,609.652,0.015,6522.293,0.249,0.249,0.0,0.0,1
2,post: setup: torch.manual_seed,0.015,0.015,0.0,609.652,609.652,0.0,609.652,609.652,609.652,0.015,6522.293,0.174,0.174,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.015,0.025,0.01,609.73,609.73,0.0,609.73,609.73,609.73,0.025,6522.293,0.358,0.358,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.025,0.025,0.0,609.73,609.73,0.0,609.73,609.73,609.73,0.025,6522.293,0.251,0.251,0.0,0.0,1
5,config: mutate dtype/text_layers,0.025,0.025,0.0,609.73,609.73,0.0,609.73,609.73,609.73,0.025,6522.293,0.175,0.175,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.025,0.025,0.0,609.73,609.73,0.0,609.73,609.73,609.73,0.025,6522.293,0.123,0.123,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.025,0.639,0.613,738.039,738.453,0.414,738.039,738.366,738.453,0.638,6647.91,0.277,0.342,0.658,0.0,5
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.639,0.639,0.0,738.453,738.453,0.0,738.453,738.453,738.453,0.639,6647.91,0.134,0.134,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.639,1.288,0.649,738.453,820.203,81.75,738.453,808.519,820.203,1.288,6729.266,0.221,0.317,7.977,0.0,7
10,post: hf processor: AutoProcessor.from_pretrained,1.288,1.288,0.0,820.203,820.203,0.0,820.203,820.203,820.203,1.288,6729.266,0.149,0.149,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.288,1.498,0.209,887.367,992.438,105.07,887.367,962.241,1006.918,1.476,11521.523,12.623,19.663,0.324,0.0,3
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.498,1.498,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.498,11431.027,13.764,13.764,0.0,0.0,1
13,compile orchestration: qeff_model.compile,1.498,1.498,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.498,11431.027,9.635,9.635,0.0,0.0,1
14,build output names,1.498,1.498,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.498,11431.027,6.745,6.745,0.0,0.0,1
15,post: build output names,1.498,1.498,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.498,11431.027,4.721,4.721,0.0,0.0,1
16,vision pytorch transform,1.498,1.498,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.498,11431.027,3.305,3.305,0.0,0.0,1
17,post: vision pytorch transform,1.498,1.498,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.498,11431.027,2.313,2.313,0.0,0.0,1
18,language pytorch transform,1.498,1.499,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.498,11431.027,1.619,1.619,0.0,0.0,1
19,post: language pytorch transform,1.499,1.499,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.499,11431.027,1.134,1.134,0.0,0.0,1
20,dual-qpc export orchestration,1.499,1.499,0.0,992.438,992.438,0.0,992.438,992.438,992.438,1.499,11431.027,0.793,0.793,0.0,0.0,1
21,build dummy inputs,1.499,1.518,0.019,992.691,992.691,0.0,992.691,992.691,992.691,1.517,11431.027,14.951,14.951,0.0,0.0,1
22,post: build dummy inputs,1.518,1.518,0.0,992.691,992.691,0.0,992.691,992.691,992.691,1.518,11431.027,10.466,10.466,0.0,0.0,1
23,build dynamic axes,1.518,1.518,0.0,992.691,992.691,0.0,992.691,992.691,992.691,1.518,11431.027,7.326,7.326,0.0,0.0,1
24,post: build dynamic axes,1.518,1.518,0.0,992.691,992.691,0.0,992.691,992.691,992.691,1.518,11431.027,5.128,5.128,0.0,0.0,1
25,build output names,1.518,1.518,0.0,992.691,992.691,0.0,992.691,992.691,992.691,1.518,11431.027,3.59,3.59,0.0,0.0,1
26,post: build output names,1.518,1.518,0.0,992.691,992.691,0.0,992.691,992.691,992.691,1.518,11431.027,2.513,2.513,0.0,0.0,1
27,language export,1.518,1.526,0.007,992.691,992.691,0.0,992.691,992.691,992.691,1.526,11431.027,12.888,12.888,0.0,0.0,1
28,post: language export,1.526,1.526,0.0,992.695,992.695,0.0,992.695,992.695,992.695,1.526,11431.027,9.022,9.022,0.0,0.0,1
29,post: dual-qpc export orchestration,1.526,75.662,74.137,992.695,12934.047,11941.352,992.695,11772.885,17417.426,19.014,51547.527,1.068,9.782,156.718,0.005,944
30,torch.onnx.export,75.662,88.584,12.921,13602.23,12965.359,-636.871,12965.359,17446.948,21976.035,76.073,48992.105,14.078,39.454,3.103,5969.618,16
31,post: torch.onnx.export,88.584,88.584,0.0,12965.359,12965.359,0.0,12965.359,12965.359,12965.359,88.584,39776.094,1.071,1.071,0.0,0.0,1
32,onnx.load,88.584,88.585,0.001,12965.359,12965.359,0.0,12965.359,12965.359,12965.359,88.584,39776.094,0.749,0.749,0.0,0.0,1
