index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.001,609.539,609.539,0.0,609.539,609.539,609.539,0.002,6522.305,0.146,0.146,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.539,609.539,0.0,609.539,609.539,609.539,0.002,6522.305,0.102,0.102,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.613,609.613,0.0,609.613,609.613,609.613,0.012,6522.305,0.305,0.305,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.613,609.613,0.0,609.613,609.613,609.613,0.012,6522.305,0.214,0.214,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,609.613,609.613,0.0,609.613,609.613,609.613,0.012,6522.305,0.15,0.15,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.013,0.0,609.613,609.613,0.0,609.613,609.613,609.613,0.012,6522.305,0.105,0.105,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.013,1.148,1.136,738.773,739.23,0.457,738.773,739.047,739.23,1.147,6647.922,0.216,0.319,1.802,0.0,12
8,post: hf tokenizer: AutoTokenizer.from_pretrained,1.148,1.149,0.001,739.23,739.23,0.0,739.23,739.23,739.23,1.148,6647.922,3.793,3.793,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,1.149,1.93,0.782,820.133,820.238,0.105,820.133,820.211,820.238,1.93,6728.285,1.398,2.893,0.985,0.0,7
10,post: hf processor: AutoProcessor.from_pretrained,1.93,1.93,0.0,820.238,820.238,0.0,820.238,820.238,820.238,1.93,6728.285,0.347,0.347,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.93,2.073,0.142,1210.188,992.188,-218.0,992.188,1101.188,1210.188,2.022,11648.547,10.079,12.646,0.001,0.0,2
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,2.073,2.073,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.073,11430.047,17.411,17.411,0.0,0.0,1
13,compile orchestration: qeff_model.compile,2.073,2.073,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.073,11430.047,12.188,12.188,0.0,0.0,1
14,build output names,2.073,2.073,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.073,11430.047,8.532,8.532,0.0,0.0,1
15,post: build output names,2.073,2.073,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.073,11430.047,5.972,5.972,0.0,0.0,1
16,vision pytorch transform,2.073,2.073,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.073,11430.047,4.18,4.18,0.0,0.0,1
17,post: vision pytorch transform,2.073,2.073,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.073,11430.047,2.926,2.926,0.0,0.0,1
18,language pytorch transform,2.073,2.074,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.073,11430.047,2.048,2.048,0.0,0.0,1
19,post: language pytorch transform,2.074,2.074,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.074,11430.047,1.434,1.434,0.0,0.0,1
20,dual-qpc export orchestration,2.074,2.074,0.0,992.188,992.188,0.0,992.188,992.188,992.188,2.074,11430.047,1.004,1.004,0.0,0.0,1
21,build dummy inputs,2.074,2.076,0.002,992.441,992.441,0.0,992.441,992.441,992.441,2.076,11430.047,11.636,11.636,0.0,0.0,1
22,post: build dummy inputs,2.076,2.076,0.0,992.441,992.441,0.0,992.441,992.441,992.441,2.076,11430.047,8.145,8.145,0.0,0.0,1
23,build dynamic axes,2.076,2.076,0.0,992.441,992.441,0.0,992.441,992.441,992.441,2.076,11430.047,5.702,5.702,0.0,0.0,1
24,post: build dynamic axes,2.076,2.076,0.0,992.441,992.441,0.0,992.441,992.441,992.441,2.076,11430.047,3.991,3.991,0.0,0.0,1
25,build output names,2.076,2.076,0.0,992.441,992.441,0.0,992.441,992.441,992.441,2.076,11430.047,2.794,2.794,0.0,0.0,1
26,post: build output names,2.076,2.077,0.0,992.441,992.441,0.0,992.441,992.441,992.441,2.076,11430.047,31.956,31.956,0.0,0.0,1
27,language export,2.077,2.084,0.008,992.441,992.441,0.0,992.441,992.441,992.441,2.084,11430.047,31.541,31.541,0.0,0.0,1
28,post: language export,2.084,2.085,0.0,992.445,992.445,0.0,992.445,992.445,992.445,2.084,11430.047,31.384,31.384,0.0,0.0,1
29,post: dual-qpc export orchestration,2.085,59.687,57.603,992.445,12933.898,11941.453,992.445,12455.544,20507.738,3.462,54028.578,1.192,25.836,133.294,0.003,808
30,torch.onnx.export,59.687,72.524,12.837,12934.039,12965.188,31.148,12934.039,17561.125,22154.977,60.186,48927.121,17.345,40.334,3.203,5969.619,17
31,post: torch.onnx.export,72.524,72.525,0.0,12965.188,12965.188,0.0,12965.188,12965.188,12965.188,72.525,39711.109,5.789,5.789,0.0,0.0,1
32,onnx.load,72.525,72.525,0.001,12965.188,12965.188,0.0,12965.188,12965.188,12965.188,72.525,39711.109,4.053,4.053,0.0,0.0,1
33,post: onnx.load,72.525,72.526,0.0,12965.188,12965.188,0.0,12965.188,12965.188,12965.188,72.526,39711.109,2.837,2.837,0.0,0.0,1
