time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-25T22:58:17.806680,609.375,6522.305,0.299,155.784,0.012,0.0,0.0
-0.0,2026-06-25T22:58:17.806524,609.379,6522.305,0.209,155.796,0.012,17.962,0.0
0.002,2026-06-25T22:58:17.808392,609.539,6522.305,0.146,155.89,0.012,107.161,0.0
0.002,2026-06-25T22:58:17.808559,609.539,6522.305,0.102,155.891,0.012,3.799,0.0
0.012,2026-06-25T22:58:17.818562,609.613,6522.305,0.305,155.893,0.012,0.213,0.0
0.012,2026-06-25T22:58:17.818740,609.613,6522.305,0.214,155.893,0.012,4.064,0.0
0.012,2026-06-25T22:58:17.818987,609.613,6522.305,0.15,155.894,0.012,1.914,0.188
0.012,2026-06-25T22:58:17.819107,609.613,6522.305,0.105,155.894,0.012,3.885,0.0
0.374,2026-06-25T22:58:18.180827,738.773,6647.922,0.319,163.264,0.013,20.37,0.001
0.462,2026-06-25T22:58:18.269102,738.805,6647.922,0.303,163.588,0.013,3.662,0.0
0.513,2026-06-25T22:58:18.319458,738.805,6647.922,0.212,163.588,0.013,0.01,0.0
0.601,2026-06-25T22:58:18.408168,738.82,6647.922,0.254,163.911,0.013,3.65,0.0
0.652,2026-06-25T22:58:18.458501,738.82,6647.922,0.178,163.912,0.013,0.01,0.0
0.74,2026-06-25T22:58:18.547032,739.215,6647.922,0.257,164.239,0.013,3.702,0.005
0.791,2026-06-25T22:58:18.597400,739.215,6647.922,0.18,164.24,0.013,0.01,0.0
0.879,2026-06-25T22:58:18.685925,739.215,6647.922,0.205,164.563,0.013,3.657,0.0
0.93,2026-06-25T22:58:18.736272,739.215,6647.922,0.144,164.564,0.013,0.013,0.0
1.018,2026-06-25T22:58:18.824830,739.227,6647.922,0.207,164.887,0.013,3.656,0.0
1.068,2026-06-25T22:58:18.875171,739.227,6647.922,0.145,164.887,0.013,0.01,0.0
1.147,2026-06-25T22:58:18.954066,739.23,6647.922,0.19,165.067,0.013,2.263,0.0
1.148,2026-06-25T22:58:18.954839,739.23,6647.922,3.793,165.068,0.013,1.967,0.0
1.494,2026-06-25T22:58:19.300449,820.133,6728.285,2.893,172.218,0.014,20.692,0.001
1.612,2026-06-25T22:58:19.418225,820.215,6728.285,2.144,172.541,0.014,2.747,0.0
1.7,2026-06-25T22:58:19.506532,820.223,6728.285,1.607,172.864,0.014,3.661,0.0
1.75,2026-06-25T22:58:19.556866,820.223,6728.285,1.125,172.865,0.014,0.01,0.0
1.839,2026-06-25T22:58:19.645510,820.223,6728.285,0.893,173.188,0.014,3.652,0.0
1.889,2026-06-25T22:58:19.695858,820.223,6728.285,0.625,173.188,0.014,0.01,0.0
1.93,2026-06-25T22:58:19.736741,820.238,6728.285,0.495,173.203,0.014,0.36,0.0
1.93,2026-06-25T22:58:19.737029,820.238,6728.285,0.347,173.204,0.014,3.445,0.0
2.022,2026-06-25T22:58:19.828484,1210.188,11648.547,7.513,173.87,0.014,7.28,0.001
2.072,2026-06-25T22:58:19.878856,992.188,11430.047,12.646,173.871,0.014,0.016,0.002
2.073,2026-06-25T22:58:19.879297,992.188,11430.047,17.411,173.872,0.014,2.55,0.0
2.073,2026-06-25T22:58:19.879548,992.188,11430.047,12.188,173.872,0.014,1.939,0.0
2.073,2026-06-25T22:58:19.879683,992.188,11430.047,8.532,173.873,0.014,4.032,0.0
2.073,2026-06-25T22:58:19.879800,992.188,11430.047,5.972,173.873,0.014,4.155,0.0
2.073,2026-06-25T22:58:19.879921,992.188,11430.047,4.18,173.874,0.014,4.113,0.0
2.073,2026-06-25T22:58:19.880028,992.188,11430.047,2.926,173.874,0.014,4.658,0.0
2.073,2026-06-25T22:58:19.880133,992.188,11430.047,2.048,173.875,0.014,4.241,0.0
2.074,2026-06-25T22:58:19.880283,992.188,11430.047,1.434,173.875,0.014,3.344,0.0
