index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.001,0.002,0.001,609.734,609.734,0.0,609.734,609.734,609.734,0.002,6522.297,0.307,0.307,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.734,609.734,0.0,609.734,609.734,609.734,0.002,6522.297,0.215,0.215,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.015,0.013,609.809,609.809,0.0,609.809,609.809,609.809,0.015,6522.297,0.33,0.33,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.015,0.015,0.0,609.809,609.809,0.0,609.809,609.809,609.809,0.015,6522.297,0.231,0.231,0.0,0.0,1
5,config: mutate dtype/text_layers,0.015,0.015,0.0,609.809,609.809,0.0,609.809,609.809,609.809,0.015,6522.297,0.162,0.162,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.015,0.016,0.0,609.809,609.809,0.0,609.809,609.809,609.809,0.015,6522.297,0.113,0.113,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.016,0.759,0.744,738.18,738.613,0.434,738.18,738.532,738.613,0.759,6647.914,0.262,0.333,0.807,0.0,6
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.759,0.759,0.0,738.613,738.613,0.0,738.613,738.613,738.613,0.759,6647.914,0.159,0.159,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.759,1.271,0.512,821.379,821.383,0.004,821.379,821.38,821.383,1.271,6730.262,0.359,0.367,0.639,0.0,3
10,post: hf processor: AutoProcessor.from_pretrained,1.271,1.272,0.0,821.383,821.383,0.0,821.383,821.383,821.383,1.272,6730.262,0.251,0.251,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.272,1.427,0.155,822.535,993.648,171.113,822.535,1002.868,1201.641,1.375,11650.523,10.909,17.748,0.411,0.0,4
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.427,1.427,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.427,11432.023,12.424,12.424,0.0,0.0,1
13,compile orchestration: qeff_model.compile,1.427,1.427,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.427,11432.023,8.696,8.696,0.0,0.0,1
14,build output names,1.427,1.428,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.427,11432.023,6.088,6.088,0.0,0.0,1
15,post: build output names,1.428,1.428,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.428,11432.023,24.506,24.506,0.0,0.0,1
16,vision pytorch transform,1.428,1.428,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.428,11432.023,17.154,17.154,0.0,0.0,1
17,post: vision pytorch transform,1.428,1.428,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.428,11432.023,12.008,12.008,0.0,0.0,1
18,language pytorch transform,1.428,1.428,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.428,11432.023,8.406,8.406,0.0,0.0,1
19,post: language pytorch transform,1.428,1.428,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.428,11432.023,5.884,5.884,0.0,0.0,1
20,dual-qpc export orchestration,1.428,1.428,0.0,993.648,993.648,0.0,993.648,993.648,993.648,1.428,11432.023,4.119,4.119,0.0,0.0,1
21,build dummy inputs,1.428,1.432,0.003,993.902,993.902,0.0,993.902,993.902,993.902,1.431,11432.023,14.192,14.192,0.0,0.0,1
22,post: build dummy inputs,1.432,1.432,0.0,993.902,993.902,0.0,993.902,993.902,993.902,1.432,11432.023,9.935,9.935,0.0,0.0,1
