index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.001,609.781,609.781,0.0,609.781,609.781,609.781,0.001,6522.398,0.285,0.285,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.781,609.781,0.0,609.781,609.781,609.781,0.002,6522.398,0.2,0.2,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.879,609.879,0.0,609.879,609.879,609.879,0.012,6522.398,0.373,0.373,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.879,609.879,0.0,609.879,609.879,609.879,0.012,6522.398,0.261,0.261,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,609.879,609.879,0.0,609.879,609.879,609.879,0.012,6522.398,0.183,0.183,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.012,0.0,609.879,609.879,0.0,609.879,609.879,609.879,0.012,6522.398,0.128,0.128,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.012,1.158,1.145,669.574,737.664,68.09,669.574,729.996,737.664,1.157,6647.012,0.293,0.432,1.596,0.001,9
8,post: hf tokenizer: AutoTokenizer.from_pretrained,1.158,1.205,0.047,700.09,700.09,0.0,700.09,700.09,700.09,1.205,6609.012,0.367,0.367,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,1.205,1.849,0.644,739.734,739.738,0.004,739.734,739.735,739.738,1.849,6648.785,0.403,0.496,0.82,0.0,5
10,post: hf processor: AutoProcessor.from_pretrained,1.849,1.876,0.027,708.145,708.145,0.0,708.145,708.145,708.145,1.875,6616.785,0.407,0.407,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.876,4.435,2.559,10098.289,13813.367,3715.078,10098.289,26007.948,29657.855,3.542,495091.375,18.981,34.346,3.867,0.002,23
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,4.435,4.435,0.0,13813.367,13813.367,0.0,13813.367,13813.367,13813.367,4.435,40625.133,6.891,6.891,0.0,0.0,1
13,decode: compile request,4.435,4.435,0.0,13813.367,13813.367,0.0,13813.367,13813.367,13813.367,4.435,40625.133,4.824,4.824,0.0,0.0,1
14,decode: build output names,4.435,4.435,0.0,13813.367,13813.367,0.0,13813.367,13813.367,13813.367,4.435,40625.133,3.377,3.377,0.0,0.0,1
15,decode: post: build output names,4.435,4.435,0.0,13813.367,13813.367,0.0,13813.367,13813.367,13813.367,4.435,40625.133,2.364,2.364,0.0,0.0,1
16,decode: vision pytorch transform,4.435,4.436,0.0,13813.367,13813.367,0.0,13813.367,13813.367,13813.367,4.436,40625.133,1.655,1.655,0.0,0.0,1
17,decode: post: vision pytorch transform,4.436,4.436,0.0,13813.367,13813.367,0.0,13813.367,13813.367,13813.367,4.436,40625.133,1.158,1.158,0.0,0.0,1
18,decode: language pytorch transform,4.436,4.436,0.0,13813.367,13813.367,0.0,13813.367,13813.367,13813.367,4.436,40625.133,0.811,0.811,0.0,0.0,1
