time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-25T23:15:23.963349,609.57,6522.398,0.24,155.608,0.017,0.0,0.0
-0.0,2026-06-25T23:15:23.963116,609.574,6522.398,0.407,155.608,0.017,1.345,0.0
0.001,2026-06-25T23:15:23.964805,609.781,6522.398,0.285,155.743,0.017,120.796,0.0
0.002,2026-06-25T23:15:23.964972,609.781,6522.398,0.2,155.744,0.017,3.754,0.0
0.012,2026-06-25T23:15:23.974945,609.879,6522.398,0.373,155.746,0.017,0.213,0.0
0.012,2026-06-25T23:15:23.975148,609.879,6522.398,0.261,155.747,0.017,3.6,0.0
0.012,2026-06-25T23:15:23.975388,609.879,6522.398,0.183,155.747,0.017,1.975,0.196
0.012,2026-06-25T23:15:23.975578,609.879,6522.398,0.128,155.747,0.017,2.294,0.0
0.056,2026-06-25T23:15:24.019287,669.574,6580.465,0.338,162.532,0.017,16.994,0.0
0.676,2026-06-25T23:15:24.639797,737.215,6647.012,0.427,163.116,0.018,2.202,0.002
0.764,2026-06-25T23:15:24.727785,737.262,6647.012,0.432,163.437,0.018,3.652,0.0
0.815,2026-06-25T23:15:24.778120,737.637,6647.012,0.302,163.442,0.018,0.092,0.008
0.903,2026-06-25T23:15:24.866497,737.652,6647.012,0.291,163.763,0.018,3.642,0.0
0.954,2026-06-25T23:15:24.916867,737.652,6647.012,0.204,163.764,0.018,0.013,0.0
1.042,2026-06-25T23:15:25.005326,737.652,6647.012,0.276,164.085,0.018,3.645,0.0
1.092,2026-06-25T23:15:25.055671,737.652,6647.012,0.193,164.086,0.018,0.01,0.0
1.157,2026-06-25T23:15:25.120602,737.664,6647.012,0.171,164.129,0.018,0.661,0.0
1.205,2026-06-25T23:15:25.167891,700.09,6609.012,0.367,164.13,0.018,0.02,0.0
1.528,2026-06-25T23:15:25.490894,739.734,6648.785,0.496,171.414,0.018,22.575,0.001
1.632,2026-06-25T23:15:25.595594,739.734,6648.785,0.459,171.735,0.018,3.07,0.0
1.72,2026-06-25T23:15:25.683467,739.734,6648.785,0.428,172.057,0.018,3.656,0.0
1.77,2026-06-25T23:15:25.733814,739.734,6648.785,0.3,172.057,0.018,0.01,0.0
1.849,2026-06-25T23:15:25.812187,739.738,6648.785,0.329,172.234,0.018,2.262,0.0
1.875,2026-06-25T23:15:25.838687,708.145,6616.785,0.407,172.235,0.018,0.036,0.0
2.119,2026-06-25T23:15:26.082679,10098.289,481737.078,11.374,172.861,0.018,2.561,0.0
2.363,2026-06-25T23:15:26.326631,25938.324,492673.344,27.558,173.183,0.018,1.32,0.0
2.454,2026-06-25T23:15:26.416904,27806.625,493555.375,29.855,173.504,0.018,3.572,0.0
2.504,2026-06-25T23:15:26.467280,27048.969,493555.375,21.131,173.505,0.018,0.01,0.0
2.594,2026-06-25T23:15:26.557542,27624.625,495091.375,24.874,173.826,0.019,3.568,0.001
2.645,2026-06-25T23:15:26.607934,28477.223,495091.375,32.584,173.827,0.019,0.01,0.0
2.734,2026-06-25T23:15:26.697245,29656.578,495091.375,34.346,174.148,0.019,3.61,0.0
2.784,2026-06-25T23:15:26.747621,29456.273,495091.375,25.296,174.148,0.019,0.01,0.0
2.873,2026-06-25T23:15:26.835890,28736.5,495091.375,18.026,174.47,0.019,3.649,0.0
2.923,2026-06-25T23:15:26.886253,28244.023,495091.375,12.897,174.47,0.019,0.01,0.0
3.014,2026-06-25T23:15:26.976921,27486.367,495091.375,9.364,174.792,0.019,3.552,0.0
3.064,2026-06-25T23:15:27.027301,27031.773,495091.375,6.787,174.792,0.019,0.01,0.0
3.171,2026-06-25T23:15:27.134263,27525.285,493555.375,12.752,175.115,0.019,3.017,0.001
3.26,2026-06-25T23:15:27.223381,27996.039,493555.375,16.032,175.437,0.019,3.62,0.0
3.31,2026-06-25T23:15:27.273735,27265.449,493555.375,11.455,175.437,0.019,0.01,0.0
3.401,2026-06-25T23:15:27.364018,27441.477,495091.375,16.099,175.76,0.019,3.577,0.001
3.451,2026-06-25T23:15:27.414415,28329.91,495091.375,26.12,175.76,0.019,0.01,0.0
3.542,2026-06-25T23:15:27.504956,29657.855,495091.375,30.649,176.083,0.019,3.569,0.0
3.592,2026-06-25T23:15:27.555337,29304.742,495091.375,22.615,176.083,0.019,0.01,0.0
3.681,2026-06-25T23:15:27.644394,28016.727,495091.375,16.173,176.405,0.019,3.627,0.0
3.731,2026-06-25T23:15:27.694769,27259.07,495091.375,11.553,176.406,0.019,0.01,0.0
4.416,2026-06-25T23:15:28.379389,13967.305,40817.141,9.183,176.727,0.02,0.469,0.002
4.435,2026-06-25T23:15:28.397880,13813.367,40625.133,9.844,176.728,0.02,0.026,0.006
4.435,2026-06-25T23:15:28.398337,13813.367,40625.133,6.891,176.728,0.02,2.195,0.0
4.435,2026-06-25T23:15:28.398491,13813.367,40625.133,4.824,176.729,0.02,3.464,0.0
4.435,2026-06-25T23:15:28.398618,13813.367,40625.133,3.377,176.729,0.02,4.0,0.0
