index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.001,609.426,609.426,0.0,609.426,609.426,609.426,0.002,6522.273,0.284,0.284,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.426,609.426,0.0,609.426,609.426,609.426,0.002,6522.273,0.199,0.199,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.488,609.488,0.0,609.488,609.488,609.488,0.012,6522.273,0.374,0.374,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.488,609.488,0.0,609.488,609.488,609.488,0.012,6522.273,0.262,0.262,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,609.488,609.488,0.0,609.488,609.488,609.488,0.012,6522.273,0.183,0.183,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.012,0.0,609.488,609.488,0.0,609.488,609.488,609.488,0.012,6522.273,0.128,0.128,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.012,0.633,0.621,738.938,739.484,0.547,738.938,739.371,739.484,0.633,6647.887,0.253,0.341,0.657,0.0,6
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.633,0.672,0.039,696.875,696.875,0.0,696.875,696.875,696.875,0.671,6604.887,0.282,0.282,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.672,1.187,0.515,741.371,741.395,0.023,741.371,741.387,741.395,1.186,6649.715,0.368,0.444,0.534,0.0,4
10,post: hf processor: AutoProcessor.from_pretrained,1.187,1.213,0.026,705.695,705.695,0.0,705.695,705.695,705.695,1.213,6613.715,0.459,0.459,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.213,6.647,5.434,7836.312,13810.492,5974.18,7836.312,25687.777,29583.457,5.723,495152.305,18.756,32.48,3.5,0.002,18
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,6.647,6.647,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.647,40686.062,36.855,36.855,0.0,0.0,1
13,vision: compile request,6.647,6.647,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.647,40686.062,25.799,25.799,0.0,0.0,1
14,vision: build output names,6.647,6.648,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.647,40686.062,18.059,18.059,0.0,0.0,1
15,vision: post: build output names,6.648,6.648,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.648,40686.062,12.641,12.641,0.0,0.0,1
16,vision: vision pytorch transform,6.648,6.648,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.648,40686.062,38.849,38.849,0.0,0.0,1
17,vision: post: vision pytorch transform,6.648,6.648,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.648,40686.062,39.007,39.007,0.0,0.0,1
18,vision: language pytorch transform,6.648,6.648,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.648,40686.062,38.595,38.595,0.0,0.0,1
19,vision: post: language pytorch transform,6.648,6.649,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.649,40686.062,27.017,27.017,0.0,0.0,1
20,vision: dual-qpc export orchestration,6.649,6.649,0.0,13810.492,13810.492,0.0,13810.492,13810.492,13810.492,6.649,40686.062,18.912,18.912,0.0,0.0,1
21,vision: build dummy inputs,6.649,6.65,0.001,13810.746,13810.746,0.0,13810.746,13810.746,13810.746,6.649,40686.062,16.166,16.166,0.0,0.0,1
22,vision: post: build dummy inputs,6.65,6.65,0.0,13810.746,13810.746,0.0,13810.746,13810.746,13810.746,6.65,40686.062,41.316,41.316,0.0,0.0,1
23,vision: build dynamic axes,6.65,6.65,0.0,13810.746,13810.746,0.0,13810.746,13810.746,13810.746,6.65,40686.062,28.921,28.921,0.0,0.0,1
24,vision: post: build dynamic axes,6.65,6.65,0.0,13810.746,13810.746,0.0,13810.746,13810.746,13810.746,6.65,40686.062,20.245,20.245,0.0,0.0,1
25,vision: build output names,6.65,6.65,0.0,13810.746,13810.746,0.0,13810.746,13810.746,13810.746,6.65,40686.062,14.171,14.171,0.0,0.0,1
26,vision: post: build output names,6.65,6.651,0.0,13810.746,13810.746,0.0,13810.746,13810.746,13810.746,6.65,40686.062,9.92,9.92,0.0,0.0,1
27,vision: vision export,6.651,6.658,0.008,13810.746,13810.746,0.0,13810.746,13810.746,13810.746,6.658,40686.062,19.39,19.39,0.0,0.0,1
28,vision: torch.onnx.export,6.658,30.312,23.654,13811.285,15287.207,1475.922,13811.285,15122.421,17308.34,29.428,44175.246,17.648,40.045,41.079,1099.51,238
29,vision: post: torch.onnx.export,30.312,30.313,0.0,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,30.313,42153.621,0.709,0.709,0.0,0.0,1
30,vision: vision offload pytorch weights,30.313,30.313,0.0,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,30.313,42153.621,0.496,0.496,0.0,0.0,1
31,vision: post: vision offload pytorch weights,30.313,30.313,0.0,15287.207,15287.207,0.0,15287.207,15287.207,15287.207,30.313,42153.621,0.347,0.347,0.0,0.0,1
