index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.001,609.855,609.855,0.0,609.855,609.855,609.855,0.002,6522.301,0.112,0.112,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.855,609.855,0.0,609.855,609.855,609.855,0.002,6522.301,0.078,0.078,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.922,609.922,0.0,609.922,609.922,609.922,0.012,6522.301,0.291,0.291,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.922,609.922,0.0,609.922,609.922,609.922,0.012,6522.301,0.203,0.203,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,609.922,609.922,0.0,609.922,609.922,609.922,0.012,6522.301,0.142,0.142,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.012,0.0,609.922,609.922,0.0,609.922,609.922,609.922,0.012,6522.301,0.1,0.1,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.012,0.682,0.67,667.762,739.582,71.82,667.762,721.623,739.582,0.682,6648.922,0.314,0.405,0.603,0.001,4
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.682,0.722,0.039,698.098,698.098,0.0,698.098,698.098,698.098,0.721,6606.922,0.395,0.395,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.722,1.243,0.522,740.777,740.824,0.047,740.777,740.809,740.824,1.188,6649.75,0.413,0.526,0.345,0.0,3
10,post: hf processor: AutoProcessor.from_pretrained,1.243,1.27,0.027,708.254,708.254,0.0,708.254,708.254,708.254,1.27,6616.75,0.559,0.559,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.27,5.886,4.616,709.406,13813.66,13104.254,709.406,19608.967,29647.109,3.247,495091.34,19.099,39.617,5.046,0.002,30
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,5.886,5.886,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.886,40625.105,4.299,4.299,0.0,0.0,1
13,vision: compile request,5.886,5.887,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.886,40625.105,3.009,3.009,0.0,0.0,1
14,vision: build output names,5.887,5.887,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.887,40625.105,2.107,2.107,0.0,0.0,1
15,vision: post: build output names,5.887,5.887,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.887,40625.105,1.475,1.475,0.0,0.0,1
16,vision: vision pytorch transform,5.887,5.887,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.887,40625.105,1.032,1.032,0.0,0.0,1
17,vision: post: vision pytorch transform,5.887,5.887,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.887,40625.105,0.723,0.723,0.0,0.0,1
18,vision: language pytorch transform,5.887,5.887,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.887,40625.105,0.506,0.506,0.0,0.0,1
19,vision: post: language pytorch transform,5.887,5.887,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.887,40625.105,0.354,0.354,0.0,0.0,1
20,vision: dual-qpc export orchestration,5.887,5.887,0.0,13813.66,13813.66,0.0,13813.66,13813.66,13813.66,5.887,40625.105,0.248,0.248,0.0,0.0,1
21,vision: build dummy inputs,5.887,5.89,0.002,13813.914,13813.914,0.0,13813.914,13813.914,13813.914,5.889,40625.105,12.049,12.049,0.0,0.0,1
22,vision: post: build dummy inputs,5.89,5.89,0.0,13813.914,13813.914,0.0,13813.914,13813.914,13813.914,5.89,40625.105,8.434,8.434,0.0,0.0,1
23,vision: build dynamic axes,5.89,5.89,0.0,13813.914,13813.914,0.0,13813.914,13813.914,13813.914,5.89,40625.105,5.904,5.904,0.0,0.0,1
24,vision: post: build dynamic axes,5.89,5.89,0.0,13813.914,13813.914,0.0,13813.914,13813.914,13813.914,5.89,40625.105,4.133,4.133,0.0,0.0,1
