time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T01:29:54.412773,609.703,6522.301,0.229,155.805,0.012,0.0,0.0
-0.0,2026-06-26T01:29:54.412610,609.707,6522.301,0.16,155.811,0.012,9.497,0.0
0.002,2026-06-26T01:29:54.414284,609.855,6522.301,0.112,155.912,0.012,126.588,0.0
0.002,2026-06-26T01:29:54.414456,609.855,6522.301,0.078,155.913,0.012,3.585,0.0
0.012,2026-06-26T01:29:54.424359,609.922,6522.301,0.291,155.915,0.012,0.216,0.0
0.012,2026-06-26T01:29:54.424547,609.922,6522.301,0.203,155.915,0.012,3.835,0.0
0.012,2026-06-26T01:29:54.424816,609.922,6522.301,0.142,155.916,0.012,1.747,0.171
0.012,2026-06-26T01:29:54.424945,609.922,6522.301,0.1,155.916,0.012,3.908,0.0
0.116,2026-06-26T01:29:54.529224,667.762,6578.363,0.343,162.701,0.012,44.945,0.0
0.488,2026-06-26T01:29:54.900815,739.574,6648.922,0.405,163.298,0.013,1.836,0.003
0.588,2026-06-26T01:29:55.001252,739.574,6648.922,0.283,163.298,0.013,0.005,0.0
0.682,2026-06-26T01:29:55.094407,739.582,6648.922,0.223,163.304,0.013,0.064,0.0
0.721,2026-06-26T01:29:55.133652,698.098,6606.922,0.395,163.305,0.013,0.021,0.0
1.049,2026-06-26T01:29:55.461724,740.777,6649.75,0.526,170.635,0.014,22.367,0.001
1.188,2026-06-26T01:29:55.601149,740.824,6649.75,0.419,170.966,0.014,2.373,0.0
1.243,2026-06-26T01:29:55.655976,740.824,6649.75,0.293,170.981,0.014,0.268,0.0
1.27,2026-06-26T01:29:55.682367,708.254,6616.75,0.559,170.981,0.014,0.018,0.0
1.289,2026-06-26T01:29:55.701700,709.406,6616.75,0.511,171.363,0.014,18.985,0.0
1.448,2026-06-26T01:29:55.860584,6541.977,477465.012,11.028,171.78,0.014,2.639,0.001
1.559,2026-06-26T01:29:55.971712,11295.727,481609.035,20.228,171.781,0.014,0.005,0.001
1.83,2026-06-26T01:29:56.242676,21891.387,492545.309,39.617,172.112,0.014,1.227,0.0
2.247,2026-06-26T01:29:56.660042,27686.395,494902.32,38.444,172.443,0.014,0.792,0.0
2.396,2026-06-26T01:29:56.808952,29631.734,495091.34,38.347,172.773,0.014,2.219,0.0
2.497,2026-06-26T01:29:56.909405,28736.785,495091.34,27.076,172.773,0.014,0.005,0.0
2.637,2026-06-26T01:29:57.049357,27524.535,495091.34,19.238,173.103,0.014,2.364,0.0
2.737,2026-06-26T01:29:57.149806,26736.188,493555.34,14.607,173.104,0.014,0.005,0.001
2.878,2026-06-26T01:29:57.290310,28185.383,493555.34,19.769,173.434,0.014,2.358,0.0
2.978,2026-06-26T01:29:57.390748,27237.734,493555.34,14.071,173.435,0.014,0.005,0.0
3.147,2026-06-26T01:29:57.559426,28381.621,495091.34,19.72,173.765,0.014,1.96,0.0
