index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.001,609.605,609.605,0.0,609.605,609.605,609.605,0.002,6522.301,0.116,0.116,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.605,609.605,0.0,609.605,609.605,609.605,0.002,6522.301,0.081,0.081,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.676,609.676,0.0,609.676,609.676,609.676,0.012,6522.301,0.288,0.288,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.676,609.676,0.0,609.676,609.676,609.676,0.012,6522.301,0.202,0.202,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,609.676,609.676,0.0,609.676,609.676,609.676,0.012,6522.301,0.141,0.141,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.013,0.0,609.676,609.676,0.0,609.676,609.676,609.676,0.013,6522.301,0.099,0.099,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.013,0.623,0.61,664.207,739.484,75.277,664.207,720.636,739.484,0.623,6647.914,0.33,0.413,0.603,0.001,4
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.623,0.671,0.048,699.797,699.797,0.0,699.797,699.797,699.797,0.67,6607.914,0.428,0.428,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.671,1.18,0.509,740.449,740.457,0.008,740.449,740.452,740.457,1.179,6649.715,0.433,0.54,0.345,0.0,3
10,post: hf processor: AutoProcessor.from_pretrained,1.18,1.206,0.027,709.684,709.684,0.0,709.684,709.684,709.684,1.206,6618.715,0.394,0.394,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.206,5.785,4.579,711.246,12992.777,12281.531,711.246,19404.413,27995.48,2.201,494300.289,17.667,36.868,5.294,0.003,34
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,5.785,5.785,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.785,39834.055,3.714,3.714,0.0,0.0,1
13,vision: compile request,5.785,5.785,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.785,39834.055,2.599,2.599,0.0,0.0,1
14,vision: build output names,5.785,5.785,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.785,39834.055,1.82,1.82,0.0,0.0,1
15,vision: post: build output names,5.785,5.785,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.785,39834.055,1.274,1.274,0.0,0.0,1
16,vision: vision pytorch transform,5.785,5.786,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.786,39834.055,0.892,0.892,0.0,0.0,1
17,vision: post: vision pytorch transform,5.786,5.786,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.786,39834.055,0.624,0.624,0.0,0.0,1
18,vision: language pytorch transform,5.786,5.786,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.786,39834.055,0.437,0.437,0.0,0.0,1
19,vision: post: language pytorch transform,5.786,5.786,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.786,39834.055,0.306,0.306,0.0,0.0,1
20,vision: dual-qpc export orchestration,5.786,5.786,0.0,12992.777,12992.777,0.0,12992.777,12992.777,12992.777,5.786,39834.055,0.214,0.214,0.0,0.0,1
21,vision: build dummy inputs,5.786,5.789,0.003,12993.031,12993.031,0.0,12993.031,12993.031,12993.031,5.789,39834.055,10.749,10.749,0.0,0.0,1
22,vision: post: build dummy inputs,5.789,5.789,0.0,12993.031,12993.031,0.0,12993.031,12993.031,12993.031,5.789,39834.055,7.524,7.524,0.0,0.0,1
23,vision: build dynamic axes,5.789,5.789,0.0,12993.031,12993.031,0.0,12993.031,12993.031,12993.031,5.789,39834.055,5.267,5.267,0.0,0.0,1
24,vision: post: build dynamic axes,5.789,5.789,0.0,12993.031,12993.031,0.0,12993.031,12993.031,12993.031,5.789,39834.055,3.687,3.687,0.0,0.0,1
25,vision: build output names,5.789,5.79,0.0,12993.031,12993.031,0.0,12993.031,12993.031,12993.031,5.789,39834.055,32.581,32.581,0.0,0.0,1
26,vision: post: build output names,5.79,5.79,0.0,12993.031,12993.031,0.0,12993.031,12993.031,12993.031,5.79,39834.055,22.807,22.807,0.0,0.0,1
27,vision: vision export,5.79,5.798,0.008,12993.031,12993.031,0.0,12993.031,12993.031,12993.031,5.798,39834.055,24.501,24.501,0.0,0.0,1
28,vision: torch.onnx.export,5.798,10.458,4.66,13018.117,13219.949,201.832,13018.117,13239.748,13670.574,10.239,40503.176,19.889,39.096,3.641,277.849,23
29,vision: post: torch.onnx.export,10.458,10.458,0.0,13219.949,13219.949,0.0,13219.949,13219.949,13219.949,10.458,40052.059,3.47,3.47,0.0,0.0,1
30,vision: vision offload pytorch weights,10.458,10.458,0.0,13219.949,13219.949,0.0,13219.949,13219.949,13219.949,10.458,40052.059,2.429,2.429,0.0,0.0,1
31,vision: post: vision offload pytorch weights,10.458,10.458,0.0,13219.949,13219.949,0.0,13219.949,13219.949,13219.949,10.458,40052.059,1.7,1.7,0.0,0.0,1
32,vision: onnx.load,10.458,10.672,0.214,13259.652,13296.457,36.805,13259.652,13278.055,13296.457,10.671,40329.91,1.335,1.412,277.962,0.0,2
33,vision: post: onnx.load,10.672,10.672,0.0,13296.457,13296.457,0.0,13296.457,13296.457,13296.457,10.672,40128.566,0.88,0.88,0.0,0.0,1
34,"vision: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",10.672,10.676,0.004,13296.457,13296.457,0.0,13296.457,13296.457,13296.457,10.676,40128.566,0.616,0.616,0.0,0.0,1
35,"vision: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",10.676,10.676,0.0,13296.457,13296.457,0.0,13296.457,13296.457,13296.457,10.676,40128.566,0.431,0.431,0.0,0.0,1
36,vision: onnx.save,10.676,11.724,1.048,13574.309,13296.457,-277.852,13296.457,13435.383,13574.309,11.551,40406.418,0.617,0.684,0.22,277.849,2
37,vision: post: onnx.save,11.724,14.096,2.371,13296.457,13219.949,-76.508,13219.949,13291.957,13296.457,11.747,40128.566,0.287,0.684,2.5,0.003,17
38,vision: post: vision export,14.096,14.096,0.0,13219.949,13219.949,0.0,13219.949,13219.949,13219.949,14.096,40052.059,0.238,0.238,0.0,0.0,1
39,vision: post: dual-qpc export orchestration,14.096,14.343,0.247,12972.914,12972.914,0.0,12972.914,12972.914,12972.914,14.342,40051.934,0.433,0.433,0.0,0.0,1
40,vision: vision compile wrapper,14.343,14.343,0.0,12972.914,12972.914,0.0,12972.914,12972.914,12972.914,14.343,40051.934,0.303,0.303,0.0,0.0,1
41,vision: onnx.load,14.343,14.659,0.316,12981.148,13251.305,270.156,12981.148,13116.227,13251.305,14.659,40329.785,0.728,0.754,277.935,0.0,2
42,vision: post: onnx.load,14.659,14.66,0.001,13251.305,13251.305,0.0,13251.305,13251.305,13251.305,14.66,40128.441,0.528,0.528,0.0,0.0,1
43,vision: subprocess.run: qaic-compile,14.66,26.222,11.561,13251.316,13251.316,0.0,13251.316,13423.835,14426.207,25.002,50689.266,1.03,6.26,281.035,562.115,113
