time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T01:18:27.951723,609.457,6522.301,0.236,155.805,0.012,0.0,0.0
-0.0,2026-06-26T01:18:27.951551,609.461,6522.301,0.165,155.818,0.012,19.094,0.0
0.002,2026-06-26T01:18:27.953366,609.605,6522.301,0.116,155.912,0.012,108.33,0.0
0.002,2026-06-26T01:18:27.953533,609.605,6522.301,0.081,155.913,0.012,3.7,0.0
0.012,2026-06-26T01:18:27.963618,609.676,6522.301,0.288,155.915,0.012,0.211,0.0
0.012,2026-06-26T01:18:27.963801,609.676,6522.301,0.202,155.915,0.012,3.826,0.0
0.012,2026-06-26T01:18:27.964094,609.676,6522.301,0.141,155.916,0.012,1.559,0.154
0.013,2026-06-26T01:18:27.964230,609.676,6522.301,0.099,155.916,0.012,4.208,0.0
0.117,2026-06-26T01:18:28.068543,664.207,6577.359,0.355,162.701,0.012,48.148,0.0
0.482,2026-06-26T01:18:28.434149,739.426,6647.914,0.413,163.298,0.013,1.813,0.003
0.583,2026-06-26T01:18:28.534590,739.426,6647.914,0.289,163.298,0.013,0.005,0.0
0.623,2026-06-26T01:18:28.574234,739.484,6647.914,0.262,163.304,0.013,0.15,0.0
0.67,2026-06-26T01:18:28.622035,699.797,6607.914,0.428,163.305,0.013,0.01,0.0
1.002,2026-06-26T01:18:28.953516,740.449,6649.715,0.54,170.636,0.014,22.133,0.001
1.141,2026-06-26T01:18:29.092452,740.449,6649.715,0.446,170.966,0.014,2.376,0.0
1.179,2026-06-26T01:18:29.130984,740.457,6649.715,0.312,170.98,0.014,0.381,0.0
1.206,2026-06-26T01:18:29.157526,709.684,6618.715,0.394,170.981,0.014,0.018,0.0
1.244,2026-06-26T01:18:29.195573,711.246,456195.98,0.584,171.449,0.014,12.003,0.0
1.443,2026-06-26T01:18:29.394388,13878.512,486185.016,18.125,171.779,0.014,1.67,0.0
1.545,2026-06-26T01:18:29.497021,21695.125,486411.02,33.299,171.78,0.014,0.005,0.0
1.72,2026-06-26T01:18:29.671576,26335.957,492764.289,36.868,172.11,0.014,1.895,0.0
1.82,2026-06-26T01:18:29.772128,26107.48,492764.289,27.67,172.11,0.014,0.005,0.0
1.96,2026-06-26T01:18:29.912165,25041.48,492764.289,19.671,172.441,0.014,2.364,0.0
2.061,2026-06-26T01:18:30.012587,26548.586,494300.289,27.6,172.441,0.014,0.005,0.001
2.201,2026-06-26T01:18:30.153084,27995.48,494300.289,28.844,172.771,0.014,2.359,0.0
2.302,2026-06-26T01:18:30.253532,27283.945,494300.289,20.447,172.772,0.014,0.005,0.0
2.46,2026-06-26T01:18:30.412154,26181.48,494300.289,14.624,173.102,0.014,2.086,0.0
2.561,2026-06-26T01:18:30.512605,25465.57,494300.289,10.47,173.103,0.014,0.005,0.0
2.727,2026-06-26T01:18:30.678720,26421.691,492764.289,15.533,173.434,0.014,1.998,0.0
2.828,2026-06-26T01:18:30.779226,25596.414,492764.289,12.107,173.434,0.014,0.005,0.0
3.0,2026-06-26T01:18:30.951478,27123.695,494300.289,19.271,173.765,0.014,1.925,0.0
3.1,2026-06-26T01:18:31.052058,27890.07,494300.289,21.474,173.766,0.014,0.005,0.0
3.241,2026-06-26T01:18:31.192344,26374.758,494300.289,15.333,174.097,0.014,2.366,0.0
3.341,2026-06-26T01:18:31.292798,25162.508,494300.289,10.966,174.098,0.014,0.005,0.0
3.94,2026-06-26T01:18:31.892008,13274.711,40154.059,8.819,174.428,0.017,0.551,0.005
4.041,2026-06-26T01:18:31.992494,14042.785,41370.051,17.535,174.428,0.017,0.005,0.0
4.211,2026-06-26T01:18:32.162253,15733.867,42906.055,23.415,174.758,0.017,1.947,0.0
4.311,2026-06-26T01:18:32.262737,16831.988,44442.059,25.981,174.759,0.017,0.005,0.0
4.451,2026-06-26T01:18:32.402899,16805.242,44442.059,23.025,175.089,0.017,2.359,0.0
4.552,2026-06-26T01:18:32.503438,15938.777,44442.059,16.35,175.089,0.017,0.005,0.0
4.691,2026-06-26T01:18:32.642997,14759.57,44442.059,11.765,175.419,0.017,2.369,0.0
4.792,2026-06-26T01:18:32.743435,13960.535,41370.055,8.468,175.419,0.017,0.005,0.0
4.94,2026-06-26T01:18:32.892196,13305.434,41370.055,8.23,175.75,0.017,2.221,0.0
5.041,2026-06-26T01:18:32.992761,14523.133,41370.055,17.476,175.75,0.017,0.005,0.0
5.185,2026-06-26T01:18:33.137094,16294.648,44442.062,23.878,176.08,0.017,2.288,0.0
5.286,2026-06-26T01:18:33.237679,17335.605,44442.062,27.217,176.081,0.017,0.005,0.0
5.426,2026-06-26T01:18:33.377448,16044.781,44442.062,19.354,176.411,0.017,2.367,0.0
5.526,2026-06-26T01:18:33.477882,15062.637,44442.062,13.804,176.411,0.017,0.005,0.0
5.666,2026-06-26T01:18:33.617425,13912.777,41370.059,9.966,176.741,0.017,2.371,0.0
5.766,2026-06-26T01:18:33.717856,13116.777,41370.059,7.209,176.742,0.017,0.005,0.0
5.784,2026-06-26T01:18:33.736046,12992.777,39834.055,5.305,176.742,0.017,0.027,0.006
5.785,2026-06-26T01:18:33.736641,12992.777,39834.055,3.714,176.743,0.017,1.423,0.0
5.785,2026-06-26T01:18:33.736846,12992.777,39834.055,2.599,176.743,0.017,2.52,0.0
5.785,2026-06-26T01:18:33.736982,12992.777,39834.055,1.82,176.744,0.017,3.916,0.0
5.785,2026-06-26T01:18:33.737106,12992.777,39834.055,1.274,176.744,0.017,3.771,0.0
5.786,2026-06-26T01:18:33.737259,12992.777,39834.055,0.892,176.745,0.017,3.379,0.0
5.786,2026-06-26T01:18:33.737366,12992.777,39834.055,0.624,176.745,0.017,4.721,0.0
5.786,2026-06-26T01:18:33.737469,12992.777,39834.055,0.437,176.746,0.017,4.604,0.0
5.786,2026-06-26T01:18:33.737662,12992.777,39834.055,0.306,176.746,0.017,2.43,0.0
5.786,2026-06-26T01:18:33.737784,12992.777,39834.055,0.214,176.747,0.017,4.206,0.0
5.789,2026-06-26T01:18:33.740622,12993.031,39834.055,10.749,176.747,0.017,0.168,0.0
5.789,2026-06-26T01:18:33.740806,12993.031,39834.055,7.524,176.748,0.017,3.676,0.0
5.789,2026-06-26T01:18:33.740933,12993.031,39834.055,5.267,176.748,0.017,3.835,0.0
5.789,2026-06-26T01:18:33.741055,12993.031,39834.055,3.687,176.749,0.017,4.146,0.0
5.789,2026-06-26T01:18:33.741189,12993.031,39834.055,32.581,176.749,0.017,3.453,0.0
5.79,2026-06-26T01:18:33.741329,12993.031,39834.055,22.807,176.75,0.017,3.696,0.0
5.798,2026-06-26T01:18:33.749259,12993.031,39834.055,24.501,176.75,0.017,0.061,0.02
5.928,2026-06-26T01:18:33.879584,13018.117,39870.445,27.991,177.081,0.019,2.533,0.013
6.028,2026-06-26T01:18:33.980022,13024.383,39870.445,34.525,177.081,0.019,0.005,0.0
6.174,2026-06-26T01:18:34.125431,13033.707,39870.445,39.096,177.411,0.019,2.276,0.0
6.274,2026-06-26T01:18:34.225886,13075.754,39911.809,31.63,177.412,0.019,0.005,0.0
6.414,2026-06-26T01:18:34.365316,13075.754,39911.809,22.444,177.742,0.019,2.373,0.0
6.514,2026-06-26T01:18:34.465748,13075.754,39911.809,15.944,177.743,0.019,0.005,0.0
6.663,2026-06-26T01:18:34.614700,13193.25,40029.055,21.069,178.073,0.019,2.221,0.0
6.763,2026-06-26T01:18:34.715120,13193.25,40029.055,14.981,178.073,0.019,0.005,0.0
6.922,2026-06-26T01:18:34.873402,13193.25,40029.055,10.798,178.404,0.019,2.09,0.0
7.022,2026-06-26T01:18:34.973853,13193.25,40029.055,7.792,178.404,0.019,0.005,0.0
7.168,2026-06-26T01:18:35.119589,13198.152,40046.129,19.495,178.734,0.019,2.271,0.0
7.268,2026-06-26T01:18:35.220008,13204.555,40046.129,28.61,178.735,0.019,0.005,0.0
7.408,2026-06-26T01:18:35.359715,13278.625,40114.43,31.095,179.065,0.019,2.368,0.0
7.508,2026-06-26T01:18:35.460115,13278.625,40114.43,21.999,179.066,0.019,0.005,0.0
7.667,2026-06-26T01:18:35.618776,13278.625,40114.43,15.71,179.397,0.019,2.091,0.0
7.767,2026-06-26T01:18:35.719188,13244.602,40080.281,15.935,179.397,0.019,0.005,0.0
7.913,2026-06-26T01:18:35.864808,13283.641,40120.363,26.062,179.728,0.019,2.279,0.0
8.014,2026-06-26T01:18:35.965264,13369.938,40205.742,23.113,179.729,0.019,0.005,0.0
