index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.001,0.002,0.001,609.918,609.918,0.0,609.918,609.918,609.918,0.002,6522.391,0.119,0.119,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.918,609.918,0.0,609.918,609.918,609.918,0.002,6522.391,0.083,0.083,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,610.012,610.012,0.0,610.012,610.012,610.012,0.012,6522.391,0.292,0.292,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,610.012,610.012,0.0,610.012,610.012,610.012,0.012,6522.391,0.204,0.204,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,610.012,610.012,0.0,610.012,610.012,610.012,0.012,6522.391,8.711,8.711,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.013,0.0,610.012,610.012,0.0,610.012,610.012,610.012,0.013,6522.391,6.097,6.097,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.013,0.959,0.946,669.82,738.672,68.852,669.82,727.137,738.672,0.959,6647.016,2.379,4.512,1.233,0.001,6
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.959,0.986,0.027,698.785,698.785,0.0,698.785,698.785,698.785,0.985,6607.016,0.897,0.897,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.986,1.521,0.535,739.809,739.906,0.098,739.809,739.878,739.906,1.491,6647.84,0.681,0.874,0.655,0.0,4
10,post: hf processor: AutoProcessor.from_pretrained,1.521,1.547,0.026,707.02,707.02,0.0,707.02,707.02,707.02,1.546,6614.84,0.547,0.556,0.0,0.0,2
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.547,4.121,2.574,18267.734,13811.988,-4455.746,13811.988,26394.99,29682.191,3.256,495153.43,17.334,29.515,3.849,0.002,23
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,4.121,4.121,0.0,13811.988,13811.988,0.0,13811.988,13811.988,13811.988,4.121,40687.188,14.235,14.235,0.0,0.0,1
13,prefill: compile request,4.121,4.121,0.0,13811.988,13811.988,0.0,13811.988,13811.988,13811.988,4.121,40687.188,9.964,9.964,0.0,0.0,1
