time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-25T23:32:38.986918,609.711,6522.391,0.243,155.607,0.017,0.0,0.0
-0.0,2026-06-25T23:32:38.986757,609.715,6522.391,0.17,155.612,0.017,9.841,0.0
0.002,2026-06-25T23:32:38.988645,609.918,6522.391,0.119,155.742,0.017,131.511,0.0
0.002,2026-06-25T23:32:38.988823,609.918,6522.391,0.083,155.743,0.017,3.522,0.0
0.012,2026-06-25T23:32:38.998821,610.012,6522.391,0.292,155.745,0.017,0.214,0.0
0.012,2026-06-25T23:32:38.999003,610.012,6522.391,0.204,155.746,0.017,3.915,0.0
0.012,2026-06-25T23:32:38.999271,610.012,6522.391,8.711,155.746,0.017,1.73,0.17
0.013,2026-06-25T23:32:38.999457,610.012,6522.391,6.097,155.746,0.017,2.812,0.0
0.056,2026-06-25T23:32:39.043389,669.82,6580.453,4.512,162.531,0.017,16.319,0.0
0.691,2026-06-25T23:32:39.677635,738.391,6647.016,3.35,163.118,0.018,2.233,0.002
0.778,2026-06-25T23:32:39.765282,738.641,6647.016,2.479,163.438,0.018,3.659,0.005
0.829,2026-06-25T23:32:39.815629,738.641,6647.016,1.735,163.439,0.018,0.01,0.0
0.917,2026-06-25T23:32:39.903516,738.656,6647.016,1.295,163.759,0.018,3.648,0.0
0.959,2026-06-25T23:32:39.945433,738.672,6647.016,0.906,163.765,0.018,0.142,0.0
0.985,2026-06-25T23:32:39.972134,698.785,6607.016,0.897,163.766,0.018,0.03,0.0
1.3,2026-06-25T23:32:40.286622,739.809,6647.84,0.874,171.086,0.019,23.295,0.001
1.404,2026-06-25T23:32:40.390630,739.891,6647.84,0.724,171.406,0.019,3.08,0.0
1.491,2026-06-25T23:32:40.478109,739.906,6647.84,0.614,171.727,0.019,3.66,0.0
1.52,2026-06-25T23:32:40.507276,739.906,6647.84,0.51,171.741,0.019,0.503,0.0
1.546,2026-06-25T23:32:40.533054,707.02,6614.84,0.537,171.742,0.019,0.02,0.0
1.546,2026-06-25T23:32:40.533175,707.02,6614.84,0.556,171.742,0.019,1.692,0.0
1.859,2026-06-25T23:32:40.845885,18267.734,486343.141,14.377,172.53,0.019,2.523,0.0
2.084,2026-06-25T23:32:41.070916,27901.016,493540.922,23.939,172.85,0.019,1.421,0.0
2.173,2026-06-25T23:32:41.159702,27516.07,493617.43,17.974,173.171,0.019,3.626,0.0
2.223,2026-06-25T23:32:41.210053,27076.07,493617.43,12.814,173.171,0.019,0.01,0.0
2.328,2026-06-25T23:32:41.315262,27523.184,495153.43,16.704,173.491,0.019,3.048,0.001
2.419,2026-06-25T23:32:41.406108,29154.637,495153.43,26.837,173.812,0.019,3.525,0.0
2.47,2026-06-25T23:32:41.456591,29659.016,495153.43,26.768,173.812,0.019,0.01,0.0
