index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.001,0.002,0.001,609.648,609.648,0.0,609.648,609.648,609.648,0.002,6522.273,0.281,0.281,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.648,609.648,0.0,609.648,609.648,609.648,0.002,6522.273,0.196,0.196,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.707,609.707,0.0,609.707,609.707,609.707,0.012,6522.273,0.603,0.603,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.707,609.707,0.0,609.707,609.707,609.707,0.012,6522.273,0.422,0.422,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.012,0.0,609.707,609.707,0.0,609.707,609.707,609.707,0.012,6522.273,0.296,0.296,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.012,0.013,0.0,609.707,609.707,0.0,609.707,609.707,609.707,0.012,6522.273,0.207,0.207,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.013,0.69,0.678,667.121,739.566,72.445,667.121,727.462,739.566,0.69,6647.883,0.414,0.477,1.246,0.001,6
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.69,0.73,0.039,698.094,698.094,0.0,698.094,698.094,698.094,0.729,6605.883,0.491,0.491,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.73,1.277,0.548,739.586,739.586,0.0,739.586,739.586,739.586,1.058,6648.715,0.5,0.586,0.664,0.0,4
10,post: hf processor: AutoProcessor.from_pretrained,1.277,1.304,0.027,708.973,708.973,0.0,708.973,708.973,708.973,1.303,6617.715,0.606,0.654,0.0,0.0,2
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.304,4.015,2.711,10122.656,13812.805,3690.148,10122.656,26081.294,29611.312,2.138,495155.305,16.69,33.635,4.225,0.002,24
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,4.015,4.015,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.015,40689.062,7.596,7.596,0.0,0.0,1
13,vision: compile request,4.015,4.016,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.015,40689.062,5.317,5.317,0.0,0.0,1
14,vision: build output names,4.016,4.016,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.016,40689.062,33.722,33.722,0.0,0.0,1
15,vision: post: build output names,4.016,4.016,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.016,40689.062,23.606,23.606,0.0,0.0,1
16,vision: vision pytorch transform,4.016,4.016,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.016,40689.062,46.524,46.524,0.0,0.0,1
17,vision: post: vision pytorch transform,4.016,4.016,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.016,40689.062,32.567,32.567,0.0,0.0,1
18,vision: language pytorch transform,4.016,4.016,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.016,40689.062,22.797,22.797,0.0,0.0,1
19,vision: post: language pytorch transform,4.016,4.016,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.016,40689.062,15.958,15.958,0.0,0.0,1
20,vision: dual-qpc export orchestration,4.016,4.016,0.0,13812.805,13812.805,0.0,13812.805,13812.805,13812.805,4.016,40689.062,11.17,11.17,0.0,0.0,1
21,vision: build dummy inputs,4.016,4.019,0.003,13813.059,13813.059,0.0,13813.059,13813.059,13813.059,4.019,40689.062,22.005,22.005,0.0,0.0,1
22,vision: post: build dummy inputs,4.019,4.019,0.0,13813.059,13813.059,0.0,13813.059,13813.059,13813.059,4.019,40689.062,15.404,15.404,0.0,0.0,1
23,vision: build dynamic axes,4.019,4.02,0.0,13813.059,13813.059,0.0,13813.059,13813.059,13813.059,4.019,40689.062,10.783,10.783,0.0,0.0,1
24,vision: post: build dynamic axes,4.02,4.02,0.0,13813.059,13813.059,0.0,13813.059,13813.059,13813.059,4.02,40689.062,7.548,7.548,0.0,0.0,1
25,vision: build output names,4.02,4.02,0.0,13813.059,13813.059,0.0,13813.059,13813.059,13813.059,4.02,40689.062,5.283,5.283,0.0,0.0,1
26,vision: post: build output names,4.02,4.02,0.0,13813.059,13813.059,0.0,13813.059,13813.059,13813.059,4.02,40689.062,33.698,33.698,0.0,0.0,1
27,vision: vision export,4.02,4.029,0.009,13813.059,13813.059,0.0,13813.059,13813.059,13813.059,4.028,40689.062,33.25,33.25,0.0,0.0,1
28,vision: torch.onnx.export,4.029,26.846,22.817,13814.16,15246.719,1432.559,13814.16,15107.541,17302.191,26.055,44169.711,18.0,44.298,39.349,1099.51,229
29,vision: post: torch.onnx.export,26.846,26.846,0.0,15246.719,15246.719,0.0,15246.719,15246.719,15246.719,26.846,42113.746,0.801,0.801,0.0,0.0,1
30,vision: vision offload pytorch weights,26.846,26.846,0.0,15246.719,15246.719,0.0,15246.719,15246.719,15246.719,26.846,42113.746,0.561,0.561,0.0,0.0,1
31,vision: post: vision offload pytorch weights,26.846,26.846,0.0,15246.719,15246.719,0.0,15246.719,15246.719,15246.719,26.846,42113.746,0.392,0.392,0.0,0.0,1
32,vision: onnx.load,26.846,27.481,0.634,15397.012,15246.719,-150.293,15246.719,15790.885,16314.168,27.333,43213.258,0.847,0.95,1100.485,0.0,8
33,vision: post: onnx.load,27.481,27.481,0.0,15246.719,15246.719,0.0,15246.719,15246.719,15246.719,27.481,42113.746,6.406,6.406,0.0,0.0,1
34,"vision: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",27.481,27.485,0.005,15246.719,15246.719,0.0,15246.719,15246.719,15246.719,27.485,42113.746,4.993,4.993,0.0,0.0,1
35,"vision: post: onnx transforms: RenameFunctionOutputsTransform,CustomOpTransform",27.485,27.486,0.0,15246.719,15246.719,0.0,15246.719,15246.719,15246.719,27.486,42113.746,3.495,3.495,0.0,0.0,1
36,vision: onnx.save,27.486,31.429,3.943,16346.23,15246.719,-1099.512,15246.719,16236.279,16346.23,30.729,43213.258,1.522,2.687,1.574,1099.508,10
37,vision: post: onnx.save,31.429,38.416,6.987,15246.719,15246.719,0.0,15246.719,15246.719,15246.719,31.438,42113.746,0.277,0.967,15.621,0.003,96
38,vision: post: vision export,38.416,38.416,0.0,15246.719,15246.719,0.0,15246.719,15246.719,15246.719,38.416,42113.746,0.514,0.514,0.0,0.0,1
39,vision: post: dual-qpc export orchestration,38.416,38.804,0.388,14681.098,13809.469,-871.629,13809.469,14130.316,14681.098,38.704,42113.746,0.808,0.985,0.325,0.0,3
40,vision: vision compile wrapper,38.804,38.804,0.0,13809.469,13809.469,0.0,13809.469,13809.469,13809.469,38.804,42096.547,0.689,0.689,0.0,0.0,1
41,vision: onnx.load,38.804,40.009,1.205,13878.707,14909.469,1030.762,13878.707,14397.684,14909.469,40.008,43196.059,0.86,0.968,1100.705,0.0,8
42,vision: post: onnx.load,40.009,40.01,0.001,14909.469,14909.469,0.0,14909.469,14909.469,14909.469,40.01,42096.547,2.551,2.551,0.0,0.0,1
43,vision: subprocess.run: qaic-compile,40.01,56.042,16.032,14909.469,14909.469,0.0,14909.469,15169.128,16055.875,40.862,53949.961,0.898,3.281,1102.658,2218.167,310
44,vision: post: subprocess.run: qaic-compile,56.042,56.043,0.001,14909.512,14909.512,0.0,14909.512,14909.512,14909.512,56.043,42096.547,0.526,0.526,0.0,0.0,1
45,vision: post: vision compile wrapper,56.043,56.666,0.622,13656.254,12741.328,-914.926,12741.328,13198.791,13656.254,56.58,41726.516,0.698,0.754,0.166,0.0,2
46,vision: post: compile request,56.666,56.666,0.0,12741.328,12741.328,0.0,12741.328,12741.328,12741.328,56.666,41726.516,0.527,0.527,0.0,0.0,1
47,prefill: compile request,56.666,56.666,0.0,12741.332,12741.332,0.0,12741.332,12741.332,12741.332,56.666,41726.516,0.369,0.369,0.0,0.0,1
48,prefill: build output names,56.666,56.666,0.0,12741.332,12741.332,0.0,12741.332,12741.332,12741.332,56.666,41726.516,0.258,0.258,0.0,0.0,1
49,prefill: post: build output names,56.666,56.667,0.0,12741.332,12741.332,0.0,12741.332,12741.332,12741.332,56.666,41726.516,0.181,0.181,0.0,0.0,1
50,prefill: vision pytorch transform,56.667,56.667,0.0,12741.332,12741.332,0.0,12741.332,12741.332,12741.332,56.667,41726.516,0.127,0.127,0.0,0.0,1
51,prefill: post: vision pytorch transform,56.667,56.667,0.0,12741.332,12741.332,0.0,12741.332,12741.332,12741.332,56.667,41726.516,0.089,0.089,0.0,0.0,1
52,prefill: language pytorch transform,56.667,56.667,0.0,12741.332,12741.332,0.0,12741.332,12741.332,12741.332,56.667,41726.516,0.062,0.062,0.0,0.0,1
53,prefill: post: language pytorch transform,56.667,56.667,0.0,12741.332,12741.332,0.0,12741.332,12741.332,12741.332,56.667,41726.516,0.043,0.043,0.0,0.0,1
54,prefill: dual-qpc export orchestration,56.667,56.668,0.0,12741.332,12741.332,0.0,12741.332,12741.332,12741.332,56.667,41726.516,0.03,0.03,0.0,0.0,1
55,prefill: build dummy inputs,56.668,56.67,0.002,12749.477,12749.477,0.0,12749.477,12749.477,12749.477,56.67,41726.516,7.178,7.178,0.0,0.0,1
56,prefill: post: build dummy inputs,56.67,56.67,0.0,12749.477,12749.477,0.0,12749.477,12749.477,12749.477,56.67,41726.516,35.025,35.025,0.0,0.0,1
57,prefill: build dynamic axes,56.67,56.671,0.0,12749.477,12749.477,0.0,12749.477,12749.477,12749.477,56.67,41726.516,24.517,24.517,0.0,0.0,1
58,prefill: post: build dynamic axes,56.671,56.671,0.0,12749.477,12749.477,0.0,12749.477,12749.477,12749.477,56.671,41726.516,17.162,17.162,0.0,0.0,1
59,prefill: build output names,56.671,56.671,0.0,12749.477,12749.477,0.0,12749.477,12749.477,12749.477,56.671,41726.516,12.013,12.013,0.0,0.0,1
60,prefill: post: build output names,56.671,56.671,0.0,12749.477,12749.477,0.0,12749.477,12749.477,12749.477,56.671,41726.516,38.409,38.409,0.0,0.0,1
61,prefill: language export,56.671,56.683,0.012,12749.477,12749.477,0.0,12749.477,12749.477,12749.477,56.683,41726.516,32.151,32.151,0.0,0.0,1
62,prefill: torch.onnx.export,56.683,92.803,36.12,12753.715,22238.531,9484.816,12753.715,13337.516,22238.531,92.801,50013.434,47.132,50.237,5.888,11902.107,20
63,prefill: post: torch.onnx.export,92.803,92.804,0.0,22238.531,22238.531,0.0,22238.531,22238.531,22238.531,92.803,50013.434,28.832,28.832,0.0,0.0,1
64,prefill: language offload pytorch weights,92.804,92.804,0.0,22238.531,22238.531,0.0,22238.531,22238.531,22238.531,92.804,50013.434,20.182,20.182,0.0,0.0,1
65,prefill: post: language offload pytorch weights,92.804,92.804,0.0,22238.531,22238.531,0.0,22238.531,22238.531,22238.531,92.804,50013.434,14.128,14.128,0.0,0.0,1
66,prefill: onnx.load,92.804,92.805,0.001,22238.531,22238.531,0.0,22238.531,22238.531,22238.531,92.805,50013.434,9.889,9.889,0.0,0.0,1
