time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T00:36:30.211198,609.504,6522.273,0.236,155.8,0.012,0.0,0.0
-0.0,2026-06-26T00:36:30.211024,609.504,6522.273,0.401,155.8,0.012,1.045,0.0
0.002,2026-06-26T00:36:30.212935,609.648,6522.273,0.281,155.907,0.012,108.307,0.0
0.002,2026-06-26T00:36:30.213100,609.648,6522.273,0.196,155.907,0.012,3.543,0.0
0.012,2026-06-26T00:36:30.223128,609.707,6522.273,0.603,155.909,0.012,0.212,0.0
0.012,2026-06-26T00:36:30.223312,609.707,6522.273,0.422,155.91,0.012,4.056,0.0
0.012,2026-06-26T00:36:30.223552,609.707,6522.273,0.296,155.91,0.012,1.94,0.192
0.012,2026-06-26T00:36:30.223674,609.707,6522.273,0.207,155.911,0.012,3.984,0.0
0.057,2026-06-26T00:36:30.268130,667.121,6578.332,0.396,162.695,0.012,44.51,0.0
0.439,2026-06-26T00:36:30.650467,739.484,6647.883,0.477,163.286,0.013,2.153,0.003
0.542,2026-06-26T00:36:30.752797,739.52,6647.883,0.448,163.611,0.013,3.174,0.0
0.63,2026-06-26T00:36:30.840865,739.539,6647.883,0.42,163.935,0.013,3.684,0.0
0.68,2026-06-26T00:36:30.891210,739.539,6647.883,0.294,163.936,0.013,0.01,0.0
0.69,2026-06-26T00:36:30.900928,739.566,6647.883,0.446,163.942,0.013,0.608,0.0
0.729,2026-06-26T00:36:30.940240,698.094,6605.883,0.491,163.942,0.013,0.012,0.0
1.058,2026-06-26T00:36:31.269635,739.586,6648.715,0.586,171.267,0.014,22.251,0.001
1.162,2026-06-26T00:36:31.372987,739.586,6648.715,0.524,171.592,0.014,3.141,0.0
1.25,2026-06-26T00:36:31.461110,739.586,6648.715,0.473,171.916,0.014,3.682,0.0
1.277,2026-06-26T00:36:31.488094,739.586,6648.715,0.418,171.931,0.014,0.542,0.0
1.303,2026-06-26T00:36:31.514420,708.973,6617.715,0.558,171.932,0.014,0.02,0.0
1.303,2026-06-26T00:36:31.514517,708.973,6617.715,0.654,171.932,0.014,0.821,0.0
1.531,2026-06-26T00:36:31.742312,10122.656,485513.016,10.953,172.724,0.014,3.489,0.0
1.759,2026-06-26T00:36:31.970372,26886.73,492993.273,30.305,173.049,0.014,1.402,0.0
1.853,2026-06-26T00:36:32.064236,27654.535,493619.305,26.404,173.373,0.014,3.593,0.0
1.903,2026-06-26T00:36:32.114602,27199.941,493619.305,18.715,173.374,0.014,0.01,0.0
1.997,2026-06-26T00:36:32.207915,27180.543,495155.305,18.451,173.698,0.014,3.483,0.001
2.047,2026-06-26T00:36:32.258405,28085.781,495155.305,28.081,173.699,0.014,0.01,0.0
2.138,2026-06-26T00:36:32.349212,29611.312,495155.305,33.635,174.024,0.014,3.584,0.0
2.188,2026-06-26T00:36:32.399583,29608.891,495155.305,25.404,174.024,0.014,0.01,0.0
