time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-25T22:43:28.639336,609.262,6522.273,0.239,155.794,0.012,0.0,0.0
-0.0,2026-06-25T22:43:28.639193,609.262,6522.273,0.405,155.794,0.012,1.401,0.0
0.002,2026-06-25T22:43:28.640862,609.426,6522.273,0.284,155.901,0.012,110.082,0.0
0.002,2026-06-25T22:43:28.641033,609.426,6522.273,0.199,155.901,0.012,3.829,0.0
0.012,2026-06-25T22:43:28.650983,609.488,6522.273,0.374,155.903,0.012,0.215,0.0
0.012,2026-06-25T22:43:28.651168,609.488,6522.273,0.262,155.904,0.012,3.786,0.0
0.012,2026-06-25T22:43:28.651421,609.488,6522.273,0.183,155.904,0.012,1.876,0.182
0.012,2026-06-25T22:43:28.651549,609.488,6522.273,0.128,155.905,0.012,4.393,0.0
0.338,2026-06-25T22:43:28.977375,738.938,6647.887,0.341,163.274,0.013,22.612,0.002
0.426,2026-06-25T22:43:29.065358,739.441,6647.887,0.319,163.602,0.013,3.721,0.005
0.476,2026-06-25T22:43:29.115708,739.441,6647.887,0.223,163.602,0.013,0.01,0.0
0.565,2026-06-25T22:43:29.203949,739.461,6647.887,0.289,163.925,0.013,3.667,0.0
0.615,2026-06-25T22:43:29.254298,739.461,6647.887,0.202,163.926,0.013,0.01,0.0
0.633,2026-06-25T22:43:29.271904,739.484,6647.887,0.142,163.932,0.013,0.338,0.0
0.671,2026-06-25T22:43:29.310324,696.875,6604.887,0.282,163.933,0.013,0.021,0.0
0.967,2026-06-25T22:43:29.605873,741.371,6649.715,0.443,171.256,0.014,24.808,0.001
1.054,2026-06-25T22:43:29.693796,741.391,6649.715,0.444,171.579,0.014,3.673,0.0
1.105,2026-06-25T22:43:29.744157,741.391,6649.715,0.311,171.579,0.014,0.01,0.0
1.186,2026-06-25T22:43:29.825696,741.395,6649.715,0.275,171.79,0.014,2.584,0.0
1.213,2026-06-25T22:43:29.851989,705.695,6613.715,0.459,171.791,0.014,0.05,0.0
4.355,2026-06-25T22:43:32.993881,7836.312,477261.82,0.973,172.385,0.014,0.189,0.0
4.558,2026-06-25T22:43:33.197221,19469.82,492736.27,17.387,172.708,0.014,1.498,0.0
4.907,2026-06-25T22:43:33.545878,27301.066,495152.305,21.722,173.03,0.014,0.959,0.0
5.02,2026-06-25T22:43:33.659148,29452.836,495152.305,30.402,173.353,0.014,2.852,0.0
5.108,2026-06-25T22:43:33.747367,29226.105,495152.305,23.779,173.676,0.014,3.661,0.0
5.158,2026-06-25T22:43:33.797711,28498.578,495152.305,16.878,173.677,0.014,0.01,0.0
5.247,2026-06-25T22:43:33.886496,27180.434,495152.305,12.132,173.999,0.014,3.643,0.0
5.298,2026-06-25T22:43:33.936845,26813.648,493616.305,12.257,174.0,0.014,0.01,0.001
5.393,2026-06-25T22:43:34.032191,28028.195,493616.305,21.814,174.323,0.014,3.39,0.0
5.443,2026-06-25T22:43:34.082556,28002.578,493616.305,18.755,174.323,0.014,0.01,0.0
5.532,2026-06-25T22:43:34.171460,26743.035,493616.305,13.445,174.646,0.014,3.636,0.0
5.582,2026-06-25T22:43:34.221818,27340.727,495152.305,21.722,174.646,0.014,0.01,0.001
5.673,2026-06-25T22:43:34.311975,28919.961,495152.305,30.273,174.969,0.014,3.586,0.0
5.723,2026-06-25T22:43:34.362340,29583.457,495152.305,32.48,174.969,0.014,0.01,0.0
5.812,2026-06-25T22:43:34.451101,28940.574,495152.305,24.242,175.292,0.014,3.642,0.0
5.862,2026-06-25T22:43:34.501443,28241.152,495152.305,17.202,175.293,0.014,0.01,0.0
5.951,2026-06-25T22:43:34.590689,26991.02,495152.305,12.357,175.615,0.014,3.622,0.0
6.646,2026-06-25T22:43:35.285574,13810.492,40686.062,9.793,175.885,0.015,0.388,0.002
6.647,2026-06-25T22:43:35.286151,13810.492,40686.062,36.855,175.885,0.015,1.958,0.0
6.647,2026-06-25T22:43:35.286441,13810.492,40686.062,25.799,175.886,0.015,3.288,0.0
6.647,2026-06-25T22:43:35.286672,13810.492,40686.062,18.059,175.887,0.015,3.333,0.0
6.648,2026-06-25T22:43:35.286878,13810.492,40686.062,12.641,175.888,0.015,3.665,0.0
6.648,2026-06-25T22:43:35.287142,13810.492,40686.062,38.849,175.888,0.015,2.738,0.0
6.648,2026-06-25T22:43:35.287332,13810.492,40686.062,39.007,175.889,0.015,4.285,0.0
6.648,2026-06-25T22:43:35.287551,13810.492,40686.062,38.595,175.89,0.015,3.139,0.0
6.649,2026-06-25T22:43:35.287852,13810.492,40686.062,27.017,175.891,0.015,2.72,0.0
6.649,2026-06-25T22:43:35.288053,13810.492,40686.062,18.912,175.892,0.015,3.469,0.0
6.649,2026-06-25T22:43:35.288791,13810.746,40686.062,16.166,175.894,0.015,3.247,0.0
6.65,2026-06-25T22:43:35.289052,13810.746,40686.062,41.316,175.895,0.015,3.92,0.0
