index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.002,609.645,609.645,0.0,609.645,609.645,609.645,0.002,6522.266,0.087,0.087,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,609.645,609.645,0.0,609.645,609.645,609.645,0.002,6522.266,0.061,0.061,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,609.711,609.711,0.0,609.711,609.711,609.711,0.012,6522.266,0.275,0.275,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,609.711,609.711,0.0,609.711,609.711,609.711,0.012,6522.266,0.192,0.192,0.0,0.0,1
5,config: mutate dtype/text_layers,0.012,0.013,0.0,609.711,609.711,0.0,609.711,609.711,609.711,0.012,6522.266,0.135,0.135,0.0,0.0,1
6,post: config: mutate dtype/text_layers,0.013,0.013,0.0,609.711,609.711,0.0,609.711,609.711,609.711,0.013,6522.266,0.094,0.094,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.013,0.7,0.687,670.18,739.383,69.203,670.18,727.832,739.383,0.699,6647.883,0.356,0.441,1.259,0.001,6
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.7,0.749,0.049,697.523,697.523,0.0,697.523,697.523,697.523,0.748,6605.883,0.382,0.382,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.749,1.283,0.534,740.52,740.57,0.051,740.52,740.548,740.57,1.283,6648.695,0.392,0.513,0.345,0.0,4
10,post: hf processor: AutoProcessor.from_pretrained,1.283,1.321,0.038,707.664,707.664,0.0,707.664,707.664,707.664,1.321,6615.695,0.431,0.431,0.0,0.0,1
11,qeff load: QEFFAutoModelForImageTextToText.from_pretrained,1.321,4.179,2.857,4941.676,13812.605,8870.93,4941.676,25193.899,29718.973,3.214,495090.285,21.861,41.606,4.942,0.002,28
12,post: qeff load: QEFFAutoModelForImageTextToText.from_pretrained,4.179,4.179,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.179,40624.043,42.537,42.537,0.0,0.0,1
13,vision: compile request,4.179,4.179,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.179,40624.043,29.776,29.776,0.0,0.0,1
14,vision: build output names,4.179,4.179,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.179,40624.043,20.843,20.843,0.0,0.0,1
15,vision: post: build output names,4.179,4.18,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.179,40624.043,32.404,32.404,0.0,0.0,1
16,vision: vision pytorch transform,4.18,4.18,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.18,40624.043,52.683,52.683,0.0,0.0,1
17,vision: post: vision pytorch transform,4.18,4.18,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.18,40624.043,36.878,36.878,0.0,0.0,1
18,vision: language pytorch transform,4.18,4.18,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.18,40624.043,25.815,25.815,0.0,0.0,1
19,vision: post: language pytorch transform,4.18,4.18,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.18,40624.043,18.07,18.07,0.0,0.0,1
20,vision: dual-qpc export orchestration,4.18,4.18,0.0,13812.605,13812.605,0.0,13812.605,13812.605,13812.605,4.18,40624.043,12.649,12.649,0.0,0.0,1
21,vision: build dummy inputs,4.18,4.181,0.001,13812.859,13812.859,0.0,13812.859,13812.859,13812.859,4.181,40624.043,18.511,18.511,0.0,0.0,1
22,vision: post: build dummy inputs,4.181,4.182,0.0,13812.859,13812.859,0.0,13812.859,13812.859,13812.859,4.181,40624.043,12.958,12.958,0.0,0.0,1
23,vision: build dynamic axes,4.182,4.182,0.0,13812.859,13812.859,0.0,13812.859,13812.859,13812.859,4.182,40624.043,9.07,9.07,0.0,0.0,1
24,vision: post: build dynamic axes,4.182,4.182,0.0,13812.859,13812.859,0.0,13812.859,13812.859,13812.859,4.182,40624.043,6.349,6.349,0.0,0.0,1
25,vision: build output names,4.182,4.182,0.0,13812.859,13812.859,0.0,13812.859,13812.859,13812.859,4.182,40624.043,4.444,4.444,0.0,0.0,1
26,vision: post: build output names,4.182,4.182,0.0,13812.859,13812.859,0.0,13812.859,13812.859,13812.859,4.182,40624.043,33.111,33.111,0.0,0.0,1
27,vision: vision export,4.182,4.19,0.008,13812.859,13812.859,0.0,13812.859,13812.859,13812.859,4.19,40624.043,31.951,31.951,0.0,0.0,1
28,vision: torch.onnx.export,4.19,27.152,22.962,13820.352,15241.414,1421.062,13820.352,15127.853,17302.703,26.266,44105.398,16.577,45.461,39.217,1099.509,220
29,vision: post: torch.onnx.export,27.152,27.152,0.0,15241.414,15241.414,0.0,15241.414,15241.414,15241.414,27.152,42043.617,0.792,0.792,0.0,0.0,1
