time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T02:20:13.157199,609.488,6522.266,0.178,155.802,0.012,0.0,0.0
-0.0,2026-06-26T02:20:13.157056,609.492,6522.266,0.125,155.887,0.012,67.98,0.0
0.002,2026-06-26T02:20:13.158929,609.645,6522.266,0.087,155.909,0.012,52.41,0.0
0.002,2026-06-26T02:20:13.159100,609.645,6522.266,0.061,155.91,0.012,3.405,0.0
0.012,2026-06-26T02:20:13.169175,609.711,6522.266,0.275,155.912,0.012,0.212,0.0
0.012,2026-06-26T02:20:13.169354,609.711,6522.266,0.192,155.912,0.012,3.992,0.0
0.012,2026-06-26T02:20:13.169604,609.711,6522.266,0.135,155.913,0.012,1.881,0.187
0.013,2026-06-26T02:20:13.169725,609.711,6522.266,0.094,155.913,0.012,4.081,0.0
0.057,2026-06-26T02:20:13.214198,670.18,6580.332,0.347,162.698,0.012,43.404,0.0
0.438,2026-06-26T02:20:13.595247,739.316,6647.883,0.438,163.293,0.013,2.209,0.003
0.543,2026-06-26T02:20:13.699778,739.371,6647.883,0.441,163.622,0.013,3.147,0.0
0.631,2026-06-26T02:20:13.788301,739.371,6647.883,0.415,163.951,0.013,3.712,0.0
0.681,2026-06-26T02:20:13.838630,739.371,6647.883,0.29,163.951,0.013,0.01,0.0
0.699,2026-06-26T02:20:13.856503,739.383,6647.883,0.203,163.957,0.013,0.332,0.0
0.748,2026-06-26T02:20:13.905318,697.523,6605.883,0.382,163.958,0.013,0.017,0.0
1.083,2026-06-26T02:20:14.239788,740.52,6648.695,0.513,171.287,0.014,21.933,0.001
1.171,2026-06-26T02:20:14.328668,740.551,6648.695,0.464,171.615,0.014,3.7,0.0
1.222,2026-06-26T02:20:14.379023,740.551,6648.695,0.325,171.616,0.014,0.01,0.0
1.283,2026-06-26T02:20:14.439928,740.57,6648.695,0.266,171.632,0.014,0.265,0.0
1.321,2026-06-26T02:20:14.478031,707.664,6615.695,0.431,171.633,0.014,0.021,0.0
1.507,2026-06-26T02:20:14.664563,4941.676,479519.98,6.453,172.427,0.014,4.266,0.0
1.668,2026-06-26T02:20:14.825119,14203.023,486407.996,18.528,172.757,0.014,2.052,0.0
1.816,2026-06-26T02:20:14.973631,20201.227,486343.996,30.332,173.087,0.014,2.22,0.0
1.917,2026-06-26T02:20:15.074665,24322.348,492864.254,37.287,173.416,0.014,3.263,0.0
1.968,2026-06-26T02:20:15.125103,25465.98,492608.254,41.204,173.417,0.014,0.01,0.0
2.093,2026-06-26T02:20:15.249910,28184.629,493554.285,41.606,173.746,0.014,2.649,0.0
2.182,2026-06-26T02:20:15.338852,26934.559,493554.285,29.441,174.076,0.014,3.71,0.0
2.232,2026-06-26T02:20:15.389221,26984.199,495090.285,26.505,174.076,0.014,0.01,0.001
2.322,2026-06-26T02:20:15.478701,28429.531,495090.285,31.929,174.406,0.014,3.692,0.0
2.372,2026-06-26T02:20:15.529056,29268.742,495090.285,35.681,174.407,0.014,0.01,0.0
2.461,2026-06-26T02:20:15.617912,29569.16,495090.285,28.806,174.735,0.014,3.707,0.0
2.511,2026-06-26T02:20:15.668268,28990.688,495090.285,20.396,174.736,0.014,0.01,0.0
2.6,2026-06-26T02:20:15.757529,28015.965,495090.285,14.619,175.064,0.014,3.69,0.0
2.651,2026-06-26T02:20:15.807902,27371.957,495090.285,10.466,175.065,0.014,0.01,0.0
2.741,2026-06-26T02:20:15.898511,26906.102,493554.285,10.874,175.394,0.014,3.635,0.001
2.792,2026-06-26T02:20:15.948901,27644.938,493554.285,22.49,175.394,0.014,0.01,0.0
2.881,2026-06-26T02:20:16.038395,27924.688,493554.285,21.62,175.723,0.014,3.684,0.0
2.932,2026-06-26T02:20:16.088776,27389.152,493554.285,15.366,175.723,0.014,0.01,0.0
3.022,2026-06-26T02:20:16.179144,27012.961,495090.285,14.572,176.052,0.014,3.647,0.001
3.072,2026-06-26T02:20:16.229578,27878.891,495090.285,24.311,176.052,0.014,0.01,0.0
3.164,2026-06-26T02:20:16.320827,29452.992,495090.285,31.256,176.381,0.014,3.622,0.0
3.214,2026-06-26T02:20:16.371212,29718.973,495090.285,26.014,176.382,0.014,0.01,0.0
3.303,2026-06-26T02:20:16.460169,28811.504,495090.285,18.553,176.711,0.014,3.703,0.0
3.353,2026-06-26T02:20:16.510532,28243.262,495090.285,13.219,176.711,0.014,0.01,0.0
3.443,2026-06-26T02:20:16.599756,27258.309,495090.285,9.595,177.04,0.014,3.693,0.0
3.493,2026-06-26T02:20:16.650129,26678.684,495090.285,6.949,177.04,0.014,0.01,0.0
4.164,2026-06-26T02:20:17.321560,13812.418,40752.047,6.121,177.369,0.015,0.49,0.002
4.178,2026-06-26T02:20:17.335627,13812.605,40624.043,17.91,177.37,0.015,0.034,0.008
4.179,2026-06-26T02:20:17.336154,13812.605,40624.043,42.537,177.37,0.015,1.659,0.0
4.179,2026-06-26T02:20:17.336340,13812.605,40624.043,29.776,177.371,0.015,2.908,0.0
4.179,2026-06-26T02:20:17.336478,13812.605,40624.043,20.843,177.371,0.015,3.618,0.0
4.179,2026-06-26T02:20:17.336610,13812.605,40624.043,32.404,177.372,0.015,3.778,0.0
4.18,2026-06-26T02:20:17.336750,13812.605,40624.043,52.683,177.372,0.015,3.58,0.0
4.18,2026-06-26T02:20:17.336861,13812.605,40624.043,36.878,177.373,0.015,4.776,0.0
4.18,2026-06-26T02:20:17.336963,13812.605,40624.043,25.815,177.373,0.015,4.787,0.0
4.18,2026-06-26T02:20:17.337132,13812.605,40624.043,18.07,177.374,0.015,2.607,0.0
4.18,2026-06-26T02:20:17.337261,13812.605,40624.043,12.649,177.374,0.015,4.171,0.0
4.181,2026-06-26T02:20:17.338441,13812.859,40624.043,18.511,177.374,0.015,0.395,0.0
4.181,2026-06-26T02:20:17.338614,13812.859,40624.043,12.958,177.375,0.015,3.893,0.0
4.182,2026-06-26T02:20:17.338739,13812.859,40624.043,9.07,177.375,0.015,3.864,0.0
4.182,2026-06-26T02:20:17.338855,13812.859,40624.043,6.349,177.376,0.015,4.232,0.0
4.182,2026-06-26T02:20:17.338973,13812.859,40624.043,4.444,177.376,0.015,4.267,0.0
4.182,2026-06-26T02:20:17.339093,13812.859,40624.043,33.111,177.377,0.015,3.618,0.0
4.19,2026-06-26T02:20:17.347068,13812.859,40624.043,31.951,177.377,0.016,0.061,0.02
4.275,2026-06-26T02:20:17.431855,13820.352,40627.363,31.676,177.706,0.017,3.871,0.019
4.365,2026-06-26T02:20:17.522244,13849.0,40667.449,37.189,178.034,0.017,3.635,0.0
4.415,2026-06-26T02:20:17.572576,13852.445,40667.449,40.712,178.035,0.017,0.01,0.0
4.511,2026-06-26T02:20:17.667910,13858.816,40667.449,43.438,178.363,0.017,3.451,0.0
4.561,2026-06-26T02:20:17.718272,13902.598,40708.812,45.461,178.364,0.017,0.01,0.0
4.65,2026-06-26T02:20:17.807475,13902.598,40708.812,32.244,178.692,0.017,3.688,0.0
4.701,2026-06-26T02:20:17.857832,13902.598,40708.812,22.803,178.693,0.017,0.01,0.0
4.79,2026-06-26T02:20:17.947107,13902.598,40708.812,16.304,179.021,0.017,3.686,0.0
4.84,2026-06-26T02:20:17.997457,13902.598,40708.812,11.645,179.022,0.017,0.01,0.0
4.934,2026-06-26T02:20:18.090842,13902.602,40708.812,9.709,179.35,0.017,3.523,0.0
4.984,2026-06-26T02:20:18.141266,13925.867,40739.035,21.879,179.351,0.017,0.01,0.0
5.079,2026-06-26T02:20:18.236586,13931.52,40739.035,30.256,179.68,0.017,3.454,0.0
5.13,2026-06-26T02:20:18.286929,14001.375,40807.336,33.178,179.68,0.017,0.01,0.0
5.219,2026-06-26T02:20:18.376223,14001.375,40807.336,23.566,180.009,0.017,3.686,0.0
5.269,2026-06-26T02:20:18.426575,14001.375,40807.336,16.728,180.009,0.017,0.01,0.0
5.359,2026-06-26T02:20:18.516309,14001.375,40807.336,12.05,180.338,0.017,3.669,0.0
5.409,2026-06-26T02:20:18.566651,14001.375,40807.336,8.667,180.338,0.017,0.01,0.0
5.506,2026-06-26T02:20:18.663267,14001.375,40807.336,9.319,180.667,0.017,3.402,0.0
5.557,2026-06-26T02:20:18.713836,14012.969,40831.992,21.294,180.668,0.017,0.01,0.0
5.652,2026-06-26T02:20:18.808942,14019.367,40831.992,29.854,180.996,0.017,3.463,0.0
5.702,2026-06-26T02:20:18.859289,14022.598,40831.992,35.913,180.997,0.017,0.01,0.0
5.794,2026-06-26T02:20:18.950994,14094.332,40900.293,35.832,181.326,0.017,3.591,0.0
5.844,2026-06-26T02:20:19.001349,14094.332,40900.293,25.361,181.326,0.017,0.01,0.0
5.934,2026-06-26T02:20:19.090938,14094.332,40900.293,18.093,181.655,0.017,3.678,0.0
5.984,2026-06-26T02:20:19.141295,14094.332,40900.293,12.898,181.656,0.017,0.01,0.0
6.073,2026-06-26T02:20:19.230587,14094.332,40900.293,9.344,181.985,0.017,3.689,0.0
6.124,2026-06-26T02:20:19.280947,14094.332,40900.293,6.773,181.985,0.017,0.01,0.0
6.226,2026-06-26T02:20:19.383499,14100.789,40912.371,19.037,182.314,0.017,3.212,0.0
6.322,2026-06-26T02:20:19.479257,14202.496,41014.824,28.328,182.643,0.017,3.435,0.0
6.372,2026-06-26T02:20:19.529666,14174.711,40980.672,22.709,182.643,0.017,0.01,0.0
6.462,2026-06-26T02:20:19.618864,14174.711,40980.672,16.238,182.973,0.017,3.704,0.0
6.512,2026-06-26T02:20:19.669222,14174.711,40980.672,11.599,182.974,0.017,0.01,0.0
6.601,2026-06-26T02:20:19.758370,14174.711,40980.672,8.461,183.303,0.017,3.706,0.0
6.652,2026-06-26T02:20:19.808727,14174.711,40980.672,6.155,183.304,0.017,0.01,0.0
6.763,2026-06-26T02:20:19.920695,14190.512,41003.68,13.483,183.634,0.017,2.949,0.0
6.858,2026-06-26T02:20:20.015647,14196.926,41003.68,24.422,183.964,0.017,3.474,0.0
6.909,2026-06-26T02:20:20.066031,14266.023,41071.984,24.014,183.964,0.017,0.01,0.0
6.998,2026-06-26T02:20:20.155189,14266.023,41071.984,17.125,184.294,0.017,3.706,0.0
7.048,2026-06-26T02:20:20.205547,14266.023,41071.984,12.22,184.294,0.017,0.01,0.0
7.138,2026-06-26T02:20:20.295290,14266.023,41071.984,8.894,184.624,0.017,3.677,0.0
7.189,2026-06-26T02:20:20.345766,14266.023,41071.984,6.458,184.625,0.017,0.01,0.0
7.299,2026-06-26T02:20:20.456518,14268.809,41074.77,11.993,184.955,0.017,2.979,0.0
7.394,2026-06-26T02:20:20.551323,14281.934,41088.555,23.434,185.284,0.017,3.482,0.0
7.444,2026-06-26T02:20:20.601689,14350.898,41156.859,22.772,185.285,0.017,0.01,0.0
7.534,2026-06-26T02:20:20.690730,14350.898,41156.859,16.31,185.614,0.017,3.699,0.0
7.584,2026-06-26T02:20:20.741082,14350.898,41156.859,11.649,185.614,0.017,0.01,0.0
7.673,2026-06-26T02:20:20.830050,14350.898,41156.859,8.471,185.943,0.017,3.703,0.0
7.723,2026-06-26T02:20:20.880409,14350.898,41156.859,6.162,185.944,0.017,0.01,0.0
7.834,2026-06-26T02:20:20.990725,14361.902,41167.863,11.919,186.273,0.017,2.983,0.0
7.928,2026-06-26T02:20:21.085406,14367.145,41175.074,23.381,186.602,0.017,3.477,0.0
7.979,2026-06-26T02:20:21.135743,14437.414,41243.375,29.343,186.602,0.017,0.01,0.0
8.067,2026-06-26T02:20:21.224637,14437.414,41243.375,20.857,186.931,0.017,3.705,0.0
8.118,2026-06-26T02:20:21.275004,14437.414,41243.375,14.832,186.931,0.017,0.01,0.0
8.207,2026-06-26T02:20:21.364109,14437.414,41243.375,10.751,187.26,0.017,3.699,0.0
8.257,2026-06-26T02:20:21.414465,14437.414,41243.375,7.758,187.261,0.017,0.01,0.0
8.352,2026-06-26T02:20:21.508900,14437.414,41243.375,7.691,187.59,0.017,3.487,0.0
8.402,2026-06-26T02:20:21.559290,14448.285,41258.168,20.475,187.59,0.017,0.01,0.0
