stage,start_s,end_s,duration_min,rss_peak_gib,rss_start_gib,rss_end_gib,vms_peak_gib,disk_write_delta_gib
Startup / HF config + tokenizer,0.0,1.252,0.021,0.804,0.596,0.804,6.574,0.0
Vision model load,1.252,2.924,0.028,19.648,0.804,9.005,479.038,0.0
Vision export/compile,2.924,4.386,0.024,10.051,9.005,8.989,36.333,0.0
Cleanup after vision,4.386,5.687,0.022,8.989,8.989,0.781,35.243,0.0
Language model load,5.687,103.355,1.628,881.732,0.781,439.927,910.716,0.0
Decode export,103.374,1834.789,28.857,466.82,440.459,433.446,493.957,437.933
Decode compile,1890.311,4760.731,47.84,436.836,433.533,432.8,649.992,171.829
Prefill export,4760.919,18190.209,223.821,892.47,432.825,892.47,925.24,437.937
Prefill offload + ONNX save,18190.215,18275.045,1.414,892.47,892.47,469.454,925.24,0.004
Prefill compile,18275.291,19431.065,19.263,474.229,469.454,469.454,673.936,172.991
Runtime prefill load / failure,19431.112,19433.498,0.04,469.458,469.458,469.458,501.823,0.0
