index,operation,start_s,end_s,duration_s,rss_start_mb,rss_end_mb,rss_delta_mb,rss_min_mb,rss_avg_mb,rss_peak_mb,rss_peak_s,vms_peak_mb,cpu_avg_percent,cpu_peak_percent,disk_read_delta_mb,disk_write_delta_mb,sample_count
1,setup: torch.manual_seed,0.0,0.002,0.001,610.027,610.027,0.0,610.027,610.027,610.027,0.002,6522.766,0.147,0.147,0.0,0.0,1
2,post: setup: torch.manual_seed,0.002,0.002,0.0,610.027,610.027,0.0,610.027,610.027,610.027,0.002,6522.766,0.103,0.103,0.0,0.0,1
3,hf config: AutoConfig.from_pretrained,0.002,0.012,0.01,610.109,610.109,0.0,610.109,610.109,610.109,0.012,6522.766,0.304,0.304,0.0,0.0,1
4,post: hf config: AutoConfig.from_pretrained,0.012,0.012,0.0,610.109,610.109,0.0,610.109,610.109,610.109,0.012,6522.766,0.213,0.213,0.0,0.0,1
5,config: mutate dtype/optional layer limits,0.012,0.012,0.0,610.109,610.109,0.0,610.109,610.109,610.109,0.012,6522.766,0.149,0.149,0.0,0.0,1
6,post: config: mutate dtype/optional layer limits,0.012,0.012,0.0,610.109,610.109,0.0,610.109,610.109,610.109,0.012,6522.766,0.104,0.104,0.0,0.0,1
7,hf tokenizer: AutoTokenizer.from_pretrained,0.012,0.843,0.831,670.008,737.918,67.91,670.008,724.305,737.918,0.843,6646.387,0.322,0.415,0.927,0.001,5
8,post: hf tokenizer: AutoTokenizer.from_pretrained,0.843,0.843,0.0,737.918,737.918,0.0,737.918,737.918,737.918,0.843,6646.387,0.136,0.136,0.0,0.0,1
9,hf processor: AutoProcessor.from_pretrained,0.843,1.356,0.512,821.574,821.586,0.012,821.574,821.577,821.586,1.356,6730.742,0.271,0.342,0.342,0.0,4
10,post: hf processor: AutoProcessor.from_pretrained,1.356,1.356,0.0,821.586,821.586,0.0,821.586,821.586,821.586,1.356,6730.742,0.117,0.117,0.0,0.0,1
11,qeff load vision-only wrapper: QEFFAutoModelForImageTextToText.from_pretrained,1.356,3.075,1.718,13092.676,9219.465,-3873.211,9219.465,16751.548,20081.02,2.314,490469.316,11.581,22.982,2.613,0.002,13
12,post: qeff load vision-only wrapper: QEFFAutoModelForImageTextToText.from_pretrained,3.075,3.075,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.075,36040.582,35.043,35.043,0.0,0.0,1
13,vision: compile request,3.075,3.075,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.075,36040.582,24.53,24.53,0.0,0.0,1
14,vision: build output names,3.075,3.075,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.075,36040.582,17.171,17.171,0.0,0.0,1
15,vision: post: build output names,3.075,3.075,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.075,36040.582,12.02,12.02,0.0,0.0,1
16,vision: vision pytorch transform,3.075,3.075,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.075,36040.582,8.414,8.414,0.0,0.0,1
17,vision: post: vision pytorch transform,3.075,3.075,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.075,36040.582,5.89,5.89,0.0,0.0,1
18,vision: language pytorch transform,3.075,3.075,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.075,36040.582,4.123,4.123,0.0,0.0,1
19,vision: post: language pytorch transform,3.075,3.076,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.075,36040.582,2.886,2.886,0.0,0.0,1
20,vision: dual-qpc export orchestration,3.076,3.076,0.0,9219.465,9219.465,0.0,9219.465,9219.465,9219.465,3.076,36040.582,32.02,32.02,0.0,0.0,1
21,vision: build dummy inputs,3.076,3.076,0.0,9219.719,9219.719,0.0,9219.719,9219.719,9219.719,3.076,36040.582,22.414,22.414,0.0,0.0,1
22,vision: post: build dummy inputs,3.076,3.076,0.0,9219.719,9219.719,0.0,9219.719,9219.719,9219.719,3.076,36040.582,15.69,15.69,0.0,0.0,1
