time_s,timestamp,rss_mb,vms_mb,cpu_percent,disk_read_mb,disk_write_mb,disk_read_rate_mb_s,disk_write_rate_mb_s
0.0,2026-06-26T07:02:00.303535,609.875,6522.766,0.3,155.838,0.012,0.0,0.0
-0.0,2026-06-26T07:02:00.303351,609.879,6522.766,0.21,155.844,0.012,9.288,0.0
0.002,2026-06-26T07:02:00.305042,610.027,6522.766,0.147,155.945,0.012,125.916,0.0
0.002,2026-06-26T07:02:00.305216,610.027,6522.766,0.103,155.945,0.012,3.758,0.0
0.012,2026-06-26T07:02:00.315267,610.109,6522.766,0.304,155.948,0.012,0.213,0.0
0.012,2026-06-26T07:02:00.315449,610.109,6522.766,0.213,155.948,0.012,3.886,0.0
0.012,2026-06-26T07:02:00.315681,610.109,6522.766,0.149,155.949,0.012,2.066,0.201
0.012,2026-06-26T07:02:00.315804,610.109,6522.766,0.104,155.949,0.012,4.0,0.0
0.056,2026-06-26T07:02:00.359855,670.008,6580.836,0.326,162.734,0.012,12.969,0.0
0.684,2026-06-26T07:02:00.987445,737.832,6646.387,0.415,163.328,0.013,3.997,0.006
0.772,2026-06-26T07:02:01.075774,737.883,6646.387,0.397,163.655,0.013,3.705,0.0
0.823,2026-06-26T07:02:01.126128,737.883,6646.387,0.278,163.656,0.013,0.01,0.0
0.843,2026-06-26T07:02:01.146508,737.918,6646.387,0.194,163.661,0.013,0.291,0.0
0.843,2026-06-26T07:02:01.146877,737.918,6646.387,0.136,163.662,0.013,3.337,0.0
1.183,2026-06-26T07:02:01.486516,821.574,6730.742,0.337,170.99,0.014,21.57,0.001
1.271,2026-06-26T07:02:01.574926,821.574,6730.742,0.342,171.317,0.014,3.702,0.0
1.322,2026-06-26T07:02:01.625284,821.574,6730.742,0.239,171.318,0.014,0.01,0.0
1.356,2026-06-26T07:02:01.659055,821.586,6730.742,0.167,171.332,0.014,0.436,0.0
1.356,2026-06-26T07:02:01.659536,821.586,6730.742,0.117,171.333,0.014,1.544,0.0
1.68,2026-06-26T07:02:01.983886,13092.676,481851.035,8.094,172.127,0.014,2.447,0.0
1.865,2026-06-26T07:02:02.168196,18001.441,488563.285,15.71,172.453,0.014,1.77,0.0
1.954,2026-06-26T07:02:02.257228,18471.012,488933.316,13.736,172.78,0.014,3.678,0.0
2.004,2026-06-26T07:02:02.307612,17975.602,488933.316,9.847,172.78,0.014,0.01,0.0
2.106,2026-06-26T07:02:02.409792,17733.84,490469.316,11.115,173.107,0.014,3.197,0.001
2.226,2026-06-26T07:02:02.529110,19954.18,490469.316,22.982,173.433,0.014,2.736,0.0
2.314,2026-06-26T07:02:02.617770,20081.02,490469.316,19.713,173.76,0.014,3.687,0.0
2.365,2026-06-26T07:02:02.668109,19587.367,490469.316,14.031,173.76,0.014,0.01,0.0
2.453,2026-06-26T07:02:02.756603,18699.02,490469.316,10.167,174.087,0.014,3.696,0.0
2.503,2026-06-26T07:02:02.806974,18185.703,490469.316,7.349,174.087,0.014,0.01,0.0
2.592,2026-06-26T07:02:02.895571,17285.02,490469.316,5.462,174.414,0.014,3.694,0.0
3.035,2026-06-26T07:02:03.338047,9483.777,36323.086,5.142,174.74,0.015,0.738,0.003
3.074,2026-06-26T07:02:03.377655,9219.465,36040.582,7.204,174.74,0.015,0.012,0.003
3.075,2026-06-26T07:02:03.378154,9219.465,36040.582,35.043,174.741,0.015,1.951,0.0
3.075,2026-06-26T07:02:03.378319,9219.465,36040.582,24.53,174.741,0.015,3.414,0.0
3.075,2026-06-26T07:02:03.378446,9219.465,36040.582,17.171,174.742,0.015,4.016,0.0
3.075,2026-06-26T07:02:03.378561,9219.465,36040.582,12.02,174.742,0.015,4.456,0.0
3.075,2026-06-26T07:02:03.378676,9219.465,36040.582,8.414,174.743,0.015,4.317,0.0
3.075,2026-06-26T07:02:03.378779,9219.465,36040.582,5.89,174.743,0.015,4.841,0.0
3.075,2026-06-26T07:02:03.378883,9219.465,36040.582,4.123,174.744,0.015,4.774,0.0
3.075,2026-06-26T07:02:03.379027,9219.465,36040.582,2.886,174.744,0.015,3.294,0.0
3.076,2026-06-26T07:02:03.379148,9219.465,36040.582,32.02,174.745,0.015,4.111,0.0
3.076,2026-06-26T07:02:03.379594,9219.719,36040.582,22.414,174.745,0.015,1.024,0.0
3.076,2026-06-26T07:02:03.379746,9219.719,36040.582,15.69,174.746,0.015,4.29,0.0
3.076,2026-06-26T07:02:03.379861,9219.719,36040.582,10.983,174.746,0.015,4.371,0.0
3.076,2026-06-26T07:02:03.379965,9219.719,36040.582,7.688,174.747,0.015,4.91,0.0
3.077,2026-06-26T07:02:03.380068,9219.719,36040.582,5.382,174.747,0.015,4.281,0.0
3.077,2026-06-26T07:02:03.380190,9219.719,36040.582,33.767,174.748,0.015,4.317,0.0
3.083,2026-06-26T07:02:03.386893,9219.719,36040.582,34.415,174.748,0.015,0.073,0.024
3.149,2026-06-26T07:02:03.452323,9221.574,36040.582,31.569,175.074,0.016,4.975,0.004
3.243,2026-06-26T07:02:03.546546,9246.27,36075.676,36.803,175.401,0.017,3.464,0.014
3.293,2026-06-26T07:02:03.596894,9249.566,36075.676,40.774,175.401,0.017,0.01,0.0
